Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-12,10500.0,2.17,2.2,2.21,2.15,2.15,-0.02
2024-01-19,1000.0,2.29,1.83,2.35,1.83,2.09,-0.2
2024-01-22,1000.0,2.09,1.85,2.23,1.85,2.04,-0.05
2024-01-23,2500.0,2.04,1.9,2.27,1.85,2.23,0.19
2024-01-26,38000.0,2.01,1.9,2.14,1.9,2.14,0.13
2024-01-29,1000.0,2.14,1.85,2.1,1.85,2.1,-0.04
2024-01-30,1000.0,2.1,1.84,1.84,1.83,1.84,-0.26
2024-02-01,2500.0,1.84,1.99,1.99,1.81,1.81,-0.03
2024-02-02,3000.0,1.81,1.81,2.25,1.81,2.23,0.42
2024-02-19,1000.0,2.23,1.8,1.9,1.8,1.9,-0.33
2024-02-20,500.0,1.9,1.9,1.9,1.9,1.9,0.0
2024-02-26,1000.0,1.9,2.25,2.3,2.25,2.3,0.4
2024-03-08,1500.0,2.3,2.45,2.45,2.45,2.45,0.15
2024-03-11,1000.0,2.45,2.01,2.28,2.01,2.28,-0.17
2024-03-15,2000.0,2.28,2.0,2.0,2.0,2.0,-0.28
2024-03-21,500.0,2.0,2.0,2.0,2.0,2.0,0.0
2024-03-26,2000.0,2.0,1.76,1.76,1.75,1.76,-0.24
2024-03-28,500.0,1.76,1.8,1.8,1.8,1.8,0.04
2024-04-01,500.0,1.8,2.0,2.0,2.0,2.0,0.2
2024-04-16,500.0,2.0,1.6,1.6,1.6,1.6,-0.4
2024-04-18,1500.0,1.6,2.1,2.15,2.1,2.1,0.5
2024-04-19,3500.0,2.1,1.75,1.9,1.75,1.9,-0.2
2024-05-07,10000.0,1.9,0.0,0.0,0.0,1.9,0.0
2024-05-09,21000.0,1.9,1.71,2.24,1.71,1.98,0.08
2024-05-15,2000.0,1.98,1.85,1.85,1.85,1.85,-0.13
2024-05-16,24000.0,1.85,1.91,1.91,1.5,1.55,-0.3
2024-05-17,500.0,1.55,2.39,2.39,2.39,2.39,0.84
2024-05-20,2500.0,2.39,2.39,2.39,2.39,2.39,0.0
2024-05-21,2000.0,2.39,0.0,0.0,0.0,2.39,0.0
2024-05-23,2000.0,2.39,2.35,2.35,1.88,2.28,-0.11
2024-05-27,1000.0,2.28,2.27,2.27,2.27,2.27,-0.01
2024-05-30,1497.0,2.27,1.95,2.21,1.95,2.21,-0.06
2024-05-31,11000.0,2.21,2.21,2.38,2.02,2.02,-0.19
2024-06-06,10427.0,2.02,2.48,2.48,2.4,2.45,0.43
2024-06-07,11500.0,2.45,2.01,2.15,1.5,1.69,-0.76
2024-06-10,21138.0,1.69,2.0,2.3,2.0,2.24,0.55
2024-06-11,1521.0,2.24,2.02,2.21,2.02,2.02,-0.22
2024-06-12,3442.0,2.02,1.54,2.47,1.54,2.0,-0.02
2024-06-13,4668.0,2.0,2.38,2.38,1.5,1.64,-0.36
2024-06-14,3.0,1.64,2.28,2.28,2.22,1.64,0.0
2024-06-20,189043.0,1.64,2.27,2.64,2.02,2.54,0.9
2024-06-21,47309.0,2.54,2.68,2.68,2.49,2.5,-0.04
2024-06-24,1001.0,2.5,2.63,2.63,2.6,2.6,0.1
2024-06-25,1250.0,2.6,2.15,2.15,2.15,2.15,-0.45
2024-06-26,1801.0,2.15,2.88,2.88,2.16,2.38,0.23
2024-06-27,1.0,2.38,2.61,2.61,2.61,2.38,0.0
2024-06-28,152.0,2.38,2.63,2.63,2.35,2.38,0.0
2024-07-01,216.0,2.38,2.62,2.62,2.5,2.38,0.0
2024-07-02,13804.0,2.38,2.87,2.87,2.3,2.3,-0.08
2024-07-03,2483.0,2.3,2.3,2.8,2.3,2.67,0.37
2024-07-04,1.0,2.67,2.84,2.84,2.84,2.67,0.0
2024-07-05,600.0,2.67,2.22,2.9,2.2,2.32,-0.35
2024-07-08,2719.0,2.32,2.84,2.84,2.75,2.77,0.45
2024-07-09,592.0,2.77,2.94,2.94,2.61,2.61,-0.16
2024-07-10,2062.0,2.61,3.06,3.06,2.35,2.44,-0.17
2024-07-11,2512.0,2.44,2.94,2.94,2.69,2.7,0.26
2024-07-15,4017.0,2.7,2.85,2.85,2.22,2.67,-0.03
2024-07-18,542.0,2.67,2.93,2.93,2.69,2.69,0.02
2024-07-19,11.0,2.69,2.21,2.71,2.21,2.69,0.0
2024-07-22,939.0,2.69,2.99,2.99,2.01,2.9,0.21
2024-07-23,1001.0,2.9,2.35,2.65,2.35,2.35,-0.55
2024-07-24,60906.0,2.35,2.5,2.5,2.11,2.47,0.12
2024-07-25,6102.0,2.47,2.99,2.99,2.1,2.63,0.16
2024-07-26,1.0,2.63,2.79,2.79,2.79,2.63,0.0
2024-07-29,1699.0,2.63,2.9,2.9,2.2,2.86,0.23
2024-07-30,28682.0,2.86,2.93,2.93,2.12,2.17,-0.69
2024-07-31,11907.0,2.17,2.74,2.74,1.95,2.35,0.18
2024-08-01,758.0,2.35,2.21,2.35,2.21,2.21,-0.14
2024-08-02,1503.0,2.21,2.67,2.85,2.5,2.5,0.29
2024-08-05,10944.0,2.5,2.85,2.85,2.0,2.03,-0.47
2024-08-06,7186.0,2.03,2.05,2.66,2.04,2.5,0.47
2024-08-07,53.0,2.5,2.3,2.45,2.3,2.5,0.0
2024-08-08,8850.0,2.5,2.49,2.9,2.49,2.89,0.39
2024-08-09,537.0,2.89,2.45,2.88,2.45,2.88,-0.01
2024-08-12,2121.0,2.88,3.1,3.1,2.2,3.06,0.18
2024-08-13,2011.0,3.06,2.41,2.86,2.3,2.31,-0.75
2024-08-15,34970.0,2.31,2.96,3.1,2.5,2.52,0.21
2024-08-16,850.0,2.52,2.7,2.73,2.45,2.58,0.06
2024-08-19,80020.0,2.58,2.38,2.84,2.38,2.58,0.0
2024-08-20,510.0,2.58,2.58,2.6,2.58,2.58,0.0
2024-08-21,8124.0,2.58,1.62,2.88,1.62,2.4,-0.18
2024-08-22,1116.0,2.4,2.85,2.85,2.49,2.59,0.19
2024-08-23,23602.0,2.59,2.8,2.8,2.35,2.59,0.0
2024-08-26,8431.0,2.59,2.98,2.98,2.48,2.51,-0.08
2024-08-27,5858.0,2.51,2.71,2.71,2.7,2.7,0.19
2024-08-28,2024.0,2.7,2.75,2.75,2.6,2.6,-0.1
2024-08-29,14051.0,2.6,2.8,2.8,2.4,2.5,-0.1
2024-08-30,10000.0,2.5,2.69,2.69,2.45,2.45,-0.05
2024-09-02,16285.0,2.45,2.45,2.62,2.44,2.51,0.06
2024-09-03,4871.0,2.51,2.7,2.7,2.06,2.65,0.14
2024-09-04,16046.0,2.65,2.9,2.9,2.5,2.87,0.22
2024-09-05,2662.0,2.87,3.3,3.3,2.61,2.61,-0.26
2024-09-06,47201.0,2.61,2.99,3.0,2.6,2.89,0.28
2024-09-09,138521.0,2.89,3.24,3.24,2.4,2.55,-0.34
2024-09-10,7515.0,2.55,2.84,2.84,2.45,2.56,0.01
2024-09-11,342.0,2.56,2.74,2.74,2.61,2.56,0.0
2024-09-12,372558.0,2.56,2.69,2.69,2.16,2.2,-0.36
2024-09-13,927309.0,2.2,2.2,2.38,2.1,2.27,0.07
2024-09-16,53331.0,2.27,2.48,2.5,2.0,2.08,-0.19
2024-09-18,23547.0,2.08,1.85,2.44,1.85,2.1,0.02
2024-09-19,76750.0,2.1,1.92,2.34,1.92,2.01,-0.09
2024-09-20,75609.0,2.01,2.0,2.39,1.89,2.0,-0.01
2024-09-23,10173.0,2.0,1.99,2.13,1.91,2.0,0.0
2024-09-24,7121.0,2.0,1.86,1.97,1.86,1.97,-0.03
2024-09-25,23148.0,1.97,1.91,2.14,1.91,2.0,0.03
2024-09-26,7532.0,2.0,2.12,2.14,2.0,2.0,0.0
2024-09-27,1001.0,2.0,1.93,2.08,1.93,2.08,0.08
2024-09-30,85.0,2.08,1.91,2.09,1.91,2.08,0.0
2024-10-01,1762.0,2.08,2.47,2.47,2.08,2.08,0.0
2024-10-02,2106.0,2.08,2.07,2.14,2.01,2.02,-0.06
2024-10-03,2161.0,2.02,1.9,2.09,1.9,2.09,0.07
2024-10-04,2006.0,2.09,1.91,2.12,1.91,2.12,0.03
2024-10-07,3.0,2.12,2.1,2.1,2.1,2.12,0.0
2024-10-08,5072.0,2.12,2.0,2.0,1.91,1.95,-0.17
2024-10-09,3652.0,1.95,2.0,2.3,2.0,2.17,0.22
2024-10-10,4301.0,2.17,2.1,2.1,1.92,1.93,-0.24
2024-10-11,7505.0,1.93,2.0,2.16,2.0,2.14,0.21
2024-10-14,14700.0,2.14,2.0,2.14,1.91,1.91,-0.23
2024-10-15,4858.0,1.91,1.93,1.93,1.9,1.91,0.0
2024-10-16,12119.0,1.91,2.1,2.1,2.0,2.0,0.09
2024-10-17,11214.0,2.0,2.0,2.11,1.91,1.99,-0.01
2024-10-18,20698.0,1.99,2.25,2.25,2.0,2.0,0.01
2024-10-21,2127.0,2.0,2.15,2.15,2.0,2.0,0.0
2024-10-22,1177.0,2.0,2.15,2.15,1.92,1.93,-0.07
2024-10-23,26100.0,1.93,1.91,1.91,1.9,1.9,-0.03
2024-10-24,134994.0,1.9,1.8,1.8,1.6,1.65,-0.25
2024-10-25,37275.0,1.65,1.8,1.9,1.62,1.7,0.05
2024-10-28,70509.0,1.7,1.66,1.66,1.51,1.52,-0.18
2024-10-29,64600.0,1.52,1.52,1.69,1.5,1.52,0.0
2024-10-30,30368.0,1.52,1.6,1.95,1.6,1.8,0.28
2024-10-31,232928.0,1.8,2.14,2.3,1.6,1.7,-0.1
