Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,35702.0,3.0,4.0,4.0,4.0,4.0,1.0
2024-06-04,144291.0,4.0,5.0,5.0,3.3,3.92,-0.08
2024-06-05,9138.0,3.92,4.3,4.3,3.35,3.49,-0.43
2024-06-06,104124.0,3.49,3.4,4.14,3.25,4.05,0.56
2024-06-07,8112.0,4.05,3.75,4.99,3.5,4.82,0.77
2024-06-10,49300.0,4.82,4.1,4.2,3.82,3.83,-0.99
2024-06-11,6017.0,3.83,3.94,3.97,3.5,3.51,-0.32
2024-06-12,412.0,3.51,3.9,3.9,3.4,3.51,0.0
2024-06-13,621.0,3.51,3.94,3.94,3.2,3.21,-0.3
2024-06-14,5014.0,3.21,3.1,3.85,3.1,3.6,0.39
2024-06-20,8809.0,3.6,3.7,3.7,2.8,3.09,-0.51
2024-06-21,17891.0,3.09,2.9,3.19,2.7,2.95,-0.14
2024-06-24,5004.0,2.95,2.99,3.0,2.72,2.95,0.0
2024-06-25,7506.0,2.95,2.7,3.1,2.7,2.97,0.02
2024-06-26,258.0,2.97,3.2,3.2,2.84,2.97,0.0
2024-06-27,76228.0,2.97,2.99,3.97,2.99,3.97,1.0
2024-06-28,43678.0,3.97,4.4,4.85,3.3,3.43,-0.54
2024-07-01,152083.0,3.43,3.5,4.2,3.4,3.6,0.17
2024-07-02,163241.0,3.6,3.65,4.6,3.4,4.6,1.0
2024-07-03,226245.0,4.6,5.36,5.6,4.88,5.43,0.83
2024-07-04,90269.0,5.43,6.25,6.25,5.0,5.61,0.18
2024-07-05,58257.0,5.61,5.99,5.99,4.77,5.16,-0.45
2024-07-08,100531.0,5.16,6.16,6.16,5.52,5.96,0.8
2024-07-09,61601.0,5.96,6.2,6.24,5.55,6.0,0.04
2024-07-10,133.0,6.0,6.49,6.49,5.36,6.0,0.0
2024-07-11,29045.0,6.0,5.07,6.7,5.07,5.82,-0.18
2024-07-12,41568.0,5.82,4.9,6.82,4.9,6.74,0.92
2024-07-15,207325.0,6.74,7.44,7.74,7.0,7.5,0.76
2024-07-18,78522.0,7.5,7.98,8.2,6.5,8.0,0.5
2024-07-19,8004.0,8.0,7.5,8.44,7.25,7.25,-0.75
2024-07-22,38923.0,7.25,7.3,7.3,6.38,7.0,-0.25
2024-07-23,711.0,7.0,6.52,7.0,6.5,6.58,-0.42
2024-07-24,10978.0,6.58,6.1,6.89,6.0,6.0,-0.58
2024-07-25,51857.0,6.0,6.01,6.49,6.0,6.39,0.39
2024-07-26,5362.0,6.39,7.0,7.0,6.0,6.23,-0.16
2024-07-29,956.0,6.23,6.3,6.99,6.0,6.07,-0.16
2024-07-30,1.0,6.07,6.55,6.55,6.55,6.07,0.0
2024-07-31,4500.0,6.07,5.5,6.5,5.5,6.04,-0.03
2024-08-01,12955.0,6.04,6.49,6.49,6.0,6.0,-0.04
2024-08-02,4655.0,6.0,5.0,6.5,5.0,6.07,0.07
2024-08-05,15724.0,6.07,6.99,6.99,5.07,6.02,-0.05
2024-08-07,7644.0,6.02,5.61,6.2,5.6,5.61,-0.41
2024-08-08,38303.0,5.61,5.61,6.49,5.55,6.1,0.49
2024-08-09,1112.0,6.1,6.32,6.32,6.0,6.1,0.0
2024-08-12,1398.0,6.1,5.5,6.1,5.5,6.1,0.0
2024-08-13,2392.0,6.1,6.1,6.1,5.65,5.91,-0.19
2024-08-15,92840.0,5.91,5.61,6.91,5.6,6.91,1.0
2024-08-16,23608.0,6.91,7.91,7.91,7.91,7.91,1.0
2024-08-19,174612.0,7.91,8.91,8.91,7.15,8.91,1.0
2024-08-20,23403.0,8.91,9.85,9.91,9.25,9.91,1.0
2024-08-21,8835.0,9.91,10.91,10.91,10.91,10.91,1.0
2024-08-22,14168.0,10.91,12.0,12.0,12.0,12.0,1.09
2024-08-23,5920.0,12.0,13.2,13.2,13.2,13.2,1.2
2024-08-26,101120.0,13.2,14.52,14.52,11.88,14.52,1.32
2024-08-27,112290.0,14.52,15.69,15.9,13.07,13.07,-1.45
2024-08-28,57466.0,13.07,11.76,12.3,11.76,11.76,-1.31
2024-08-29,53743.0,11.76,10.58,10.97,10.58,10.58,-1.18
2024-08-30,308369.0,10.58,9.7,11.64,9.7,11.64,1.06
2024-09-02,140516.0,11.64,12.4,12.48,11.0,11.36,-0.28
2024-09-03,164894.0,11.36,11.9,12.5,11.0,12.5,1.14
2024-09-04,120311.0,12.5,13.49,13.75,12.0,13.75,1.25
