Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,36.5,36.0,36.0,36.0,36.0,-0.5
2024-01-02,500.0,36.0,36.0,36.0,36.0,36.0,0.0
2024-01-08,3500.0,38.65,40.8,40.8,36.5,36.5,-2.15
2024-01-12,1500.0,35.0,34.35,35.0,34.35,35.0,0.0
2024-01-30,500.0,34.0,33.1,33.1,33.1,33.1,-0.9
2024-01-31,500.0,33.1,33.6,33.6,33.6,33.6,0.5
2024-02-07,17500.0,33.98,35.43,36.53,35.43,36.53,2.55
2024-02-15,22000.0,34.75,34.75,37.36,34.5,37.36,2.61
2024-02-20,3500.0,37.36,34.56,36.0,34.56,34.6,-2.76
2024-02-21,500.0,34.6,36.88,36.88,36.88,36.88,2.28
2024-02-26,6000.0,36.88,34.5,39.5,34.5,38.33,1.45
2024-02-28,500.0,38.33,39.95,39.95,39.95,39.95,1.62
2024-03-05,500.0,39.95,37.01,37.01,37.01,37.01,-2.94
2024-03-08,500.0,37.01,37.1,37.1,37.1,37.1,0.09
2024-03-11,1000.0,37.1,39.8,39.85,39.8,39.83,2.73
2024-03-14,500.0,39.83,36.86,36.86,36.86,36.86,-2.97
2024-03-21,2500.0,36.86,38.89,39.6,38.89,39.05,2.19
2024-04-25,2000.0,39.05,36.25,36.25,36.2,36.2,-2.85
2024-05-03,5000.0,36.2,34.15,34.15,33.5,33.87,-2.33
2024-05-06,2500.0,33.87,33.5,33.8,33.5,33.8,-0.07
2024-05-07,1500.0,33.8,33.0,34.5,33.0,34.5,0.7
2024-05-08,500.0,34.5,35.94,35.94,35.94,35.94,1.44
2024-05-10,2000.0,35.94,34.0,34.25,34.0,34.25,-1.69
2024-05-16,6000.0,34.25,35.0,36.81,35.0,36.81,2.56
2024-05-17,6500.0,36.81,39.57,39.57,39.5,39.57,2.76
2024-05-22,2500.0,39.57,40.0,40.0,39.3,39.3,-0.27
2024-05-27,550.0,39.3,38.0,38.0,37.0,37.91,-1.39
2024-05-29,109802.0,37.91,35.5,35.9,34.88,35.52,-2.39
2024-05-30,2500.0,35.52,35.01,35.01,35.0,35.0,-0.52
2024-06-03,500.0,35.0,35.15,35.15,35.15,35.15,0.15
2024-06-04,1.0,35.15,35.15,35.15,35.15,35.15,0.0
2024-06-05,1050.0,35.15,36.86,36.86,35.0,35.0,-0.15
2024-06-07,502.0,35.0,33.11,37.79,33.11,33.66,-1.34
2024-06-10,585.0,33.66,34.5,34.5,32.6,33.66,0.0
2024-06-11,5000.0,33.66,32.5,32.75,31.05,31.81,-1.85
2024-06-12,129219.0,31.81,33.0,34.51,33.0,34.51,2.7
2024-06-13,819.0,34.51,34.62,35.83,34.5,34.79,0.28
2024-06-14,43.0,34.79,36.0,37.7,36.0,34.79,0.0
2024-06-20,568.0,34.79,34.57,34.57,34.5,34.52,-0.27
2024-06-25,132401.0,34.52,35.0,37.63,35.0,37.37,2.85
2024-06-26,1.0,37.37,38.0,38.0,38.0,37.37,0.0
2024-06-27,1.0,37.37,39.0,39.0,39.0,37.37,0.0
2024-06-28,340248.0,37.37,38.98,40.73,38.0,39.76,2.39
2024-07-01,16510.0,39.76,39.76,39.76,36.3,36.31,-3.45
2024-07-02,74843.0,36.31,37.99,39.58,33.91,39.24,2.93
2024-07-03,1870.0,39.24,38.9,41.77,37.27,41.77,2.53
2024-07-04,507.0,41.77,38.15,42.8,38.15,41.77,0.0
2024-07-08,5890.0,41.77,37.86,38.0,37.8,37.8,-3.97
2024-07-09,10528.0,37.8,35.25,37.0,34.34,35.0,-2.8
2024-07-10,1352.0,35.0,34.0,34.5,33.22,33.25,-1.75
2024-07-12,12931.0,33.25,33.25,36.41,33.25,36.41,3.16
2024-07-15,61390.0,36.41,39.79,39.87,37.8,39.86,3.45
2024-07-19,200.0,39.86,36.75,37.0,36.75,39.86,0.0
2024-07-22,111.0,39.86,36.17,39.44,36.17,39.86,0.0
2024-07-23,1.0,39.86,39.79,39.79,39.79,39.86,0.0
2024-07-24,21.0,39.86,43.8,43.8,39.93,39.86,0.0
2024-07-29,1132.0,39.86,39.86,39.86,36.39,36.4,-3.46
2024-07-30,3971.0,36.4,34.02,37.9,34.0,34.0,-2.4
2024-07-31,129.0,34.0,0.0,0.0,0.0,34.0,0.0
2024-08-01,4687.0,34.0,34.7,37.4,34.7,37.06,3.06
2024-08-02,3872.0,37.06,40.77,40.77,35.01,38.38,1.32
2024-08-05,500.0,38.38,38.0,38.0,38.0,38.0,-0.38
2024-08-07,8497.0,38.0,35.55,37.85,34.22,35.0,3.0
2024-08-08,59371.0,35.0,36.99,38.5,36.99,38.5,3.5
2024-08-09,14445.0,38.5,42.0,42.35,42.0,42.35,3.85
2024-08-12,1078.0,42.35,40.0,40.76,40.0,40.0,-2.35
2024-08-13,20.0,40.0,36.11,36.11,36.11,40.0,0.0
2024-08-16,520.0,40.0,44.0,44.0,43.0,43.0,3.0
2024-08-19,83.0,43.0,43.0,43.0,42.5,43.0,0.0
2024-08-20,7.0,43.0,43.0,43.0,38.7,43.0,0.0
2024-08-21,96.0,43.0,38.9,39.16,38.9,43.0,0.0
2024-08-22,937.0,43.0,38.9,41.0,38.7,39.18,-3.82
2024-08-23,140.0,39.18,39.0,39.0,39.0,39.18,0.0
2024-08-28,100.0,39.18,39.99,39.99,39.99,39.18,0.0
2024-08-30,500.0,39.18,36.32,36.32,36.32,36.32,-2.86
2024-09-02,10.0,36.32,0.0,0.0,0.0,36.32,0.0
2024-09-03,167.0,36.32,36.45,36.45,36.0,36.32,0.0
2024-09-05,1.0,36.32,35.01,35.01,35.01,36.32,0.0
2024-09-09,2310.0,36.32,39.9,39.9,34.01,34.77,-1.55
2024-09-13,2751.0,34.77,38.25,38.25,38.25,38.25,3.48
