Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,334500.0,10.5,10.68,10.75,10.31,10.69,0.19
2024-01-02,384500.0,10.69,10.8,10.9,10.42,10.49,-0.2
2024-01-03,203000.0,10.49,10.75,10.75,10.45,10.59,0.1
2024-01-04,174000.0,10.59,10.67,10.74,10.55,10.61,0.02
2024-01-05,317000.0,10.61,10.71,10.98,10.44,10.51,-0.1
2024-01-08,137000.0,10.51,10.6,10.7,10.54,10.55,0.04
2024-01-09,78000.0,10.55,10.57,10.57,10.45,10.49,-0.06
2024-01-10,137000.0,10.49,10.65,10.65,10.49,10.51,0.02
2024-01-11,107000.0,10.51,10.68,10.68,10.52,10.55,0.04
2024-01-12,125500.0,10.55,10.67,10.68,10.45,10.47,-0.08
2024-01-15,125000.0,10.47,10.52,10.6,10.48,10.48,0.01
2024-01-16,47000.0,10.48,10.5,10.63,10.31,10.6,0.12
2024-01-17,174500.0,10.6,10.6,10.71,10.55,10.56,-0.04
2024-01-18,153500.0,10.56,10.53,10.55,10.45,10.5,-0.06
2024-01-19,494500.0,10.5,10.53,11.1,10.5,10.97,0.47
2024-01-22,695500.0,10.97,10.75,11.12,10.75,11.02,0.05
2024-01-23,875500.0,11.02,11.05,11.2,10.9,10.99,-0.03
2024-01-24,204000.0,10.99,11.06,11.15,10.9,10.96,-0.03
2024-01-25,432000.0,10.96,11.0,11.04,10.85,10.89,-0.07
2024-01-26,449500.0,10.89,10.9,11.0,10.86,10.91,0.02
2024-01-29,7870000.0,10.91,10.95,11.88,10.95,11.78,0.87
2024-01-30,2968500.0,11.78,11.74,11.75,11.14,11.21,-0.57
2024-01-31,11609000.0,11.21,11.43,12.21,11.39,12.21,1.0
2024-02-01,28110500.0,12.21,13.21,13.21,12.85,13.17,0.96
2024-02-02,10118500.0,13.17,13.1,13.3,12.77,12.91,-0.26
2024-02-06,6679000.0,12.91,12.9,13.0,12.6,12.91,0.0
2024-02-07,2045500.0,12.91,12.87,12.98,12.8,12.92,0.01
2024-02-09,4034500.0,12.92,12.85,12.99,12.62,12.82,-0.1
2024-02-12,2237500.0,12.82,12.81,12.87,12.63,12.74,-0.08
2024-02-13,3187500.0,12.74,12.65,12.8,12.5,12.7,-0.04
2024-02-14,1908000.0,12.7,12.74,12.89,12.68,12.79,0.09
2024-02-15,1169500.0,12.79,12.72,12.82,12.7,12.76,-0.03
2024-02-16,1397000.0,12.76,12.7,12.8,12.69,12.7,-0.06
2024-02-19,2183500.0,12.7,12.65,12.86,12.65,12.81,0.11
2024-02-20,3014000.0,12.81,12.75,13.05,12.75,12.95,0.14
2024-02-21,5819500.0,12.95,13.03,13.61,13.0,13.42,0.47
2024-02-22,11434000.0,13.42,13.5,13.6,13.35,13.53,0.11
2024-02-23,4171500.0,13.53,13.5,13.5,13.33,13.38,-0.15
2024-02-26,5731000.0,13.38,13.37,13.55,13.31,13.41,0.03
2024-02-27,10040000.0,13.41,13.39,13.5,13.15,13.22,-0.19
2024-02-28,4237500.0,10.22,10.31,10.34,9.95,10.02,-0.2
2024-02-29,1179500.0,10.02,10.15,10.19,9.93,10.04,0.02
2024-03-01,1549000.0,10.04,10.04,10.1,9.95,9.97,-0.07
2024-03-04,1464000.0,9.97,10.09,10.14,9.8,10.0,0.03
2024-03-05,555000.0,10.0,10.0,10.09,9.82,9.93,-0.07
2024-03-06,2395500.0,9.93,9.99,10.17,9.9,10.01,0.08
2024-03-07,542500.0,10.01,10.0,10.05,9.88,9.91,-0.1
2024-03-08,334500.0,9.91,10.0,10.0,9.86,9.9,-0.01
2024-03-11,586500.0,9.9,9.9,9.98,9.82,9.84,-0.06
2024-03-12,586500.0,9.84,9.83,9.88,9.61,9.64,-0.2
2024-03-13,1052000.0,9.64,9.75,9.8,9.48,9.51,-0.13
2024-03-14,254500.0,9.51,9.69,9.7,9.55,9.57,0.06
2024-03-15,463000.0,9.57,9.6,9.61,9.47,9.48,-0.09
2024-03-18,474500.0,9.48,9.49,9.64,9.4,9.43,-0.05
2024-03-19,879500.0,9.43,9.5,9.55,9.41,9.47,0.04
2024-03-20,150500.0,9.47,9.56,9.58,9.5,9.54,0.07
2024-03-21,601000.0,9.54,9.59,9.59,9.43,9.5,-0.04
2024-03-22,301000.0,9.5,9.55,9.6,9.46,9.48,-0.02
2024-03-25,249000.0,9.48,9.5,9.57,9.49,9.55,0.07
2024-03-26,767500.0,9.55,9.5,9.75,9.46,9.7,0.15
2024-03-27,339500.0,9.7,9.69,9.8,9.65,9.73,0.03
2024-03-28,359000.0,9.73,9.73,9.86,9.7,9.75,0.02
2024-03-29,263500.0,9.75,9.87,9.87,9.61,9.71,-0.04
2024-04-01,136000.0,9.71,9.75,9.8,9.65,9.71,0.0
2024-04-02,192000.0,9.71,9.77,9.8,9.67,9.71,0.0
2024-04-03,97000.0,9.71,9.72,9.75,9.67,9.73,0.02
2024-04-04,703000.0,9.73,9.72,9.8,9.7,9.75,0.02
2024-04-08,2395500.0,9.75,9.74,10.3,9.5,10.24,0.49
2024-04-09,275000.0,10.24,10.26,10.29,10.1,10.12,-0.12
2024-04-15,518000.0,10.12,9.86,10.15,9.86,10.05,-0.07
2024-04-16,1220000.0,10.05,10.03,10.14,9.9,10.04,-0.01
2024-04-17,612500.0,10.04,10.05,10.19,9.99,10.07,0.03
2024-04-18,276000.0,10.07,10.06,10.1,10.0,10.01,-0.06
2024-04-19,449000.0,10.01,10.0,10.09,9.98,10.04,0.03
2024-04-22,1298000.0,10.04,10.08,10.1,10.0,10.09,0.05
2024-04-23,916500.0,10.09,10.09,10.2,10.02,10.1,0.01
2024-04-24,660000.0,10.1,10.19,10.2,10.1,10.13,0.03
2024-04-25,1233500.0,10.13,10.2,10.25,10.11,10.13,0.0
2024-04-26,573500.0,10.13,10.1,10.24,9.99,10.19,0.06
2024-04-29,435000.0,10.19,10.04,10.26,10.0,10.15,-0.04
2024-04-30,1174000.0,10.15,10.16,10.25,10.06,10.19,0.04
2024-05-02,3167000.0,10.19,10.18,10.37,10.17,10.23,0.04
2024-05-03,759500.0,10.23,10.25,10.29,10.11,10.24,0.01
2024-05-06,1331000.0,10.24,10.28,10.28,10.1,10.19,-0.05
2024-05-07,464500.0,10.19,10.28,10.28,10.17,10.2,0.01
2024-05-08,3302500.0,10.2,10.19,10.44,10.18,10.39,0.19
2024-05-09,668500.0,10.39,10.35,10.49,10.35,10.42,0.03
2024-05-10,1069000.0,10.42,10.49,10.75,10.45,10.69,0.27
2024-05-13,2320500.0,10.69,10.89,11.08,10.7,10.92,0.23
2024-05-14,766500.0,10.92,11.04,11.08,10.92,10.96,0.04
2024-05-15,1196500.0,10.96,11.01,11.17,10.8,10.98,0.02
2024-05-16,1150000.0,10.98,11.0,11.35,10.93,11.32,0.34
2024-05-17,9957500.0,11.32,11.39,12.32,11.39,12.25,0.93
2024-05-20,2563500.0,12.25,12.48,12.54,11.8,11.99,-0.26
2024-05-21,2562500.0,11.99,11.85,11.88,11.35,11.51,-0.48
2024-05-22,689500.0,11.51,11.55,11.87,11.45,11.65,0.14
2024-05-23,664000.0,11.65,11.65,11.73,11.5,11.54,-0.11
2024-05-24,840000.0,11.54,11.65,11.85,11.42,11.64,0.1
2024-05-27,493217.0,11.64,11.77,11.79,11.45,11.55,-0.09
2024-05-29,844796.0,11.55,11.63,11.63,11.23,11.28,-0.27
2024-05-30,1145048.0,11.28,11.58,11.7,11.16,11.3,0.02
2024-05-31,514930.0,11.3,11.32,11.48,11.2,11.29,-0.01
2024-06-03,457582.0,11.29,11.44,11.44,11.21,11.22,-0.07
2024-06-04,497834.0,11.22,11.39,11.4,11.15,11.2,-0.02
2024-06-05,731692.0,11.2,11.18,11.25,11.0,11.03,-0.17
2024-06-06,401635.0,11.03,11.03,11.19,11.0,11.04,0.01
2024-06-07,551190.0,11.04,10.95,11.0,10.7,10.96,-0.08
2024-06-10,616221.0,10.96,10.85,10.9,10.75,10.82,-0.14
2024-06-11,504551.0,10.82,10.82,10.91,10.6,10.62,-0.2
2024-06-12,143718.0,10.62,10.96,10.96,10.55,10.71,0.09
2024-06-13,862901.0,10.71,10.65,11.08,10.65,10.94,0.23
2024-06-14,499346.0,10.94,11.0,11.15,10.9,11.01,0.07
2024-06-20,1665933.0,11.01,11.05,11.85,11.05,11.6,0.59
2024-06-21,1797524.0,11.6,11.55,11.95,11.52,11.59,-0.01
2024-06-24,668979.0,11.59,11.65,11.83,11.5,11.7,0.11
2024-06-25,500281.0,11.7,11.65,11.75,11.65,11.71,0.01
2024-06-26,932127.0,11.71,11.6,11.8,11.6,11.65,-0.06
2024-06-27,1119561.0,11.65,11.65,11.85,11.6,11.65,0.0
2024-06-28,686218.0,11.65,11.66,11.94,11.66,11.91,0.26
2024-07-01,786631.0,11.91,11.9,12.25,11.86,12.04,0.13
2024-07-02,737079.0,12.04,12.0,12.28,12.0,12.2,0.16
2024-07-03,9903961.0,12.2,12.15,13.3,12.15,13.22,1.02
2024-07-04,1374058.0,13.22,13.1,13.4,12.91,13.04,-0.18
2024-07-05,6790500.0,13.04,13.3,14.21,12.96,13.67,0.63
2024-07-08,2034648.0,13.67,13.7,13.99,13.51,13.79,0.12
2024-07-09,1571356.0,13.79,13.79,13.79,13.42,13.49,-0.3
2024-07-10,531805.0,13.49,13.73,13.75,13.13,13.27,-0.22
2024-07-11,572226.0,13.27,13.15,13.63,13.15,13.36,0.09
2024-07-12,522858.0,13.36,13.4,13.46,13.1,13.34,-0.02
2024-07-15,228542.0,13.34,13.54,13.7,13.36,13.44,0.1
2024-07-18,804593.0,13.44,13.44,13.5,13.2,13.4,-0.04
2024-07-19,977024.0,13.4,13.49,13.49,12.97,13.07,-0.33
2024-07-22,1113630.0,13.07,13.0,13.18,12.71,12.97,-0.1
2024-07-23,505343.0,12.97,13.33,13.35,13.0,13.27,0.3
2024-07-24,5397428.0,13.27,13.38,14.0,13.05,13.84,0.57
2024-07-25,2219.0,13.91,13.81,13.81,13.48,13.62,-0.29
2024-07-26,177298.0,13.42,13.48,13.7,13.25,13.32,-0.1
2024-07-29,258483.0,13.32,13.33,13.5,13.26,13.36,0.04
2024-07-30,228903.0,13.36,13.5,13.5,12.99,13.06,-0.3
2024-07-31,279678.0,13.06,13.04,13.63,13.02,13.21,0.15
2024-08-01,403107.0,13.21,13.07,13.5,13.0,13.2,-0.01
2024-08-02,312229.0,13.2,13.25,13.44,13.2,13.36,0.16
2024-08-05,493047.0,13.36,13.13,13.48,13.1,13.26,-0.1
2024-08-06,352153.0,13.26,13.47,13.5,13.05,13.1,-0.16
2024-08-07,697870.0,13.1,13.35,13.35,13.11,13.3,0.2
2024-08-08,186597.0,13.3,13.2,13.5,13.11,13.25,-0.05
2024-08-09,1124109.0,13.25,13.25,14.1,13.15,13.65,0.4
2024-08-12,8155027.0,13.65,13.42,14.3,13.41,14.23,0.58
2024-08-13,451762.0,14.23,14.27,14.39,13.88,14.05,-0.18
2024-08-15,6991099.0,14.05,13.95,15.46,13.9,15.12,1.07
