Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-08,720.0,99.13,0.0,0.0,0.0,99.13,0.0
2024-01-17,190.0,99.13,0.0,0.0,0.0,99.13,0.0
2024-02-27,65.0,99.13,0.0,0.0,0.0,99.13,0.0
2024-03-13,1040.0,99.13,0.0,0.0,0.0,99.13,0.0
2024-04-24,250.0,99.13,0.0,0.0,0.0,99.13,0.0
2024-07-03,2.0,100.1,100.0,100.0,100.0,100.1,0.0
2024-07-11,4.0,100.1,90.0,90.0,90.0,100.1,0.0
2024-08-21,2.0,100.1,100.0,100.0,100.0,100.1,0.0
2025-04-18,1000.0,99.13,0.0,0.0,0.0,99.13,0.0
2025-05-21,1500.0,99.13,0.0,0.0,0.0,99.13,0.0
