Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5951434.0,73.52,74.6,79.03,74.21,79.03,5.51
2024-01-02,7426585.0,79.03,80.0,81.5,78.0,78.71,-0.32
2024-01-03,3490641.0,78.71,79.3,80.5,77.5,78.3,-0.41
2024-01-04,3095484.0,78.3,78.39,79.0,76.5,78.04,-0.26
2024-01-05,2937935.0,78.04,78.0,80.1,76.11,79.07,1.03
2024-01-08,5363225.0,79.07,79.1,80.8,75.51,76.73,-2.34
2024-01-09,3409500.0,76.73,76.8,77.5,75.2,76.67,-0.06
2024-01-10,3909984.0,76.67,77.0,78.8,76.01,76.56,-0.11
2024-01-11,4331582.0,76.56,77.2,78.45,76.5,78.03,1.47
2024-01-12,4215892.0,78.03,78.85,78.98,76.75,77.12,-0.91
2024-01-15,2524859.0,77.12,77.5,78.3,75.4,75.76,-1.36
2024-01-16,2327332.0,75.76,75.7,75.96,72.25,74.3,-1.46
2024-01-17,2480933.0,74.3,74.37,75.85,73.25,73.82,-0.48
2024-01-18,1718120.0,73.82,73.5,73.5,71.0,73.13,-0.69
2024-01-19,1445121.0,73.13,73.5,74.29,70.75,71.29,-1.84
2024-01-22,3595172.0,71.29,71.99,75.85,71.5,75.2,3.91
2024-01-23,1985409.0,75.2,74.99,74.99,72.5,73.84,-1.36
2024-01-24,1719.0,75.25,74.6,77.01,74.2,74.93,-0.32
2024-01-25,2276829.0,73.39,73.99,74.1,70.6,71.55,-1.84
2024-01-26,1974638.0,71.55,71.01,72.1,70.25,70.51,-1.04
2024-01-29,1792357.0,70.51,70.5,70.5,67.38,68.16,-2.35
2024-01-30,6358702.0,68.16,67.6,68.97,64.11,65.18,-2.98
2024-01-31,4091659.0,65.18,65.99,67.25,64.82,65.27,0.09
2024-02-01,2344720.0,65.27,65.38,66.45,64.25,65.62,0.35
2024-02-02,1415498.0,65.62,65.89,66.42,65.4,65.73,0.11
2024-02-06,4109688.0,65.73,66.0,69.5,66.0,68.51,2.78
2024-02-07,1621853.0,68.51,69.0,69.98,68.55,69.55,1.04
2024-02-09,4581758.0,69.55,67.01,67.91,64.33,66.1,-3.45
2024-02-12,4826460.0,66.1,66.0,66.9,61.15,61.9,-4.2
2024-02-13,7745872.0,61.9,60.15,62.31,57.53,60.64,-1.26
2024-02-14,3468710.0,60.64,61.33,65.19,61.33,65.19,4.55
2024-02-15,6439106.0,65.19,66.49,67.75,62.16,63.68,-1.51
2024-02-16,4.0,65.0,62.0,62.0,62.0,62.0,3.0
2024-02-19,2832977.0,60.91,60.5,63.79,58.6,63.48,2.57
2024-02-20,2442642.0,63.48,63.4,64.7,62.6,63.02,-0.46
2024-02-21,2139717.0,63.02,64.9,65.0,63.4,64.79,1.77
2024-02-22,1159967.0,64.79,64.99,65.7,64.51,65.15,0.36
2024-02-23,1887940.0,65.15,65.0,66.5,65.0,66.38,1.23
2024-02-26,3466777.0,66.38,67.0,68.0,66.4,66.57,0.19
2024-02-27,2279933.0,66.57,67.25,68.1,66.51,66.93,0.36
2024-02-28,2843881.0,66.93,66.9,68.5,66.9,67.81,0.88
2024-02-29,2610965.0,67.81,68.16,69.1,67.7,68.3,0.49
2024-03-01,1718507.0,68.3,68.3,68.8,66.58,67.35,-0.95
2024-03-04,2572524.0,67.35,68.0,69.0,67.12,68.77,1.42
2024-03-05,3536749.0,68.77,69.0,69.0,64.65,66.95,-1.82
2024-03-06,4401245.0,66.95,67.16,67.88,65.5,65.81,-1.14
2024-03-07,739416.0,65.81,65.6,66.0,64.8,65.6,-0.21
2024-03-08,814726.0,65.6,66.4,66.45,65.1,65.67,0.07
2024-03-11,979432.0,65.67,65.65,66.36,65.25,65.58,-0.09
2024-03-12,815850.0,65.58,65.98,65.98,63.6,63.74,-1.84
2024-03-13,1167170.0,63.74,63.99,64.5,61.63,62.56,-1.18
2024-03-14,746885.0,62.56,62.88,64.5,62.5,64.02,1.46
2024-03-15,429261.0,64.02,64.45,64.5,63.01,63.24,-0.78
2024-03-18,452179.0,63.24,63.39,64.4,63.02,63.67,0.43
2024-03-19,511485.0,63.67,63.67,64.2,62.9,63.34,-0.33
2024-03-20,691348.0,63.34,63.95,64.1,62.65,62.95,-0.39
2024-03-21,1283736.0,62.95,63.0,63.73,61.5,62.01,-0.94
2024-03-22,704785.0,62.01,61.99,62.45,60.8,61.04,-0.97
2024-03-25,274.0,61.39,61.8,62.4,61.75,62.03,0.64
2024-03-26,298540.0,61.79,62.0,62.0,61.05,61.2,-0.59
2024-03-27,964852.0,61.2,61.01,63.0,61.01,62.68,1.48
2024-03-28,1642153.0,62.68,62.9,64.35,62.79,63.18,0.5
2024-03-29,493656.0,63.18,63.5,63.88,62.11,62.52,-0.66
2024-04-01,382413.0,62.52,62.96,63.23,61.51,61.64,-0.88
2024-04-02,610791.0,61.64,62.0,62.0,60.75,60.85,-0.79
2024-04-03,442861.0,60.85,61.4,61.78,60.6,61.49,0.64
2024-04-04,531004.0,61.49,62.01,62.6,61.51,61.97,0.48
2024-04-08,1183767.0,61.97,62.4,64.45,62.11,63.87,1.9
2024-04-09,2953385.0,63.87,64.01,66.33,63.87,65.07,1.2
2024-04-15,1095718.0,65.07,64.99,65.39,63.9,65.04,-0.03
