Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,2.0,19.89,19.49,19.49,19.49,19.49,-0.4
2024-01-25,1.0,19.68,19.5,19.5,19.5,19.5,-0.18
2024-01-31,1.0,19.45,19.51,19.51,19.51,19.51,0.06
2024-02-12,2.0,19.56,19.36,19.36,19.36,19.36,-0.2
2024-02-13,2.0,19.36,18.65,18.65,18.65,18.65,-0.71
2024-03-05,1000.0,20.27,0.0,0.0,0.0,20.08,-0.19
2024-03-06,1000.0,20.08,0.0,0.0,0.0,19.98,-0.1
2024-04-02,5.0,20.41,20.44,20.44,20.44,20.44,0.03
2024-04-16,5.0,20.62,20.62,20.62,20.62,20.62,0.0
2024-04-19,898500.0,19.16,19.16,19.25,18.51,18.92,-0.24
2024-04-22,348500.0,18.92,19.2,19.2,18.9,18.94,0.02
2024-04-23,385000.0,18.94,19.0,19.1,18.87,18.95,0.01
2024-04-24,357000.0,18.95,18.99,19.04,18.9,18.95,0.0
2024-04-25,228500.0,18.95,18.98,19.0,18.85,18.95,0.0
2024-04-26,1015500.0,18.95,18.8,19.1,17.6,18.22,-0.73
2024-04-29,548000.0,18.22,18.41,18.55,18.0,18.19,-0.03
2024-04-30,401000.0,18.19,18.11,18.2,18.02,18.14,-0.05
2024-05-02,236500.0,18.14,18.55,18.55,18.02,18.17,0.03
2024-05-03,569000.0,18.17,18.15,18.3,18.15,18.21,0.04
2024-05-06,260000.0,18.21,18.35,18.49,18.15,18.37,0.16
2024-05-07,150500.0,18.37,18.37,18.44,18.25,18.35,-0.02
2024-05-08,549500.0,18.35,18.6,18.6,18.24,18.29,-0.06
2024-05-09,269500.0,18.29,18.3,18.6,18.3,18.42,0.13
2024-05-10,473500.0,18.42,18.5,18.5,18.33,18.35,-0.07
2024-05-16,40.0,18.71,0.0,0.0,0.0,18.69,-0.02
2024-09-04,598912.0,17.83,18.05,18.09,17.7,17.89,0.06
2024-09-05,679221.0,17.89,18.0,18.06,17.8,18.0,0.11
2024-09-06,62975.0,18.0,18.0,18.1,17.9,17.98,-0.02
2024-09-09,98340.0,17.98,18.0,18.01,17.9,17.97,-0.01
2024-09-10,149001.0,17.97,17.95,18.0,17.9,17.97,0.0
2024-09-11,169481.0,17.97,17.95,18.02,17.86,17.95,-0.02
2024-09-12,228190.0,17.95,18.0,18.1,17.5,17.96,0.01
2024-09-13,1172044.0,17.96,18.4,18.49,18.01,18.06,0.1
2024-09-16,201372.0,18.06,18.01,18.1,18.01,18.09,0.03
