Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3300.0,628.36,612.33,629.49,612.33,619.95,-8.41
2024-01-02,3550.0,619.95,618.0,622.0,600.0,600.5,-19.45
2024-01-03,9850.0,600.5,600.0,625.5,600.0,625.02,24.52
2024-01-04,32350.0,625.02,628.0,660.0,628.0,653.89,28.87
2024-01-05,26850.0,653.89,659.85,699.99,659.85,683.24,29.35
2024-01-08,2450.0,683.24,663.61,679.99,663.61,666.21,-17.03
2024-01-09,4500.0,666.21,672.0,675.0,667.0,668.0,1.79
2024-01-10,6700.0,668.0,668.0,672.0,662.0,663.82,-4.18
2024-01-11,3750.0,663.82,655.0,674.0,655.0,670.79,6.97
2024-01-12,1600.0,670.79,680.0,680.0,648.03,648.03,-22.76
2024-01-15,4850.0,648.03,635.1,646.5,635.1,646.43,-1.6
2024-01-16,4250.0,646.43,646.0,646.0,635.0,645.0,-1.43
2024-01-17,2900.0,645.0,649.99,660.0,645.0,645.0,0.0
2024-01-18,2200.0,645.0,635.0,645.0,602.0,642.0,3.0
2024-01-19,6800.0,642.0,616.69,633.01,616.69,625.5,-16.5
2024-01-22,20650.0,625.5,650.0,660.0,641.6,651.74,26.24
2024-01-23,10600.0,651.74,630.0,655.0,630.0,652.28,0.54
2024-01-24,24950.0,652.28,655.0,675.0,650.0,663.44,11.16
2024-01-25,5150.0,663.44,665.0,665.0,660.0,662.0,-1.44
2024-01-26,1250.0,662.0,660.01,665.0,651.0,660.0,2.0
2024-01-29,1750.0,660.0,650.0,650.0,650.0,650.0,10.0
2024-01-30,2750.0,650.0,650.0,650.0,650.0,650.0,0.0
2024-01-31,4350.0,650.0,615.0,673.0,615.0,629.67,-20.33
2024-02-01,200.0,629.67,621.0,637.0,621.0,629.0,-0.67
2024-02-02,350.0,629.0,636.0,644.99,635.0,635.0,6.0
2024-02-06,600.0,635.0,635.0,635.0,635.0,635.0,0.0
2024-02-07,7600.0,635.0,635.0,650.01,635.0,650.0,15.0
2024-02-09,1800.0,650.0,635.0,635.0,608.16,630.53,-19.47
2024-02-12,1250.0,630.53,648.5,648.5,625.0,629.0,-1.53
2024-02-13,200.0,629.0,629.99,630.0,629.99,630.0,1.0
2024-02-14,5100.0,630.0,610.0,636.95,610.0,635.0,5.0
2024-02-15,1350.0,635.0,625.0,633.9,620.15,628.95,-6.05
2024-02-16,1700.0,628.95,610.15,611.1,600.0,606.0,-22.95
2024-02-19,7250.0,606.0,600.0,605.0,578.0,590.0,16.0
2024-02-20,1850.0,590.0,600.0,600.0,590.0,590.0,0.0
2024-02-21,6850.0,590.0,613.96,634.25,613.96,627.44,37.44
2024-02-22,13500.0,627.44,626.0,670.0,615.1,657.0,29.56
2024-02-23,6700.0,657.0,664.95,675.0,660.0,665.97,8.97
2024-02-26,3300.0,665.97,666.0,690.0,660.0,670.0,4.03
2024-02-27,41200.0,670.0,670.0,679.0,619.75,619.75,-50.25
2024-02-28,10550.0,619.75,619.4,625.1,601.1,616.0,-3.75
2024-02-29,10700.0,616.0,619.0,630.0,618.99,625.04,9.04
2024-03-01,274350.0,625.04,629.99,632.0,620.0,632.0,6.96
2024-03-04,1800.0,632.0,620.55,629.9,620.55,627.98,-4.02
2024-03-05,2650.0,627.98,625.0,625.0,616.0,622.5,-5.48
2024-03-06,1100.0,622.5,616.35,624.45,616.35,624.45,1.95
2024-03-07,1850.0,624.45,615.51,620.95,615.51,618.01,-6.44
2024-03-08,3950.0,618.01,621.0,621.0,615.0,619.06,1.05
2024-03-11,22700.0,619.06,620.0,638.0,618.01,620.0,0.94
2024-03-12,350.0,620.0,633.25,633.25,625.0,625.0,5.0
2024-03-13,1050.0,625.0,620.0,620.0,615.0,615.0,10.0
2024-03-14,650.0,615.0,614.99,617.0,614.99,617.0,2.0
2024-03-15,200.0,617.0,607.0,607.0,605.12,605.12,-11.88
2024-03-18,1350.0,605.12,600.0,616.5,591.01,602.32,-2.8
2024-03-19,350.0,602.32,601.05,617.75,601.05,601.35,-0.97
2024-03-20,200.0,601.35,612.0,612.0,602.0,602.0,0.65
2024-03-21,900.0,602.0,612.03,612.03,601.0,601.67,-0.33
2024-03-22,400.0,601.67,597.0,597.0,596.05,596.05,-5.62
2024-03-25,2950.0,596.05,599.99,601.0,575.0,577.5,-18.55
2024-03-26,1000.0,577.5,570.03,584.0,570.0,584.0,6.5
2024-03-27,1500.0,584.0,571.03,586.0,570.0,583.99,-0.01
2024-03-28,20700.0,583.99,571.0,600.0,565.0,574.88,-9.11
2024-03-29,3350.0,574.88,575.0,580.0,575.0,580.0,5.12
2024-04-01,750.0,580.0,571.01,571.01,565.01,565.01,-14.99
2024-04-02,13750.0,565.01,570.0,570.0,523.01,560.4,-4.61
2024-04-03,2150.0,560.4,552.0,574.95,552.0,567.99,7.59
2024-04-04,10200.0,567.99,560.0,589.0,560.0,589.0,21.01
2024-04-08,6350.0,589.0,608.5,623.0,600.0,608.94,19.94
2024-04-09,3300.0,608.94,616.0,625.0,610.0,620.12,11.18
2024-04-15,2450.0,620.12,620.0,620.0,615.0,616.62,-3.5
2024-04-16,16750.0,616.62,616.65,616.65,607.0,610.11,-6.51
2024-04-17,1700.0,610.11,609.0,629.4,609.0,620.16,10.05
2024-04-18,500.0,610.16,610.0,618.5,610.0,612.0,1.84
2024-04-19,1850.0,612.0,600.6,608.9,595.95,602.5,-9.5
2024-04-22,4174.0,602.5,600.0,615.0,587.0,595.91,-6.59
2024-04-23,1085.0,595.91,596.0,599.99,590.0,598.15,2.24
2024-04-24,8202.0,598.15,599.99,606.0,599.99,601.78,3.63
2024-04-25,7602.0,601.78,600.0,605.0,586.0,594.43,-7.35
2024-04-26,12740.0,594.43,594.0,615.0,585.85,599.62,5.19
2024-04-29,27995.0,599.62,587.87,609.0,587.87,602.03,2.41
2024-04-30,20070.0,602.03,600.2,606.99,599.0,599.0,-3.03
2024-05-02,9185.0,599.0,614.0,615.0,580.01,593.63,-5.37
2024-05-03,20305.0,593.63,595.01,612.0,592.0,609.86,16.23
2024-05-06,32684.0,609.86,612.0,650.0,612.0,638.88,29.02
2024-05-07,69021.0,638.88,641.0,668.0,640.0,661.31,22.43
2024-05-08,114027.0,661.31,684.0,710.91,670.0,710.91,49.6
2024-05-09,57372.0,710.91,736.98,764.23,719.88,764.23,53.32
2024-05-10,76024.0,764.23,770.01,820.0,715.01,778.48,14.25
2024-05-13,102534.0,778.48,780.0,836.87,780.0,834.83,56.35
2024-05-14,20886.0,834.83,895.0,895.0,830.0,833.65,-1.18
2024-05-15,22152.0,833.65,830.11,830.11,775.0,784.77,-48.88
2024-05-16,79482.0,784.77,787.0,815.0,760.0,801.55,16.78
2024-05-17,6404.0,801.55,791.0,810.0,775.0,778.03,-23.52
2024-05-20,520.0,778.03,799.48,799.48,775.01,785.0,6.97
2024-05-21,107720.0,785.0,790.0,843.88,790.0,841.46,56.46
2024-05-22,60589.0,841.46,850.0,900.0,845.0,846.84,5.38
2024-05-23,4616.0,846.84,833.0,850.0,833.0,848.15,1.31
2024-05-24,22504.0,848.15,849.99,870.0,834.2,850.66,2.51
2024-05-27,29432.0,850.66,859.99,892.0,859.99,874.8,24.14
2024-05-29,104617.0,874.8,885.0,929.99,866.0,918.63,43.83
2024-05-30,90520.0,918.63,919.8,989.0,913.0,976.41,57.78
2024-05-31,24581.0,976.41,990.0,1019.99,955.0,980.96,4.55
2024-06-03,29841.0,980.96,983.0,1015.0,983.0,994.51,13.55
2024-06-04,23757.0,994.51,995.0,1012.99,950.0,971.38,-23.13
2024-06-05,10105.0,971.38,989.0,989.0,961.0,975.24,3.86
2024-06-06,18785.0,975.24,970.0,982.0,912.0,929.74,-45.5
2024-06-07,12452.0,929.74,922.01,955.0,871.0,949.71,19.97
2024-06-10,8683.0,949.71,965.0,980.75,934.01,973.75,24.04
2024-06-11,34697.0,973.75,981.0,1020.0,981.0,1006.29,32.54
2024-06-12,23363.0,1006.29,1020.0,1025.0,992.0,994.8,-11.49
2024-06-13,10655.0,994.8,1030.0,1038.0,990.63,1000.31,5.51
2024-06-14,12649.0,1000.31,1010.0,1010.0,982.0,998.8,-1.51
2024-06-20,16555.0,998.8,990.0,1004.99,980.0,1000.9,2.1
2024-06-21,9111.0,1000.9,997.9,1000.0,975.0,976.32,-24.58
2024-06-24,5390.0,976.32,960.01,984.0,955.58,961.84,-14.48
2024-06-25,373.0,961.84,970.0,970.0,955.0,958.14,-3.7
2024-06-26,2949.0,958.14,940.28,968.5,940.0,949.81,-8.33
2024-06-27,4228.0,949.81,960.0,960.0,932.0,943.08,-6.73
2024-06-28,1902.0,943.08,945.0,954.99,940.0,950.83,7.75
2024-07-01,33440.0,950.83,959.99,1036.4,959.0,1004.42,53.59
2024-07-02,18777.0,1004.42,1000.0,1023.85,980.0,994.44,-9.98
2024-07-03,2863.0,994.44,991.5,1010.0,980.0,992.75,-1.69
2024-07-04,20528.0,992.75,1000.0,1008.0,970.0,974.59,-18.16
2024-07-05,8757.0,974.59,988.0,988.0,955.0,971.39,-3.2
2024-07-08,2903.0,971.39,971.39,989.0,902.05,946.87,-24.52
2024-07-09,23575.0,946.87,959.95,989.99,933.7,938.76,-8.11
2024-07-10,11322.0,938.76,965.0,965.0,925.0,929.99,-8.77
2024-07-11,3917.0,929.99,920.0,939.99,915.0,922.96,-7.03
2024-07-12,10676.0,922.96,934.9,955.0,921.0,951.83,28.87
2024-07-15,8323.0,951.83,970.0,1000.01,970.0,980.04,28.21
2024-07-18,2388.0,980.04,980.04,989.5,975.0,977.9,-2.14
2024-07-19,14065.0,977.9,972.11,999.0,965.6,972.79,-5.11
2024-07-22,1365.0,972.79,979.5,979.5,950.0,965.47,-7.32
2024-07-23,1074.0,965.47,978.66,978.66,945.0,965.04,-0.43
2024-07-24,291.0,965.04,974.0,974.0,945.0,945.13,-19.91
2024-07-25,10427.0,945.13,972.5,972.5,940.0,940.26,-4.87
2024-07-26,566.0,940.26,957.0,957.0,920.01,933.68,-6.58
2024-07-29,19206.0,933.68,970.0,970.0,876.0,941.52,7.84
2024-07-30,1822.0,941.52,950.0,950.0,913.01,923.8,-17.72
2024-07-31,2530.0,923.8,925.0,935.0,909.0,911.79,-12.01
2024-08-01,4462.0,911.79,919.9,925.0,885.0,910.0,-1.79
2024-08-02,5434.0,910.0,900.0,925.0,900.0,904.36,-5.64
2024-08-05,1721.0,904.36,890.0,920.0,855.0,909.05,4.69
2024-08-06,1909.0,909.05,900.0,900.0,881.0,890.68,-18.37
2024-08-07,522.0,890.68,900.0,906.0,886.0,900.97,10.29
2024-08-08,1835.0,900.97,914.0,914.0,890.0,909.94,8.97
2024-08-09,7505.0,909.94,989.99,989.99,905.0,918.35,8.41
2024-08-12,20622.0,918.35,918.35,998.0,910.0,967.3,48.95
2024-08-13,2685.0,967.3,988.0,988.0,950.0,963.2,-4.1
2024-08-15,3001.0,963.2,980.0,980.0,950.0,965.01,1.81
2024-08-16,2728.0,965.01,972.0,972.0,940.13,949.67,-15.34
2024-08-19,12561.0,949.67,953.5,999.0,952.99,974.17,24.5
2024-08-20,2181.0,974.17,995.75,995.75,955.6,965.24,-8.93
2024-08-21,1587.0,965.24,989.0,989.0,965.0,975.0,9.76
2024-08-22,34679.0,975.0,980.0,1072.5,980.0,1067.02,92.02
2024-08-23,23960.0,1067.02,1067.0,1105.0,1067.0,1085.94,18.92
2024-08-26,13507.0,1085.94,1000.0,1050.0,990.0,1020.88,-65.06
2024-08-27,15534.0,1020.88,1000.01,1019.0,1000.0,1000.03,-20.85
2024-08-28,678.0,1000.03,1000.05,1005.0,980.75,998.58,-1.45
2024-08-29,1908.0,998.58,965.0,1000.0,965.0,996.93,-1.65
2024-08-30,1764.0,996.93,970.01,998.98,970.01,992.43,-4.5
2024-09-02,40953.0,992.43,1000.0,1049.0,999.99,1032.22,39.79
2024-09-03,19758.0,1032.22,1040.0,1060.0,1030.0,1041.93,9.71
2024-09-04,2664.0,1041.93,1030.11,1050.0,1030.1,1045.9,3.97
2024-09-05,2289.0,1045.9,1049.0,1049.0,1000.0,1001.56,-44.34
2024-09-06,5364.0,1001.56,1044.99,1044.99,1000.0,1010.1,8.54
2024-09-09,6386.0,1010.1,1018.0,1040.5,1017.9,1039.47,29.37
2024-09-10,12144.0,1039.47,1040.0,1100.0,1002.0,1080.66,41.19
2024-09-11,14112.0,1080.66,1056.01,1110.0,1056.0,1065.0,-15.66
2024-09-12,29723.0,1065.0,1061.01,1090.0,1060.0,1065.95,0.95
2024-09-13,20243.0,1065.95,1084.95,1156.0,1084.95,1131.45,65.5
2024-09-16,315.0,1131.45,1085.51,1144.5,1085.51,1101.26,-30.19
2024-09-18,540.0,1101.26,1147.9,1147.9,1103.0,1106.05,4.79
2024-09-19,17346.0,1106.05,1145.0,1150.0,1075.0,1082.7,-23.35
2024-09-20,19907.0,1082.7,1080.0,1150.0,1080.0,1149.79,67.09
2024-09-23,4873.0,1149.79,1149.79,1155.0,1108.0,1149.03,-0.76
2024-09-24,290.0,1149.03,1159.99,1159.99,1112.0,1112.8,-36.23
2024-09-25,14599.0,1112.8,1146.9,1168.0,1145.8,1159.59,46.79
2024-09-26,8802.0,1159.59,1180.0,1210.0,1170.0,1198.83,39.24
2024-09-27,56.0,1198.83,1200.0,1201.0,1190.0,1198.35,-0.48
2024-09-30,2077.0,1198.35,1200.0,1205.5,1151.51,1178.53,-19.82
2024-10-01,27268.0,1178.53,1208.5,1250.0,1180.0,1231.4,52.87
