Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10727610.0,11.33,11.49,12.33,11.42,12.33,1.0
2024-01-02,7136254.0,12.33,12.5,12.7,12.01,12.13,-0.2
2024-01-03,3663947.0,12.13,12.25,12.43,11.98,12.01,-0.12
2024-01-04,2297799.0,12.01,12.03,12.23,11.66,11.89,-0.12
2024-01-05,5928829.0,11.89,11.99,12.51,11.74,12.17,0.28
2024-01-08,9340644.0,12.17,12.47,13.12,12.2,12.43,0.26
2024-01-09,2318117.0,12.43,12.6,12.74,12.22,12.42,-0.01
2024-01-10,4843084.0,12.42,12.59,12.8,12.41,12.46,0.04
2024-01-11,3831687.0,12.46,12.63,12.84,12.48,12.57,0.11
2024-01-12,2573924.0,12.57,12.69,12.74,12.27,12.35,-0.22
2024-01-15,5661072.0,12.35,12.59,12.95,12.27,12.36,0.01
2024-01-16,2968130.0,12.36,12.44,12.44,11.7,12.1,-0.26
2024-01-17,2947457.0,12.1,12.18,12.6,11.9,11.99,-0.11
2024-01-18,2653953.0,11.99,11.8,11.98,11.46,11.68,-0.31
2024-01-19,1158855.0,11.68,11.84,11.94,11.55,11.6,-0.08
2024-01-22,2673.0,11.62,11.95,12.31,11.6,12.24,0.62
2024-01-23,4165.0,12.24,12.22,12.29,11.86,12.1,-0.14
2024-01-24,3759561.0,12.11,12.06,12.41,12.0,12.22,0.11
2024-01-25,4904610.0,12.22,12.39,12.65,12.05,12.19,-0.03
2024-01-26,3278.0,12.25,12.35,12.38,11.7,11.82,-0.43
2024-01-29,1793909.0,11.86,12.0,12.0,11.36,11.47,-0.39
2024-01-30,1820259.0,11.47,11.33,11.7,10.94,11.04,-0.43
2024-01-31,765458.0,11.04,11.25,11.3,11.06,11.12,0.08
2024-02-01,679529.0,11.12,11.32,11.32,10.91,11.09,-0.03
2024-02-02,1524441.0,11.09,11.08,11.55,11.01,11.3,0.21
2024-02-06,3058524.0,11.3,11.46,12.05,11.46,11.84,0.54
2024-02-07,1628593.0,11.84,12.0,12.14,11.63,11.74,-0.1
2024-02-09,1101603.0,11.74,11.7,11.7,11.2,11.36,-0.38
2024-02-12,1593898.0,11.36,11.28,11.5,10.56,10.67,-0.69
2024-02-13,2293148.0,10.67,10.5,10.76,9.87,10.54,-0.13
2024-02-14,3481292.0,10.54,10.75,11.49,10.72,11.43,0.89
2024-02-15,2931969.0,11.43,11.65,11.69,11.1,11.22,-0.21
2024-02-16,20.0,11.56,11.25,11.25,11.25,11.25,-0.31
2024-02-19,1972633.0,10.65,10.55,11.0,10.06,10.91,0.26
2024-02-20,689695.0,10.91,10.9,11.19,10.75,10.8,-0.11
2024-02-21,1025856.0,10.8,11.06,11.29,10.8,10.94,0.14
2024-02-22,1979319.0,10.94,11.04,11.15,10.89,10.93,-0.01
2024-02-23,2611854.0,10.93,10.91,11.15,10.86,11.01,0.08
2024-02-26,2822550.0,11.01,11.1,11.5,11.01,11.39,0.38
2024-02-27,8289342.0,11.39,11.44,11.91,11.26,11.64,0.25
2024-02-28,3457505.0,11.64,11.59,11.89,11.47,11.56,-0.08
2024-02-29,2348395.0,11.56,11.69,11.75,11.38,11.4,-0.16
2024-03-01,579377.0,11.4,11.36,11.41,11.19,11.29,-0.11
2024-03-04,1692742.0,11.29,11.49,11.52,11.2,11.46,0.17
2024-03-05,2521780.0,11.46,11.46,11.64,11.06,11.2,-0.26
2024-03-06,969108.0,11.2,11.3,11.48,11.2,11.21,0.01
2024-03-07,1882739.0,11.21,11.25,11.28,10.91,11.0,-0.21
2024-03-08,2335805.0,11.0,11.0,11.3,11.0,11.15,0.15
2024-03-11,1560970.0,11.15,11.1,11.3,11.0,11.05,-0.1
2024-03-12,2801607.0,11.05,11.06,11.25,10.85,10.9,-0.15
2024-03-13,778537.0,10.9,10.91,11.0,10.73,10.77,-0.13
2024-03-14,1938423.0,10.77,11.0,11.23,10.81,11.15,0.38
2024-03-15,549275.0,11.15,11.1,11.15,10.9,10.95,-0.2
2024-03-18,5954955.0,10.95,11.18,11.44,10.86,11.01,0.06
2024-03-19,1151255.0,11.01,11.02,11.05,10.8,10.83,-0.18
2024-03-20,727951.0,10.83,10.91,11.11,10.68,11.04,0.21
2024-03-21,3423204.0,11.04,11.47,11.47,10.85,11.03,-0.01
2024-03-22,373093.0,11.03,10.93,11.15,10.81,10.97,-0.06
2024-03-25,1403949.0,10.97,11.0,11.05,10.7,10.75,-0.22
2024-03-26,3672655.0,10.75,11.05,11.15,10.66,10.75,0.0
2024-03-27,1215773.0,10.75,10.8,10.8,10.57,10.74,-0.01
2024-03-28,678561.0,10.74,10.71,10.95,10.71,10.79,0.05
2024-03-29,2134351.0,10.79,10.94,10.94,10.4,10.49,-0.3
2024-04-01,763134.0,10.49,10.5,10.57,10.3,10.31,-0.18
