Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,75000.0,9.42,9.0,10.1,8.99,9.88,0.46
2024-01-02,9000.0,9.88,10.44,10.5,10.0,10.4,0.52
2024-01-03,45000.0,10.4,10.4,10.45,9.4,9.4,1.0
2024-01-05,27000.0,9.4,8.45,8.5,8.4,8.44,-0.96
2024-01-08,32000.0,8.44,7.66,8.0,7.44,7.6,-0.84
2024-01-09,6500.0,7.6,7.6,7.8,7.1,7.16,-0.44
2024-01-10,500.0,7.16,0.0,0.0,0.0,7.16,0.0
2024-01-11,1000.0,7.16,7.2,7.25,7.2,7.25,0.09
2024-01-12,1500.0,7.25,7.25,7.4,7.25,7.4,0.15
2024-01-15,10000.0,7.4,7.31,7.31,7.0,7.1,-0.3
2024-01-23,500.0,7.1,7.99,7.99,7.99,7.99,0.89
2024-01-25,1000.0,7.99,7.52,7.52,7.52,7.52,-0.47
2024-01-29,500.0,7.52,8.44,8.44,8.44,8.44,0.92
2024-01-30,8500.0,8.44,7.55,7.55,7.44,7.44,1.0
2024-02-01,20000.0,7.44,6.66,6.66,6.65,6.65,-0.79
2024-02-02,500.0,6.65,0.0,0.0,0.0,6.65,0.0
2024-02-06,6000.0,6.65,7.35,7.35,7.09,7.19,0.54
2024-02-07,2500.0,7.19,7.2,7.2,7.12,7.12,-0.07
2024-02-12,6500.0,7.12,7.35,7.38,7.14,7.14,0.02
2024-02-16,1000.0,7.14,6.69,6.69,6.69,6.69,-0.45
2024-02-19,1000.0,6.69,7.1,7.1,7.1,7.1,0.41
2024-02-20,1500.0,7.1,7.11,7.11,7.09,7.09,-0.01
2024-02-21,500.0,7.09,6.5,6.5,6.5,6.5,-0.59
2024-02-22,4500.0,6.5,6.3,6.99,6.0,6.99,0.49
2024-02-23,1500.0,6.99,6.5,6.7,6.5,6.7,-0.29
2024-02-26,11000.0,6.7,6.5,6.51,6.5,6.5,-0.2
2024-02-27,4000.0,6.5,6.24,6.24,6.21,6.21,-0.29
2024-02-28,4500.0,6.21,6.6,7.19,6.5,7.18,0.97
2024-02-29,7000.0,7.18,7.1,7.1,6.38,6.38,-0.8
2024-03-04,1000.0,6.38,6.56,6.56,6.55,6.55,0.17
2024-03-05,1500.0,6.55,6.85,6.85,6.5,6.55,0.0
2024-03-06,1000.0,6.55,6.6,6.6,6.4,6.4,-0.15
2024-03-07,31500.0,6.4,7.24,7.33,6.2,6.24,-0.16
2024-03-08,1000.0,6.24,6.25,6.25,6.25,6.25,0.01
2024-03-12,15500.0,6.25,6.15,6.15,5.41,5.41,-0.84
2024-03-15,1000.0,5.41,5.65,5.85,5.65,5.85,0.44
2024-03-18,1500.0,5.85,6.29,6.29,6.1,6.1,0.25
2024-03-22,500.0,6.1,0.0,0.0,0.0,6.1,0.0
2024-03-25,8000.0,6.1,5.67,6.29,5.35,5.75,-0.35
2024-03-26,3000.0,5.75,5.55,5.55,5.55,5.55,-0.2
2024-04-01,3000.0,5.55,5.41,5.41,5.31,5.31,-0.24
2024-04-04,2000.0,5.33,5.19,6.2,5.19,5.4,0.07
2024-04-15,1500.0,5.4,5.85,6.19,5.85,6.19,0.79
2024-04-16,6500.0,6.19,6.17,6.95,6.17,6.19,0.0
2024-04-17,500.0,6.19,6.03,6.03,6.03,6.03,-0.16
2024-04-18,1500.0,6.03,5.9,5.9,5.8,5.81,-0.22
2024-04-19,3000.0,5.81,6.06,6.2,6.06,6.2,0.39
2024-04-22,2500.0,6.2,6.2,6.36,6.0,6.0,-0.2
2024-04-23,24500.0,6.0,5.74,6.08,5.7,5.85,-0.15
2024-04-24,6000.0,5.85,5.71,5.76,5.7,5.7,-0.15
2024-04-25,500.0,5.7,5.7,5.7,5.7,5.7,0.0
2024-04-30,3000.0,5.7,5.64,5.64,5.47,5.47,-0.23
2024-05-02,1000.0,5.47,5.43,5.43,5.43,5.43,-0.04
2024-05-03,1000.0,5.43,5.89,5.9,5.89,5.9,0.47
2024-05-08,15500.0,5.9,5.6,5.61,5.42,5.42,-0.48
2024-05-09,4500.0,5.42,5.7,5.7,5.23,5.23,-0.19
2024-05-10,12000.0,5.23,5.69,5.69,5.26,5.26,0.03
2024-05-14,7500.0,5.26,5.79,6.1,5.79,5.81,0.55
2024-05-15,4000.0,5.81,6.2,6.2,5.75,5.82,0.01
2024-05-16,38000.0,5.82,6.2,6.82,6.09,6.82,1.0
2024-05-17,10500.0,6.82,7.0,7.0,6.12,6.34,-0.48
2024-05-20,10500.0,6.34,6.0,6.4,6.0,6.4,0.06
2024-05-21,18000.0,6.4,6.2,6.49,6.0,6.16,-0.24
2024-05-22,10500.0,6.16,6.59,6.64,6.04,6.42,0.26
2024-05-23,13000.0,6.42,6.9,7.3,6.65,6.7,0.28
2024-05-24,41000.0,6.7,6.5,6.99,6.4,6.68,-0.02
2024-05-27,13819.0,6.68,6.68,6.85,6.6,6.79,0.11
2024-05-29,40925.0,6.79,6.8,6.8,6.31,6.52,-0.27
2024-05-30,17820.0,6.52,7.1,7.15,6.32,6.5,-0.02
2024-05-31,6303.0,6.5,7.0,7.0,6.3,6.3,-0.2
2024-06-03,44599.0,6.3,6.75,7.0,6.5,6.7,0.4
2024-06-04,13730.0,6.7,6.3,6.5,6.3,6.35,-0.35
2024-06-05,3582.0,6.35,6.4,6.6,6.4,6.42,0.07
2024-06-06,3018.0,6.42,6.35,6.35,6.26,6.26,-0.16
2024-06-07,2502.0,6.26,6.09,6.25,5.85,6.01,-0.25
2024-06-10,4310.0,6.01,6.3,6.85,6.03,6.1,0.09
2024-06-11,2748.0,6.1,6.0,6.12,6.0,6.12,0.02
2024-06-13,1212.0,6.12,6.15,6.15,6.12,6.14,0.02
2024-06-14,122.0,6.14,6.1,6.1,6.1,6.14,0.0
2024-06-20,1.0,6.14,6.21,6.21,6.21,6.14,0.0
2024-06-21,201.0,6.14,6.45,6.45,5.82,6.14,0.0
2024-06-24,760.0,6.14,6.14,6.2,5.88,5.94,-0.2
2024-06-26,6261.0,5.94,5.8,5.8,5.5,5.5,-0.44
2024-06-27,511.0,5.5,5.7,6.3,5.7,5.71,0.21
2024-06-28,10.0,5.71,5.61,5.61,5.61,5.71,0.0
2024-07-01,1000.0,5.71,6.38,6.38,6.34,6.34,0.63
2024-07-04,10000.0,6.34,6.0,6.1,6.0,6.0,-0.34
2024-07-05,12393.0,6.0,6.5,6.5,5.61,5.85,-0.15
2024-07-09,6670.0,5.85,6.05,6.45,6.05,6.13,0.28
2024-07-10,6500.0,6.13,6.25,6.25,6.05,6.2,0.07
2024-07-11,17101.0,6.2,6.0,6.26,5.9,5.92,-0.28
2024-07-12,3000.0,5.92,6.4,6.4,6.0,6.0,0.08
2024-07-15,19082.0,6.0,6.2,6.2,5.64,6.19,0.19
2024-07-18,8500.0,6.19,6.2,6.25,6.0,6.05,-0.14
2024-07-19,57800.0,6.05,6.19,6.4,6.0,6.0,-0.05
2024-07-22,19538.0,6.0,5.61,6.4,5.61,6.02,0.02
2024-07-23,3200.0,6.02,6.2,6.2,6.0,6.1,0.08
2024-07-24,106647.0,6.1,6.1,6.35,5.9,5.91,-0.19
2024-07-25,17016.0,5.91,6.01,6.34,6.0,6.16,0.25
2024-07-26,34412.0,6.16,5.9,6.6,5.9,6.16,0.0
2024-07-29,146204.0,6.16,6.3,6.82,6.21,6.61,0.45
2024-07-30,17689.0,6.61,6.35,6.35,5.76,6.19,-0.42
2024-07-31,2002.0,6.19,6.12,6.13,6.1,6.12,-0.07
2024-08-01,18822.0,6.12,6.13,6.15,6.0,6.09,-0.03
2024-08-02,203911.0,6.09,6.6,7.09,6.11,7.09,1.0
2024-08-05,193956.0,7.09,7.96,7.96,6.75,7.19,0.1
2024-08-06,28446.0,7.19,7.02,7.19,6.97,7.08,-0.11
2024-08-07,38468.0,7.08,7.64,7.64,6.5,7.19,0.11
2024-08-08,698.0,7.19,6.9,7.18,6.75,6.76,-0.43
2024-08-09,4403.0,6.76,7.71,7.71,6.21,6.62,-0.14
2024-08-12,23720.0,6.62,6.5,7.39,6.5,7.0,0.38
2024-08-13,30444.0,7.0,6.99,7.3,6.75,6.93,-0.07
2024-08-15,40999.0,6.93,7.7,7.7,6.52,6.93,0.0
2024-08-16,54812.0,6.93,6.99,7.37,6.99,7.05,0.12
2024-08-19,48068.0,7.05,7.69,7.69,6.87,6.9,-0.15
2024-08-20,1101.0,6.9,6.75,7.04,6.75,7.0,0.1
2024-08-21,6602.0,7.0,6.7,7.0,6.69,6.95,-0.05
2024-08-22,14651.0,6.95,6.73,7.0,6.73,6.76,-0.19
2024-08-23,3514.0,6.76,7.0,7.0,6.75,6.9,0.14
2024-08-27,2001.0,6.9,7.0,7.0,6.81,7.0,0.1
2024-08-28,13215.0,7.0,6.86,7.0,6.52,6.99,-0.01
2024-08-29,113222.0,6.99,6.99,7.7,6.99,7.67,0.68
2024-08-30,198028.0,7.67,7.67,8.67,7.67,8.66,0.99
2024-09-02,47145.0,8.66,8.0,8.4,7.66,7.66,1.0
2024-09-03,57552.0,7.66,7.5,7.66,6.86,7.3,-0.36
2024-09-04,36288.0,7.3,7.8,7.8,7.2,7.24,-0.06
2024-09-05,13499.0,7.24,7.9,7.9,6.8,6.82,-0.42
2024-09-06,4740.0,6.82,7.0,7.4,6.78,7.21,0.39
2024-09-09,53502.0,7.21,6.77,7.26,6.77,7.21,0.0
2024-09-10,54320.0,7.21,6.86,6.9,6.86,6.88,-0.33
2024-09-11,16400.0,6.88,6.91,7.01,6.7,7.0,0.12
2024-09-12,7007.0,7.0,6.51,6.96,6.5,6.71,-0.29
2024-09-13,211528.0,6.71,7.35,7.45,6.7,7.24,0.53
2024-09-16,12987.0,7.24,7.99,7.99,6.9,6.9,-0.34
2024-09-18,501.0,6.9,7.4,7.4,6.99,7.0,0.1
2024-09-19,11381.0,7.0,7.2,7.7,6.65,6.74,-0.26
2024-09-20,10058.0,6.74,7.69,7.69,6.71,7.0,0.26
2024-09-23,7500.0,7.0,6.6,6.93,6.51,6.72,-0.28
2024-09-24,4007.0,6.72,7.5,7.5,6.4,6.66,-0.06
2024-09-25,2103.0,6.66,6.24,6.74,6.24,6.74,0.08
