Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,341000.0,14.25,14.01,15.1,14.01,14.99,0.74
2024-01-02,827500.0,14.99,15.0,15.02,14.76,15.0,0.01
2024-01-03,521500.0,15.0,15.1,15.8,15.0,15.7,0.7
2024-01-04,487000.0,15.7,15.6,16.0,15.5,15.75,0.05
2024-01-05,152500.0,15.75,15.5,15.5,15.25,15.35,-0.4
2024-01-08,215000.0,15.35,14.5,15.1,14.5,15.0,-0.35
2024-01-09,82500.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-01-10,114000.0,15.0,14.91,14.91,14.5,14.5,-0.5
2024-01-11,24500.0,14.5,14.26,14.26,14.0,14.2,-0.3
2024-01-12,11500.0,14.2,14.49,14.49,14.0,14.06,-0.14
2024-01-15,9000.0,14.06,14.2,14.2,14.0,14.0,-0.06
2024-01-16,91000.0,14.0,13.75,14.0,13.75,14.0,0.0
2024-01-17,345000.0,14.0,13.75,13.98,13.75,13.75,-0.25
2024-01-18,1000.0,13.75,13.51,13.75,13.51,13.75,0.0
2024-01-22,27500.0,13.75,13.51,14.0,13.5,13.99,0.24
2024-01-23,3000.0,13.99,14.25,14.25,13.76,14.21,0.22
2024-01-24,61500.0,14.21,14.01,14.05,14.0,14.0,-0.21
2024-01-25,18000.0,14.0,13.76,13.99,13.5,13.73,-0.27
2024-01-29,18500.0,13.73,13.5,13.52,13.3,13.34,-0.39
2024-01-30,14500.0,13.34,13.36,13.36,13.35,13.35,0.01
2024-01-31,16500.0,13.35,13.27,13.27,13.02,13.22,-0.13
2024-02-01,2500.0,13.22,13.07,13.07,13.05,13.06,-0.16
2024-02-02,203000.0,13.06,13.05,13.25,12.99,13.0,-0.06
2024-02-06,69500.0,13.0,12.87,13.25,12.82,13.07,0.07
2024-02-07,5500.0,13.07,13.49,13.49,13.01,13.02,-0.05
2024-02-09,2500.0,13.02,13.0,13.0,13.0,13.0,-0.02
2024-02-12,24000.0,13.0,12.75,12.75,12.5,12.5,-0.5
2024-02-13,18000.0,12.5,12.31,13.0,12.31,13.0,0.5
2024-02-14,3500.0,13.0,13.0,13.0,13.0,13.0,0.0
2024-02-15,6500.0,13.0,12.75,13.0,12.75,12.76,-0.24
2024-02-16,40000.0,12.76,12.51,12.51,11.76,12.16,-0.6
2024-02-19,95500.0,12.16,12.0,12.0,11.76,12.0,-0.16
2024-02-20,1500.0,12.0,12.24,12.24,11.81,11.81,-0.19
2024-02-21,556000.0,11.81,12.01,12.01,12.0,12.0,0.19
2024-02-22,98500.0,12.0,12.0,12.25,12.0,12.25,0.25
2024-02-23,70500.0,12.25,12.05,12.25,11.75,12.25,0.0
2024-02-26,11000.0,12.25,12.06,12.5,12.04,12.27,0.02
2024-02-27,500.0,12.27,12.15,12.15,12.15,12.15,-0.12
2024-02-28,1000.0,12.15,12.01,12.07,12.01,12.07,-0.08
2024-02-29,34000.0,12.07,12.3,12.7,12.3,12.5,0.43
2024-03-01,55000.0,12.5,12.5,12.5,12.3,12.5,0.0
2024-03-04,564000.0,12.5,12.5,12.75,12.5,12.51,0.01
2024-03-05,28000.0,12.51,12.7,12.8,12.5,12.51,0.0
2024-03-06,730000.0,12.51,12.79,13.5,12.79,13.12,0.61
2024-03-07,26500.0,13.12,12.9,13.5,12.9,13.38,0.26
2024-03-08,12000.0,13.38,13.38,13.4,13.0,13.17,-0.21
2024-03-11,2000.0,13.17,13.0,13.06,13.0,13.06,-0.11
2024-03-12,6000.0,13.06,12.75,12.75,12.75,12.75,-0.31
2024-03-13,500.0,12.75,0.0,0.0,0.0,12.75,0.0
2024-03-14,37500.0,12.75,12.99,13.0,12.6,12.92,0.17
2024-03-15,46000.0,12.92,12.52,13.74,12.1,12.83,-0.09
2024-03-18,1000.0,12.83,12.45,13.39,12.45,13.39,0.56
2024-03-19,31000.0,13.39,13.25,13.5,12.76,13.39,0.0
2024-03-20,63000.0,13.39,13.5,13.8,13.3,13.66,0.27
2024-03-21,142000.0,13.66,13.75,13.8,13.5,13.75,0.09
2024-03-22,79000.0,13.75,13.75,14.0,13.75,13.99,0.24
2024-03-25,44500.0,13.99,13.99,14.1,13.75,14.1,0.11
2024-03-26,2500.0,14.1,13.75,14.0,13.75,14.0,-0.1
2024-03-27,47000.0,14.0,13.6,14.24,13.5,14.1,0.1
2024-03-29,94000.0,14.1,14.1,14.49,13.52,14.2,0.1
2024-04-01,7500.0,14.2,13.95,14.0,13.95,14.0,-0.2
2024-04-02,12000.0,14.0,13.75,13.75,13.5,13.5,-0.5
2024-04-03,1000.0,13.5,14.0,14.0,13.95,13.95,0.45
2024-04-04,6000.0,13.95,13.22,13.51,13.21,13.5,-0.45
2024-04-08,63000.0,13.5,12.72,14.49,12.72,14.13,0.63
2024-04-09,7500.0,14.13,14.0,14.0,14.0,14.0,-0.13
2024-04-15,3500.0,14.0,13.98,13.98,13.75,13.75,-0.25
2024-04-16,11000.0,13.75,13.74,13.8,13.74,13.75,0.0
2024-04-17,19000.0,13.75,13.5,13.75,13.5,13.74,-0.01
2024-04-18,6000.0,13.74,13.5,13.74,13.41,13.73,-0.01
2024-04-19,22000.0,13.73,13.33,13.69,13.25,13.35,-0.38
2024-04-22,27000.0,13.35,13.25,13.75,13.25,13.65,0.3
2024-04-23,81500.0,13.65,13.7,14.0,13.7,14.0,0.35
2024-04-24,321000.0,14.0,14.0,14.6,14.0,14.37,0.37
2024-04-25,46500.0,14.37,14.99,15.24,13.52,14.44,0.07
