Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,6500.0,87.65,94.22,94.22,90.0,92.45,4.8
2024-01-05,1000.0,92.45,90.0,94.5,90.0,94.5,2.05
2024-01-10,500.0,93.9,98.25,98.25,98.25,98.25,4.35
2024-01-11,2500.0,98.25,90.88,92.15,90.88,90.88,-7.37
2024-01-12,1000.0,90.88,88.1,88.1,88.0,88.0,-2.88
2024-01-15,1500.0,88.0,86.0,86.0,82.01,82.66,-5.34
2024-01-17,500.0,82.66,84.9,84.9,84.9,84.9,2.24
2024-01-19,2000.0,84.9,85.1,85.1,84.0,84.0,-0.9
2024-01-24,4000.0,84.0,85.05,88.9,85.05,88.9,4.9
2024-01-25,2500.0,88.9,85.76,85.76,85.55,85.55,-3.35
2024-01-30,1000.0,85.55,87.15,87.15,85.0,85.0,-0.55
2024-01-31,3000.0,85.0,85.0,85.0,84.2,84.95,-0.05
2024-02-01,1500.0,84.95,88.5,88.7,88.5,88.7,3.75
2024-02-02,2500.0,88.7,84.4,84.99,84.11,84.11,-4.59
2024-02-12,500.0,84.11,83.0,83.0,83.0,83.0,-1.11
2024-02-15,1500.0,83.0,82.51,84.76,82.0,84.76,1.76
2024-02-19,500.0,84.76,82.0,82.0,82.0,82.0,-2.76
2024-02-20,500.0,82.0,81.0,81.0,81.0,81.0,1.0
2024-02-27,500.0,81.0,83.5,83.5,83.5,83.5,2.5
2024-03-13,500.0,83.5,83.0,83.0,83.0,83.0,-0.5
2024-03-27,1500.0,83.0,80.1,83.5,80.1,83.5,0.5
2024-03-28,500.0,83.5,84.7,84.7,84.7,84.7,1.2
2024-04-02,1000.0,84.7,83.79,83.79,83.19,83.19,-1.51
2024-04-25,500.0,83.19,82.1,82.1,82.1,82.1,-1.09
2024-04-26,2000.0,82.1,84.55,84.55,82.25,82.25,0.15
2024-05-02,1500.0,82.25,79.4,82.49,79.4,80.1,-2.15
2024-05-06,4500.0,80.1,80.99,84.0,80.99,84.0,3.9
2024-05-08,3000.0,84.0,80.2,82.25,80.0,80.0,4.0
2024-05-10,500.0,80.0,81.4,81.4,81.4,81.4,1.4
2024-05-16,2000.0,81.4,81.4,81.4,81.4,81.4,0.0
2024-05-31,1.0,81.4,80.03,80.03,80.03,81.4,0.0
2024-06-04,50.0,81.4,82.6,82.6,82.6,81.4,0.0
2024-06-06,403.0,81.4,87.8,87.8,78.0,80.3,-1.1
2024-06-07,2.0,80.3,79.0,82.2,79.0,80.3,0.0
2024-06-10,100.0,80.3,79.21,79.21,78.0,80.3,0.0
2024-06-11,451.0,80.3,83.0,83.0,79.6,82.99,2.69
2024-06-12,6.0,82.99,82.94,82.94,82.92,82.99,0.0
2024-06-20,500.0,82.99,80.02,80.02,80.02,80.02,-2.97
2024-06-21,1000.0,80.02,80.1,80.1,80.0,80.0,-0.02
2024-06-26,1142.0,80.0,78.2,81.95,77.6,78.23,-1.77
2024-07-02,200.0,78.23,78.0,78.0,78.0,78.23,0.0
2024-07-03,288.0,78.23,78.54,78.54,78.0,78.23,0.0
2024-07-04,588.0,78.23,83.99,83.99,79.0,79.0,0.77
2024-07-05,78.0,79.0,79.0,79.0,79.0,79.0,0.0
2024-07-10,420.0,79.0,78.51,79.0,78.51,79.0,0.0
2024-07-15,238.0,79.0,72.1,77.9,72.1,79.0,0.0
2024-07-18,42.0,79.0,76.46,79.99,76.45,79.0,0.0
2024-07-19,4.0,79.0,77.2,77.2,74.0,79.0,0.0
2024-07-22,1.0,79.0,79.9,79.9,79.9,79.0,0.0
2024-07-26,576.0,79.0,73.81,74.21,71.41,71.91,-7.09
2024-07-30,162.0,71.91,75.35,78.8,75.35,71.91,0.0
2024-08-02,250.0,71.91,73.2,74.0,64.72,71.91,0.0
2024-08-05,25.0,71.91,78.2,78.65,78.2,73.64,1.73
2024-08-07,380.0,73.64,75.0,75.0,75.0,75.0,1.36
2024-08-08,81.0,75.0,75.0,75.0,75.0,75.0,0.0
2024-08-09,144.0,75.0,75.0,75.0,75.0,75.0,0.0
2024-08-12,378.0,75.0,75.0,75.0,75.0,75.0,0.0
2024-08-13,40.0,75.0,75.0,75.0,75.0,75.0,0.0
2024-08-21,500.0,75.0,73.03,73.03,73.03,73.03,-1.97
2024-09-05,150.0,73.03,73.25,73.25,73.25,73.03,0.0
2024-09-06,10.0,73.03,73.6,73.6,73.05,73.03,0.0
2024-09-11,501.0,73.03,75.01,75.01,75.0,75.0,1.97
2024-09-19,2.0,75.0,77.4,77.4,73.62,75.0,0.0
2024-09-24,10.0,75.0,75.0,75.0,75.0,75.0,0.0
2024-09-25,1090.0,75.0,72.0,72.0,70.0,70.35,-4.65
2024-09-30,10.0,70.35,77.2,77.2,77.2,70.35,0.0
2024-10-02,25.0,70.35,77.35,77.35,77.35,70.35,0.0
2024-10-03,5.0,70.35,64.1,77.3,64.1,70.35,0.0
2024-10-04,21.0,70.35,75.0,75.99,67.0,70.35,0.0
2024-10-07,37.0,70.35,77.35,77.35,73.99,70.35,0.0
2024-10-09,2.0,70.35,69.26,69.26,69.26,70.35,0.0
2024-10-11,2.0,70.35,76.95,76.95,76.89,70.35,0.0
2024-10-14,249.0,70.35,68.0,72.39,66.5,69.49,-0.86
2024-10-17,50.0,68.49,74.89,74.89,74.89,68.49,0.0
2024-10-18,578.0,68.49,65.1,73.75,61.75,61.87,-6.62
2024-10-21,1415.0,61.87,64.41,68.0,64.26,67.97,6.1
2024-10-22,11.0,67.97,74.7,74.7,69.5,67.97,0.0
2024-10-23,101.0,67.97,74.65,74.65,67.0,67.97,0.0
2024-10-25,525.0,67.97,74.25,74.25,74.19,74.25,6.28
2024-10-28,763.0,74.25,69.7,69.7,68.0,68.91,-5.34
2024-10-29,18.0,68.91,68.91,71.99,66.5,68.91,0.0
2024-10-30,1.0,68.91,66.2,66.2,66.2,68.91,0.0
2024-11-05,10.0,68.91,70.0,70.0,70.0,68.91,0.0
2024-11-06,1.0,68.91,69.0,69.0,69.0,68.91,0.0
2024-11-07,577.0,68.91,67.05,67.05,67.0,67.0,-1.91
2024-11-08,100.0,67.0,69.99,70.0,69.99,67.0,0.0
2024-11-13,1.0,67.0,67.54,67.54,67.54,67.0,0.0
2024-11-14,305.0,67.0,70.0,71.99,70.0,70.51,3.51
2024-11-18,1.0,70.51,76.85,76.85,76.85,70.51,0.0
2024-11-19,1.0,70.51,69.3,69.3,69.3,70.51,0.0
2024-11-21,501.0,70.51,76.5,76.5,70.0,70.25,-0.26
2024-11-25,11.0,70.25,70.0,70.0,70.0,70.25,0.0
2024-11-26,502.0,70.25,75.0,75.0,69.5,74.98,4.73
2024-11-27,92.0,74.98,68.5,76.7,68.5,74.98,0.0
2024-11-28,592.0,74.98,75.69,75.69,70.0,70.1,-4.88
2024-11-29,103.0,70.1,68.62,73.45,68.55,70.1,0.0
2024-12-03,491.0,70.1,72.6,72.64,72.0,72.16,2.06
2024-12-04,355.0,72.16,70.01,72.99,70.0,71.31,-0.85
2024-12-05,566.0,71.31,75.55,75.55,67.6,68.2,-3.11
2024-12-06,119.0,68.2,75.0,75.0,67.75,68.2,0.0
2024-12-09,506.0,68.2,73.73,73.73,70.0,70.04,1.84
2024-12-10,2.0,70.04,76.84,76.84,76.48,70.04,0.0
2024-12-11,151.0,70.04,69.5,69.5,68.1,70.04,0.0
2024-12-12,73.0,70.04,70.07,70.07,70.0,70.04,0.0
2024-12-16,3366.0,70.04,73.0,73.0,70.53,71.32,1.28
2024-12-17,107.0,71.32,72.01,72.01,72.0,71.32,0.0
2024-12-18,716.0,71.32,68.01,74.55,67.57,68.64,-2.68
2024-12-19,516.0,68.64,68.1,71.99,68.01,68.08,-0.56
2024-12-20,5.0,68.08,73.95,73.95,73.95,68.08,0.0
2024-12-23,11.0,68.08,74.8,74.8,69.04,68.08,0.0
2024-12-26,10.0,68.08,68.01,68.01,68.01,68.08,0.0
2024-12-27,9.0,68.08,73.99,74.07,67.0,68.08,0.0
2024-12-30,52.0,68.08,74.75,74.75,68.4,68.08,0.0
2024-12-31,1.0,68.08,73.95,73.95,73.95,68.08,0.0
2025-01-01,100.0,68.08,70.85,70.85,70.85,68.08,0.0
2025-01-02,1582.0,68.08,70.6,70.6,68.01,68.02,-0.06
2025-01-03,10.0,68.02,67.3,71.43,67.3,68.02,0.0
2025-01-08,317.0,68.02,70.0,70.01,70.0,68.02,0.0
2025-01-10,5.0,68.02,68.0,68.0,68.0,68.02,0.0
2025-01-13,205.0,68.02,70.35,73.95,70.35,69.07,1.05
2025-01-14,432.0,69.07,70.99,71.0,70.99,71.0,1.93
2025-01-16,250.0,71.0,70.99,71.81,70.99,71.0,0.0
2025-01-20,4.0,71.0,67.7,67.7,67.7,71.0,0.0
