Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-01-16,122.0,959.26,1029.95,1029.95,990.0,996.26,37.0
2025-01-17,485.0,996.26,1069.99,1069.99,900.02,973.26,23.0
2025-01-20,160.0,973.26,951.0,970.0,948.0,950.98,-22.28
2025-01-21,35.0,950.98,930.02,944.0,900.0,926.91,-24.07
2025-01-22,425.0,926.91,938.0,970.0,840.1,947.39,20.48
2025-01-23,350.0,947.39,871.0,890.0,853.0,885.18,-62.21
2025-01-24,278.0,885.18,886.0,970.0,857.0,893.65,8.47
2025-01-27,139.0,893.65,850.0,899.0,850.0,869.76,-23.89
2025-01-28,36.0,869.76,900.0,900.0,869.76,888.41,18.65
2025-01-29,602.0,888.41,843.01,915.0,843.0,887.88,-0.53
2025-01-30,314.0,887.88,850.0,899.83,849.0,859.81,-28.07
2025-01-31,648.0,859.81,850.0,889.89,849.0,849.55,-10.26
2025-02-03,27.0,849.55,821.01,849.0,821.01,849.55,0.0
2025-02-04,375.0,849.55,879.9,879.9,795.0,815.54,-34.01
2025-02-06,31.0,815.54,827.99,830.0,827.99,815.54,0.0
2025-02-07,13.0,815.54,800.0,850.0,800.0,815.54,0.0
2025-02-10,45.0,815.54,800.0,815.9,791.0,795.73,-19.81
2025-02-11,3.0,795.73,790.0,839.0,790.0,795.73,0.0
2025-02-12,423.0,795.73,800.0,840.0,800.0,795.73,0.0
2025-02-13,74.0,795.73,875.3,875.3,809.0,815.36,19.63
2025-02-14,13.0,815.36,830.0,830.0,782.0,815.36,0.0
2025-02-17,72.0,815.36,772.0,845.0,772.0,800.86,-14.5
2025-02-18,54.0,800.86,867.0,867.0,817.9,818.26,17.4
2025-02-19,90.0,818.26,875.0,875.0,796.1,802.47,-15.79
2025-02-20,160.0,802.47,840.0,840.0,795.0,795.61,-6.86
2025-02-21,431.0,795.61,800.0,875.17,795.61,839.36,43.75
2025-02-25,187.0,839.36,800.0,831.9,800.0,826.91,-12.45
2025-02-26,288.0,826.91,826.91,909.6,746.02,811.71,-15.2
2025-02-27,54.0,811.71,830.0,850.0,812.24,820.0,8.29
2025-02-28,4.0,820.0,830.0,830.0,830.0,820.0,0.0
2025-03-04,1.0,820.0,834.95,834.95,834.95,820.0,0.0
2025-03-05,2.0,820.0,839.85,839.85,839.85,820.0,0.0
2025-03-06,13.0,820.0,0.0,0.0,0.0,820.0,0.0
2025-03-07,10.0,820.0,820.0,820.0,808.0,820.0,0.0
2025-03-10,13.0,820.0,800.0,810.0,800.0,820.0,0.0
2025-03-11,189.0,820.0,800.0,800.0,800.0,800.0,20.0
2025-03-13,137.0,800.0,850.0,862.0,730.11,798.46,-1.54
2025-03-14,38.0,798.46,829.0,829.0,752.02,758.85,-39.61
2025-03-17,118.0,758.85,759.98,797.9,759.98,797.15,38.3
2025-03-18,690.0,797.15,824.0,859.55,797.0,800.56,3.41
2025-03-19,194.0,800.56,793.0,820.0,793.0,808.38,7.82
2025-03-20,1302.0,808.38,825.0,889.22,789.0,827.17,18.79
2025-03-24,63.0,827.17,839.99,848.0,802.1,831.99,4.82
2025-03-26,41.0,831.99,801.0,849.0,801.0,809.22,-22.77
2025-03-27,23.0,809.22,820.0,820.0,800.0,809.22,0.0
2025-04-03,63.0,809.22,890.14,890.14,810.01,811.71,2.49
2025-04-04,272.0,811.71,812.98,890.0,810.0,823.8,12.09
2025-04-07,7.0,823.8,888.0,888.0,745.0,823.8,0.0
2025-04-08,142.0,823.8,815.01,846.95,811.0,818.22,-5.58
2025-04-09,53.0,818.22,814.0,819.0,800.0,807.75,-10.47
2025-04-10,70.0,807.75,765.21,824.9,765.2,809.87,2.12
2025-04-11,64.0,809.87,800.0,839.0,790.0,806.8,-3.07
2025-04-14,53.0,806.8,800.0,824.99,800.0,800.74,-6.06
2025-04-15,1193.0,800.74,834.0,834.0,721.02,763.54,-37.2
2025-04-16,95.0,763.54,789.9,839.89,789.9,820.95,57.41
2025-04-17,240.0,820.95,820.0,823.0,740.35,800.99,-19.96
2025-04-18,409.0,800.99,819.0,881.09,743.0,804.98,3.99
2025-04-21,71.0,804.98,780.0,813.0,750.0,792.24,-12.74
2025-04-22,1038.0,792.24,810.98,870.99,722.0,748.24,44.0
2025-04-23,131.0,748.24,750.01,782.9,750.0,751.83,3.59
2025-04-24,25.0,751.83,680.0,794.98,680.0,751.83,0.0
2025-04-25,12.0,751.83,710.33,792.49,710.33,751.83,0.0
2025-04-28,39.0,751.83,711.12,720.0,711.12,751.83,0.0
2025-04-29,5.0,751.83,690.0,783.99,690.0,751.83,0.0
2025-04-30,10.0,751.83,691.12,760.0,691.12,751.83,0.0
2025-05-02,584.0,751.83,775.97,775.97,755.01,773.71,21.88
2025-05-05,130.0,773.71,773.71,800.0,773.71,797.06,23.35
2025-05-06,10.0,797.06,794.33,794.33,794.33,797.06,0.0
2025-05-07,21.0,797.06,717.36,770.0,717.35,797.06,0.0
2025-05-08,166.0,797.06,722.0,847.0,722.0,844.78,47.72
2025-05-09,56.0,844.78,760.32,800.0,760.32,780.0,-64.78
2025-05-12,498.0,780.0,780.01,848.0,780.01,790.0,10.0
2025-05-13,182.0,790.0,792.03,800.0,792.03,800.0,10.0
2025-05-14,50.0,800.0,799.99,800.0,799.99,800.0,0.0
2025-05-15,5.0,800.0,823.89,823.89,730.33,800.0,0.0
2025-05-16,96.0,800.0,800.0,840.0,730.33,825.0,25.0
2025-05-19,2.0,825.0,824.0,824.0,824.0,825.0,0.0
2025-05-21,31.0,825.0,820.0,820.0,820.0,825.0,0.0
2025-05-26,1284.0,825.0,830.0,842.88,751.35,838.23,13.23
2025-05-27,2001.0,838.23,919.0,919.0,825.55,885.57,47.34
2025-05-29,1549.0,885.57,850.0,850.0,800.0,818.69,-66.88
2025-05-30,64.0,818.69,790.0,838.91,781.0,818.69,0.0
2025-06-02,4.0,818.69,810.0,810.0,810.0,818.69,0.0
2025-06-03,228.0,818.69,799.98,817.0,789.99,791.1,-27.59
2025-06-04,2905.0,791.1,799.95,870.21,775.04,870.21,79.11
2025-06-05,1008.0,870.21,957.23,957.23,922.0,929.55,59.34
2025-06-10,284.0,929.55,1000.0,1000.0,866.0,934.61,5.06
2025-06-11,1571.0,934.61,990.0,990.0,841.15,890.08,-44.53
2025-06-12,850.0,890.08,821.01,910.0,821.01,831.66,-58.42
2025-06-13,41.0,831.66,911.0,911.0,851.0,873.4,41.74
2025-06-16,824.0,873.4,845.0,897.0,800.0,855.04,-18.36
2025-06-17,130.0,855.04,940.0,940.0,845.0,851.91,-3.13
2025-06-18,38.0,851.91,881.0,881.0,822.02,848.54,-3.37
2025-06-19,126.0,848.54,854.54,888.0,810.0,818.48,-30.06
2025-06-20,93.0,818.48,867.97,867.97,838.99,818.48,0.0
2025-06-23,26.0,818.48,818.48,820.0,818.48,818.48,0.0
2025-06-24,93.0,818.48,800.34,850.0,738.02,850.0,31.52
2025-06-25,216.0,850.0,821.0,849.92,801.01,823.8,-26.2
2025-06-26,118.0,823.8,848.0,848.0,822.01,847.35,23.55
2025-06-27,4439.0,847.35,820.0,932.09,764.02,925.0,77.65
2025-06-30,5989.0,925.0,926.0,993.0,833.0,915.3,-9.7
2025-07-01,3381.0,915.3,875.06,946.97,823.77,844.28,-71.02
2025-07-02,221.0,844.28,845.06,869.98,830.0,836.04,-8.24
2025-07-03,397.0,836.04,836.04,836.04,825.0,825.29,-10.75
2025-07-04,349.0,825.29,821.0,848.89,751.0,801.89,-23.4
2025-07-07,227.0,801.89,837.98,837.98,810.0,810.0,8.11
2025-07-08,266.0,810.0,829.99,836.99,790.0,794.73,-15.27
2025-07-09,3009.0,794.73,815.0,874.2,815.0,874.2,79.47
2025-07-10,882.0,874.2,878.0,950.98,820.0,861.89,-12.31
2025-07-11,944.0,861.89,899.9,899.9,841.0,858.2,-3.69
2025-07-14,120.0,858.2,837.55,878.0,837.55,870.0,11.8
2025-07-15,182.0,870.0,893.0,893.0,854.99,855.61,-14.39
2025-07-16,75.0,855.61,894.85,894.85,840.0,845.16,-10.45
2025-07-17,225.0,845.16,874.99,874.99,850.0,852.73,7.57
2025-07-18,643.0,852.73,847.2,870.0,799.0,808.47,-44.26
2025-07-21,1282.0,808.47,811.35,812.2,800.0,805.0,-3.47
2025-07-22,229.0,805.0,806.0,818.99,800.0,801.15,-3.85
2025-07-23,1311.0,801.15,830.0,830.0,760.0,800.2,-0.95
2025-07-24,1.0,800.2,788.0,788.0,788.0,800.2,0.0
2025-07-25,463.0,800.2,879.74,879.74,721.1,798.98,-1.22
2025-07-29,363.0,809.98,809.08,820.0,800.0,802.13,-7.85
2025-07-30,179.0,802.13,803.0,818.95,783.0,793.85,-8.28
2025-07-31,125.0,793.85,809.97,810.0,805.0,809.34,15.49
2025-08-01,125.0,809.34,819.99,819.99,790.0,794.42,-14.92
2025-08-04,212.0,794.42,800.07,815.0,795.0,800.19,5.77
2025-08-05,757.0,800.19,800.22,814.98,775.0,775.07,-25.12
2025-08-06,204.0,775.07,800.92,819.0,800.92,805.45,30.38
2025-08-07,2173.0,805.45,781.02,785.01,730.0,759.49,-45.96
2025-08-08,1221.0,759.49,784.99,835.44,760.06,802.6,43.11
2025-08-11,184.0,802.6,802.6,828.95,770.0,814.74,12.14
2025-08-12,197.0,814.74,820.0,820.0,790.01,810.0,-4.74
2025-08-13,71.0,810.0,790.0,810.0,790.0,808.22,-1.78
2025-08-15,172.0,808.22,737.01,809.99,737.01,800.0,-8.22
2025-08-18,219.0,800.0,781.0,802.99,781.0,782.64,-17.36
2025-08-19,167.0,782.64,805.0,805.0,792.0,796.21,13.57
2025-08-20,726.0,796.21,796.0,803.0,796.0,801.06,4.85
2025-08-21,132.0,801.06,802.0,802.0,780.07,785.05,-16.01
2025-08-22,4.0,785.05,800.0,800.0,799.0,785.05,0.0
2025-08-25,66.0,785.05,785.52,785.52,785.0,785.0,-0.05
2025-08-26,841.0,785.0,785.0,785.0,706.5,768.77,-16.23
2025-08-28,254.0,791.73,790.99,794.99,720.02,790.9,-0.83
2025-08-29,270.0,790.9,785.0,785.0,751.0,755.47,-35.43
2025-09-01,652.0,755.47,777.0,790.0,775.0,789.66,34.19
2025-09-02,426.0,789.66,780.0,806.0,779.5,782.94,-6.72
2025-09-03,393.0,782.94,780.01,808.97,780.0,785.0,2.06
2025-09-04,655.0,785.0,800.0,801.0,751.0,775.7,-9.3
2025-09-05,66.0,775.7,800.0,800.0,788.9,789.83,14.13
2025-09-08,93.0,789.83,778.0,789.92,755.06,762.65,-27.18
2025-09-09,941.0,762.65,789.98,792.0,780.0,781.62,18.97
2025-09-10,168.0,781.62,770.0,789.99,761.0,789.99,8.37
2025-09-11,2435.0,789.99,731.35,866.99,731.35,825.24,35.25
2025-09-12,1183.0,825.24,825.24,848.0,775.63,833.34,8.1
2025-09-15,683.0,833.34,832.97,832.97,810.06,828.14,-5.2
2025-09-16,276.0,828.14,830.0,830.0,810.0,813.99,-14.15
2025-09-17,5341.0,813.99,834.0,895.39,830.0,895.39,81.4
2025-09-18,6525.0,895.39,983.5,984.93,900.0,984.93,89.54
2025-09-19,6979.0,984.93,1050.0,1083.42,1005.01,1075.02,90.09
2025-09-22,2889.0,1075.02,1169.0,1182.52,1051.01,1182.52,107.5
2025-09-23,4208.0,1182.52,1300.77,1300.77,1206.01,1300.77,118.25
2025-09-24,6165.0,1300.77,1336.0,1430.85,1336.0,1430.85,130.08
2025-09-25,3661.0,1430.85,1569.98,1569.98,1287.77,1288.93,-141.92
2025-09-26,5887.0,1288.93,1283.0,1347.99,1170.0,1192.56,-96.37
2025-09-29,812.0,1192.56,1193.08,1260.0,1160.06,1234.98,42.42
2025-09-30,2441.0,1234.98,1240.0,1358.48,1240.0,1358.48,123.5
2025-10-01,1778.0,1358.48,1489.85,1494.33,1460.0,1494.33,135.85
2025-10-02,5449.0,1494.33,1629.0,1629.0,1495.0,1556.41,62.08
2025-10-03,505.0,1556.41,1590.0,1590.0,1427.01,1519.97,-36.44
2025-10-06,348.0,1519.97,1508.05,1574.99,1475.0,1524.4,4.43
2025-10-07,1520.0,1524.4,1431.09,1589.9,1371.96,1519.34,-5.06
2025-10-08,4440.0,1519.34,1519.34,1640.0,1490.0,1529.69,10.35
2025-10-09,3400.0,1529.69,1550.0,1682.66,1500.0,1682.66,152.97
2025-10-10,3289.0,1682.66,1789.0,1850.93,1710.02,1848.99,166.33
2025-10-13,4872.0,1848.99,1849.01,2033.89,1670.0,2028.92,179.93
2025-10-14,3193.0,2028.92,2099.4,2231.81,1900.0,1934.4,-94.52
2025-10-15,1360.0,1934.4,1934.4,1984.0,1880.0,1899.28,-35.12
2025-10-16,675.0,1899.28,1999.9,2000.0,1820.0,1831.0,-68.28
2025-10-17,176.0,1831.0,1820.0,1880.0,1775.0,1874.28,43.28
2025-10-20,1105.0,1874.28,1800.02,1984.0,1765.2,1796.23,-78.05
2025-10-21,484.0,1796.23,1797.0,1809.0,1701.33,1713.03,-83.2
2025-10-22,122.0,1713.03,1651.0,1760.0,1651.0,1680.42,-32.61
2025-10-23,3968.0,1680.42,1680.0,1680.0,1580.0,1589.4,-91.02
2025-10-24,90.0,1589.4,1580.0,1660.0,1579.0,1597.52,8.12
2025-10-27,86.0,1597.52,1561.0,1598.0,1538.0,1554.88,-42.64
2025-10-28,20.0,1554.88,1640.0,1640.0,1556.0,1568.82,13.94
2025-10-29,261.0,1568.82,1571.1,1604.99,1452.0,1484.39,-84.43
2025-10-30,2216.0,1484.39,1485.04,1632.83,1484.39,1602.56,118.17
2025-10-31,1719.0,1602.56,1650.0,1680.0,1560.0,1618.66,16.1
2025-11-03,471.0,1618.66,1620.0,1660.0,1600.0,1603.39,-15.27
2025-11-04,176.0,1603.39,1580.0,1599.0,1576.1,1585.19,-18.2
2025-11-05,30.0,1585.19,1575.0,1599.0,1575.0,1590.17,4.98
2025-11-06,74.0,1590.17,1575.1,1598.0,1575.0,1576.53,-13.64
2025-11-07,486.0,1576.53,1580.0,1698.0,1560.0,1671.77,95.24
2025-11-10,205.0,1671.77,1599.0,1600.0,1599.0,1600.0,-71.77
2025-11-11,24.0,1600.0,1551.01,1599.0,1550.0,1565.38,-34.62
2025-11-12,539.0,1565.38,1551.0,1600.0,1411.01,1508.45,-56.93
2025-11-13,30.0,1508.45,1505.0,1584.49,1505.0,1555.97,47.52
2025-11-17,5278.0,1555.97,1521.01,1711.57,1521.01,1711.57,155.6
2025-11-18,3164.0,1711.57,1882.73,1882.73,1780.0,1882.61,171.04
2025-11-19,2108.0,1882.61,1950.0,2000.0,1840.0,1978.15,95.54
2025-11-20,3638.0,1978.15,1852.0,1991.0,1780.34,1797.3,-180.85
2025-11-21,7053.0,1797.3,1619.0,1789.0,1617.57,1642.79,-154.51
2025-11-24,719.0,1642.79,1644.01,1680.0,1550.01,1565.28,-77.51
2025-11-25,195.0,1565.28,1571.0,1580.99,1560.0,1563.5,-1.78
2025-11-26,431.0,1563.5,1500.01,1589.0,1415.05,1569.8,6.3
2025-11-27,161.0,1569.8,1588.19,1640.0,1525.0,1586.67,16.87
2025-11-28,160.0,1586.67,1600.0,1600.0,1500.02,1590.63,3.96
2025-12-01,240.0,1590.63,1507.02,1649.95,1507.02,1622.0,31.37
2025-12-02,70.0,1622.0,1615.0,1615.0,1550.0,1554.88,-67.12
2025-12-03,41.0,1554.88,1605.0,1605.0,1548.0,1554.66,-0.22
2025-12-04,207.0,1554.66,1589.0,1589.0,1500.0,1529.88,-24.78
2025-12-05,8.0,1529.88,1520.01,1569.99,1520.01,1529.88,0.0
2025-12-08,29.0,1529.88,1625.0,1625.0,1550.01,1572.59,42.71
2025-12-09,2131.0,1572.59,1619.99,1620.0,1519.02,1609.98,37.39
2025-12-10,15.0,1609.98,1575.01,1575.01,1575.0,1609.98,0.0
2025-12-11,73.0,1609.98,1550.0,1629.98,1550.0,1560.88,-49.1
2025-12-12,313.0,1560.88,1617.99,1617.99,1481.02,1552.05,-8.83
2025-12-15,314.0,1552.05,1590.0,1605.0,1565.0,1565.81,13.76
2025-12-16,157.0,1565.81,1550.0,1551.0,1550.0,1550.0,-15.81
2025-12-17,126.0,1550.0,1550.02,1550.02,1500.0,1504.63,-45.37
2025-12-18,86.0,1504.63,1505.0,1549.98,1505.0,1504.63,0.0
2025-12-19,92.0,1504.63,1549.98,1549.98,1540.0,1504.63,0.0
2025-12-22,30.0,1504.63,1550.0,1550.0,1505.06,1547.62,42.99
2025-12-23,10.0,1547.62,1509.0,1509.0,1509.0,1547.62,0.0
2025-12-24,53.0,1547.62,1402.03,1549.99,1402.03,1455.94,-91.68
2025-12-26,150.0,1455.94,1549.98,1550.0,1456.0,1484.25,28.31
2025-12-29,40.0,1484.25,1480.01,1490.01,1480.0,1484.25,0.0
2025-12-30,24.0,1484.25,0.0,0.0,0.0,1484.25,0.0
2025-12-31,215.0,1484.25,1460.0,1460.0,1450.0,1450.06,-34.19
2026-01-01,227.0,1450.06,1450.0,1500.0,1450.0,1461.0,10.94
2026-01-02,119.0,1461.0,1515.15,1515.15,1470.0,1481.67,20.67
2026-01-05,62.0,1481.67,1471.01,1499.99,1471.0,1482.62,0.95
2026-01-06,164.0,1482.62,1482.62,1483.0,1482.62,1483.0,0.38
2026-01-07,1.0,1483.0,0.0,0.0,0.0,1483.0,0.0
2026-01-08,108.0,1483.0,1483.0,1483.0,1483.0,1483.0,0.0
2026-01-09,982.0,1483.0,1485.0,1500.0,1460.0,1460.0,23.0
2026-01-12,60.0,1460.0,1455.1,1455.11,1450.0,1452.3,-7.7
2026-01-13,222.0,1452.3,1450.0,1466.98,1450.0,1466.97,14.67
2026-01-14,198.0,1466.97,1450.11,1499.98,1326.07,1471.37,4.4
2026-01-15,40.0,1471.37,1400.0,1439.98,1399.99,1402.35,-69.02
2026-01-16,178.0,1402.35,1449.99,1449.99,1400.0,1403.86,1.51
2026-01-19,377.0,1403.86,1410.0,1410.0,1316.02,1381.34,-22.52
2026-01-20,1131.0,1381.34,1382.0,1382.0,1320.0,1353.02,-28.32
2026-01-21,225.0,1353.02,1360.0,1360.0,1349.99,1350.0,-3.02
2026-01-22,205.0,1350.0,1350.0,1369.99,1257.02,1326.09,-23.91
2026-01-23,113.0,1326.09,1327.1,1339.98,1326.0,1339.19,13.1
2026-01-26,909.0,1339.19,1326.0,1326.0,1212.0,1284.62,-54.57
2026-01-27,442.0,1284.62,1289.0,1360.0,1218.0,1250.17,-34.45
2026-01-28,915.0,1250.17,1253.0,1253.01,1200.0,1213.46,-36.71
2026-01-29,151.0,1213.46,1287.0,1288.0,1217.0,1225.1,11.64
2026-01-30,13.0,1225.1,1225.0,1225.0,1225.0,1225.1,0.0
