Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2500.0,26.91,28.0,28.0,24.89,25.5,-1.41
2024-01-02,2000.0,25.5,24.51,24.51,24.5,24.5,1.0
2024-01-09,2500.0,24.5,25.99,26.34,25.99,26.34,1.84
2024-01-10,1000.0,26.34,0.0,0.0,0.0,26.34,0.0
2024-01-18,500.0,26.34,25.0,25.0,25.0,25.0,-1.34
2024-01-30,4500.0,25.0,25.0,25.0,25.0,25.0,0.0
2024-02-29,500.0,25.0,23.2,23.2,23.2,23.2,-1.8
2024-03-07,1500.0,23.2,22.5,24.0,22.5,24.0,0.8
2024-03-12,500.0,24.0,25.74,25.74,25.74,25.74,1.74
2024-04-22,3000.0,25.74,26.0,27.65,26.0,27.65,1.91
2024-04-24,4000.0,27.65,25.7,25.8,25.6,25.8,-1.85
2024-04-25,2500.0,25.8,24.0,24.0,24.0,24.0,-1.8
2024-05-17,2000.0,24.0,23.98,23.98,23.98,23.98,-0.02
2024-05-31,1.0,24.0,24.1,24.1,24.1,24.0,0.0
2024-06-04,1.0,24.38,24.52,24.52,24.52,24.5,0.12
2024-06-05,1.0,24.5,23.0,23.0,23.0,24.5,0.0
2024-06-12,10.0,24.5,23.0,23.0,23.0,24.5,0.0
2024-06-20,4000.0,24.5,0.0,0.0,0.0,24.5,0.0
2024-06-26,130.0,24.5,25.0,25.0,25.0,24.5,0.0
2024-07-01,500.0,24.5,0.0,0.0,0.0,24.5,0.0
2024-07-08,1.0,24.5,25.5,25.5,25.5,24.5,0.0
2024-07-15,1.0,24.5,23.0,23.0,23.0,24.5,0.0
2024-08-09,100.0,24.5,23.3,23.3,23.3,24.5,0.0
2024-08-13,50.0,24.5,23.2,23.2,23.2,24.5,0.0
2024-08-20,51.0,24.5,23.1,23.1,23.1,24.5,0.0
2024-08-21,10462.0,24.5,25.0,26.95,24.3,26.93,2.43
2024-08-22,753.0,26.93,25.0,25.85,24.24,25.0,-1.93
2024-08-23,22355.0,25.0,23.11,27.5,23.11,26.0,1.0
2024-08-26,6115.0,26.0,26.6,28.6,26.02,27.75,1.75
2024-08-27,5000.0,27.75,0.0,0.0,0.0,27.75,0.0
2024-08-28,13889.0,27.75,30.0,30.53,28.01,28.57,0.82
2024-08-30,5500.0,28.57,26.55,29.75,26.55,29.38,0.81
2024-09-02,4500.0,29.38,27.1,27.1,26.44,26.45,-2.93
2024-09-06,9.0,26.45,24.99,24.99,24.99,26.45,0.0
2024-09-10,2.0,26.45,24.2,25.0,24.2,26.45,0.0
2024-09-19,3.0,26.45,24.6,25.99,24.6,26.45,0.0
2024-09-23,2.0,26.45,26.0,26.0,26.0,26.45,0.0
2024-10-02,14.0,26.45,28.84,28.84,28.84,26.45,0.0
2024-10-10,40.0,26.45,28.7,28.7,26.45,26.45,0.0
2024-10-14,1098.0,26.45,26.45,26.45,26.45,26.45,0.0
2024-10-15,1000.0,26.45,27.93,27.94,27.93,27.94,1.49
2024-10-17,27977.0,27.94,30.5,30.5,30.5,30.5,2.56
2024-10-18,11.0,30.5,30.45,30.45,30.45,30.5,0.0
2024-10-22,2.0,30.5,30.4,30.4,30.0,30.5,0.0
2024-10-24,41.0,30.5,27.45,30.49,27.45,30.5,0.0
2024-10-30,20.0,30.5,32.9,32.9,27.45,30.5,0.0
2024-11-04,310.0,30.5,27.45,27.5,27.45,30.5,0.0
2024-11-08,984.0,30.5,27.51,28.0,27.45,27.49,-3.01
2024-11-11,1.0,27.49,0.0,0.0,0.0,27.49,0.0
2024-11-12,320.0,27.49,24.8,27.53,24.8,27.49,0.0
2024-11-13,118.0,27.49,27.99,27.99,24.81,27.49,0.0
2024-11-14,8.0,27.49,28.15,28.15,28.15,27.49,0.0
2024-11-15,1.0,27.49,24.81,24.81,24.81,27.49,0.0
2024-11-18,22.0,27.49,25.14,25.14,25.14,27.49,0.0
2024-11-28,1970.0,27.49,25.36,25.36,24.79,24.91,-2.58
2024-11-29,1781.0,24.91,26.0,26.0,25.0,25.0,0.09
2024-12-02,3543.0,25.0,25.0,25.0,25.0,25.0,0.0
2024-12-04,2516.0,25.0,23.3,26.0,23.02,24.93,-0.07
2024-12-06,1.0,24.93,26.39,26.39,26.39,24.93,0.0
2024-12-09,13229.0,24.93,25.0,25.0,24.0,24.6,-0.33
2024-12-10,8472.0,24.6,24.31,24.31,23.0,23.0,-1.6
2024-12-13,932.0,23.0,23.1,24.6,23.1,24.22,1.22
2024-12-16,891.0,24.22,24.0,25.8,24.0,24.37,0.15
2024-12-17,7356.0,24.37,26.77,26.77,25.3,25.78,1.41
2024-12-18,1701.0,25.78,28.0,28.0,25.0,25.0,-0.78
2024-12-19,5500.0,25.0,24.01,24.01,22.6,23.3,-1.7
2024-12-20,6.0,23.3,22.5,24.45,22.5,23.3,0.0
2024-12-23,603.0,23.3,24.24,25.6,24.24,24.97,1.67
2024-12-24,711.0,24.97,26.0,27.45,24.0,26.11,1.14
2024-12-26,5.0,26.11,28.66,28.66,28.66,26.11,0.0
2024-12-27,6.0,26.11,28.68,28.68,28.68,26.11,0.0
2024-12-30,155.0,26.11,28.5,28.5,28.5,26.11,0.0
2024-12-31,1153.0,26.11,28.66,28.66,28.66,28.66,2.55
2025-01-01,26.0,28.66,26.0,27.99,26.0,28.66,0.0
2025-01-02,14.0,28.66,26.01,28.89,26.01,28.66,0.0
2025-01-06,5.0,28.66,28.64,28.64,28.64,28.66,0.0
2025-01-08,20.0,28.66,28.29,28.63,26.62,28.66,0.0
2025-01-09,10.0,28.66,28.63,28.63,28.59,28.66,0.0
2025-01-10,300.0,28.66,26.13,26.13,26.13,28.66,0.0
2025-01-13,1229.0,28.66,26.6,26.6,25.79,25.83,-2.83
2025-01-14,64.0,25.83,26.0,26.74,26.0,25.83,0.0
2025-01-15,100.0,25.83,26.0,26.0,26.0,25.83,0.0
2025-01-16,3905.0,25.83,26.9,26.9,24.1,24.6,-1.23
2025-01-17,10.0,24.6,25.3,25.3,25.3,24.6,0.0
2025-01-20,10.0,24.6,25.0,25.0,25.0,24.6,0.0
2025-01-21,10.0,24.6,25.0,25.0,25.0,24.6,0.0
2025-01-22,5.0,24.6,25.9,25.9,25.9,24.6,0.0
2025-01-28,491.0,24.6,24.6,24.6,24.6,24.6,0.0
2025-01-29,100.0,24.6,0.0,0.0,0.0,24.6,0.0
2025-01-30,5.0,24.6,25.0,25.0,25.0,24.6,0.0
2025-01-31,5.0,24.6,26.0,26.0,26.0,24.6,0.0
2025-02-10,1.0,24.6,0.0,0.0,0.0,24.6,0.0
2025-02-11,5.0,24.6,25.69,25.69,25.69,24.6,0.0
2025-02-19,110.0,24.6,25.9,25.95,25.9,24.6,0.0
2025-02-20,221.0,24.6,26.0,26.58,25.2,24.6,0.0
2025-02-21,10.0,24.6,26.6,26.6,26.6,24.6,0.0
2025-02-24,169.0,24.6,24.8,25.25,24.8,24.6,0.0
2025-02-25,110.0,24.6,25.0,26.85,25.0,24.6,0.0
2025-02-28,1040.0,24.6,0.0,0.0,0.0,24.6,0.0
2025-03-11,500.0,24.6,24.71,24.71,24.1,24.2,-0.4
2025-03-13,519.0,24.2,24.01,25.0,24.0,24.03,-0.17
2025-03-18,10.0,24.03,24.9,24.9,24.9,24.03,0.0
2025-03-19,20.0,24.03,25.0,25.0,25.0,24.03,0.0
2025-03-20,21.0,24.03,25.0,25.0,25.0,24.03,0.0
2025-03-21,10.0,24.03,25.0,25.0,25.0,24.03,0.0
2025-03-24,1.0,24.03,25.0,25.0,25.0,24.03,0.0
2025-04-14,600.0,24.03,23.55,23.55,23.11,23.48,-0.55
2025-04-15,100.0,23.48,24.0,24.0,24.0,23.48,0.0
2025-04-17,215.0,23.48,24.5,24.8,24.5,23.48,0.0
2025-04-18,500.0,23.48,23.5,23.5,23.5,23.5,0.02
2025-05-12,255.0,23.5,23.5,23.5,21.5,23.5,0.0
2025-05-13,602.0,23.5,24.0,25.5,23.0,25.04,1.54
2025-05-14,2260.0,25.04,26.0,26.75,26.0,26.73,1.69
2025-05-15,1.0,26.73,26.0,26.0,26.0,26.73,0.0
2025-05-16,2457.0,26.73,24.2,24.3,24.2,24.21,-2.52
2025-05-20,600.0,24.21,24.01,24.01,24.0,24.01,-0.2
2025-05-21,111.0,24.01,24.01,24.45,24.01,24.01,0.0
2025-05-22,2320.0,24.01,23.3,25.89,23.3,25.16,1.15
2025-05-23,1082.0,25.16,27.25,27.25,24.0,25.01,-0.15
2025-05-26,612.0,25.01,26.0,26.99,26.0,26.79,1.78
2025-05-27,20.0,26.79,28.8,28.8,26.0,26.79,0.0
2025-05-29,5.0,26.79,28.25,28.25,28.25,26.79,0.0
2025-05-30,1016.0,26.79,29.35,29.35,26.0,26.02,-0.77
2025-06-02,215.0,26.02,26.0,27.9,26.0,26.02,0.0
2025-06-03,205.0,26.02,27.95,27.95,27.88,26.02,0.0
2025-06-04,325.0,26.02,28.27,28.27,26.0,26.02,0.0
2025-06-05,512.0,26.02,26.99,26.99,25.5,26.02,0.0
2025-06-11,1802.0,26.02,26.02,27.89,26.02,26.03,0.01
2025-06-12,505.0,26.03,26.5,27.7,26.25,27.15,1.12
2025-06-13,300.0,27.15,26.0,26.25,26.0,27.15,0.0
2025-06-16,94.0,27.15,27.44,27.45,27.44,27.15,0.0
2025-06-17,250.0,27.15,27.5,27.5,27.5,27.15,0.0
2025-06-18,1010.0,27.15,28.0,28.0,27.5,27.5,0.35
2025-06-19,2070.0,27.5,28.92,28.92,28.65,28.65,1.15
2025-06-20,16894.0,28.65,28.64,31.52,28.64,31.52,2.87
2025-06-23,11845.0,31.52,34.67,34.67,34.51,34.67,3.15
2025-06-24,9126.0,34.67,38.14,38.14,38.14,38.14,3.47
2025-06-25,48629.0,38.14,41.95,41.95,39.02,41.95,3.81
2025-06-26,42572.0,41.95,45.5,45.5,37.76,43.5,1.55
2025-06-27,41607.0,43.5,42.0,47.75,39.15,39.8,-3.7
2025-06-30,23637.0,39.8,39.79,39.79,35.82,36.09,-3.71
2025-07-01,25099.0,36.09,36.09,39.7,32.75,39.7,3.61
2025-07-02,14024.0,39.7,42.0,42.5,36.16,39.5,-0.2
2025-07-03,2524.0,39.5,39.0,39.0,35.81,37.79,-1.71
2025-07-04,424.0,37.79,37.8,37.8,35.5,37.79,0.0
2025-07-07,31347.0,37.79,39.0,41.57,37.79,41.53,3.74
2025-07-08,26250.0,41.53,41.75,41.75,37.55,39.5,-2.03
2025-07-09,7870.0,39.5,40.4,40.4,35.81,37.7,-1.8
2025-07-10,14677.0,37.7,39.25,39.99,38.99,39.0,1.3
2025-07-11,2939.0,39.0,39.99,39.99,36.16,39.72,0.72
