Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,502000.0,7.32,7.65,7.9,7.41,7.71,0.39
2024-01-02,218000.0,7.71,7.85,7.85,7.4,7.45,-0.26
2024-01-03,312000.0,7.45,7.35,7.65,7.3,7.43,-0.02
2024-01-04,42000.0,7.43,7.4,7.5,7.4,7.41,-0.02
2024-01-05,331000.0,7.41,7.5,7.5,7.27,7.32,-0.09
2024-01-08,80000.0,7.32,7.64,7.64,7.24,7.25,-0.07
2024-01-09,1857500.0,7.25,7.21,8.25,7.1,8.07,0.82
2024-01-10,1593000.0,8.07,8.45,8.45,7.76,7.81,-0.26
2024-01-11,183500.0,7.81,7.7,7.81,7.7,7.78,-0.03
2024-01-12,2902500.0,7.78,7.52,8.1,7.2,7.33,-0.45
2024-01-15,282000.0,7.33,7.44,7.45,7.17,7.21,-0.12
2024-01-16,541500.0,7.21,7.35,7.5,7.1,7.47,0.26
2024-01-17,129500.0,7.47,7.47,7.58,7.2,7.23,-0.24
2024-01-18,264500.0,7.23,7.25,7.25,7.0,7.16,-0.07
2024-01-19,144000.0,7.16,7.2,7.29,7.1,7.15,-0.01
2024-01-22,19500.0,7.15,7.12,7.18,7.1,7.14,-0.01
2024-01-23,71000.0,7.14,7.24,7.24,7.06,7.15,0.01
2024-01-24,112000.0,7.15,7.21,7.35,7.21,7.25,0.1
2024-01-25,69000.0,7.25,7.3,7.3,7.1,7.12,-0.13
2024-01-26,1000500.0,7.12,7.18,7.3,6.7,6.73,-0.39
2024-01-29,409500.0,6.73,6.95,6.95,6.39,6.4,-0.33
2024-01-30,131000.0,6.4,6.5,6.6,6.4,6.41,0.01
2024-01-31,109500.0,6.41,6.6,6.6,6.4,6.42,0.01
2024-02-01,50500.0,6.42,6.6,6.6,6.32,6.49,0.07
2024-02-02,250500.0,6.49,6.75,6.75,6.31,6.43,-0.06
2024-02-06,63500.0,6.43,6.65,6.65,6.45,6.55,0.12
2024-02-07,162000.0,6.55,6.69,6.74,6.5,6.59,0.04
2024-02-09,154000.0,6.59,6.42,6.48,6.25,6.36,-0.23
2024-02-12,120500.0,6.36,6.45,6.45,6.05,6.07,-0.29
2024-02-13,266500.0,6.07,6.03,6.25,5.85,6.12,0.05
2024-02-14,42500.0,6.12,6.25,6.25,6.11,6.21,0.09
2024-02-15,89000.0,6.21,6.1,6.3,6.1,6.1,-0.11
2024-02-16,98000.0,6.1,6.05,6.1,5.95,6.03,-0.07
2024-02-19,62000.0,6.03,6.02,6.24,6.0,6.1,0.07
2024-02-20,26500.0,6.1,6.2,6.2,6.02,6.03,-0.07
2024-02-21,120500.0,6.03,6.3,6.3,6.11,6.23,0.2
2024-02-22,165500.0,6.23,6.24,6.29,6.17,6.18,-0.05
2024-02-23,224000.0,6.18,6.17,6.48,6.17,6.33,0.15
2024-02-26,289500.0,6.33,6.35,6.5,6.2,6.43,0.1
2024-02-27,194500.0,6.43,6.4,6.4,6.2,6.26,-0.17
2024-02-28,265000.0,6.26,6.22,6.4,6.22,6.26,0.0
2024-02-29,576500.0,6.26,6.33,6.49,6.25,6.3,0.04
2024-03-01,368000.0,6.3,6.3,6.6,6.28,6.44,0.14
2024-03-04,173000.0,6.44,6.5,6.58,6.35,6.38,-0.06
2024-03-05,93500.0,6.38,6.37,6.47,6.2,6.28,-0.1
2024-03-06,94000.0,6.28,6.16,6.4,6.16,6.27,-0.01
2024-03-07,68500.0,6.27,6.3,6.3,6.12,6.14,-0.13
2024-03-08,95000.0,6.14,6.3,6.3,6.2,6.24,0.1
2024-03-11,793000.0,6.24,6.3,6.65,6.23,6.43,0.19
2024-03-12,93000.0,6.43,6.31,6.35,6.16,6.25,-0.18
2024-03-13,14500.0,6.25,6.39,6.39,6.25,6.25,0.0
2024-03-14,97500.0,6.25,6.25,6.36,6.2,6.25,0.0
2024-03-15,20000.0,6.25,6.4,6.4,6.2,6.25,0.0
2024-03-18,128500.0,6.25,6.2,6.32,6.05,6.2,-0.05
2024-03-19,137500.0,6.2,6.17,6.2,6.08,6.11,-0.09
2024-03-20,267500.0,6.11,6.2,6.22,6.0,6.06,-0.05
2024-03-21,562500.0,6.06,6.1,6.18,6.0,6.1,0.04
2024-03-22,479000.0,6.1,5.96,6.37,5.9,6.29,0.19
2024-03-25,1735000.0,6.29,6.21,6.7,6.05,6.14,-0.15
2024-03-26,396000.0,6.14,6.25,6.3,6.2,6.23,0.09
2024-03-27,638500.0,6.23,6.2,6.2,5.97,6.0,-0.23
2024-03-28,258000.0,6.0,6.0,6.08,5.95,5.98,-0.02
2024-03-29,220000.0,5.98,6.09,6.09,5.95,5.98,0.0
2024-04-01,197000.0,5.98,6.0,6.1,5.9,5.92,-0.06
2024-04-02,103500.0,5.92,6.05,6.1,6.0,6.1,0.18
2024-04-03,191500.0,6.1,6.1,6.25,6.04,6.17,0.07
2024-04-04,255000.0,6.17,6.25,6.25,6.07,6.1,-0.07
2024-04-08,242500.0,6.1,6.1,6.18,6.0,6.11,0.01
2024-04-09,215000.0,6.11,6.0,6.18,6.0,6.04,-0.07
2024-04-15,110000.0,6.04,6.01,6.1,6.0,6.03,-0.01
2024-04-16,176000.0,6.03,6.08,6.2,6.02,6.06,0.03
2024-04-17,371000.0,6.06,6.1,6.2,6.0,6.05,-0.01
2024-04-18,175000.0,6.05,6.04,6.14,6.01,6.02,-0.03
2024-04-19,999000.0,6.02,6.1,6.1,5.9,5.92,-0.1
2024-04-22,2148500.0,5.92,6.0,6.49,5.95,6.26,0.34
2024-04-23,1472500.0,6.26,6.26,6.55,6.25,6.34,0.08
2024-04-24,462500.0,6.34,6.4,6.56,6.3,6.4,0.06
2024-04-25,2911000.0,6.4,6.46,6.7,6.27,6.37,-0.03
2024-04-26,757000.0,6.37,6.4,6.44,6.0,6.05,-0.32
2024-04-29,616500.0,6.05,6.19,6.2,5.99,6.02,-0.03
2024-04-30,814500.0,6.02,6.0,6.1,5.89,5.91,-0.11
2024-05-02,423500.0,5.91,5.92,5.99,5.75,5.84,-0.07
2024-05-03,544500.0,5.84,5.9,6.08,5.51,5.8,-0.04
2024-05-06,1546500.0,5.8,5.97,6.13,5.86,6.04,0.24
2024-05-07,1988000.0,6.04,6.15,6.4,6.1,6.23,0.19
2024-05-08,569500.0,6.23,6.21,6.37,6.16,6.18,-0.05
2024-05-09,524500.0,6.18,6.25,6.31,6.0,6.09,-0.09
2024-05-10,910500.0,6.09,6.15,6.38,6.14,6.22,0.13
2024-05-13,6812500.0,6.22,6.37,7.22,6.3,7.22,1.0
2024-05-14,5468500.0,7.22,7.57,7.9,7.25,7.3,0.08
2024-05-15,1804500.0,7.3,7.27,7.3,6.8,6.87,-0.43
2024-05-16,1496500.0,6.87,6.8,7.21,6.75,6.96,0.09
2024-05-17,599500.0,6.96,7.05,7.22,6.95,6.98,0.02
2024-05-20,497190.0,6.98,7.01,7.01,6.75,6.77,-0.21
2024-05-21,1093126.0,6.77,6.78,7.1,6.78,6.91,0.14
2024-05-22,643054.0,6.91,7.02,7.07,6.82,6.89,-0.02
2024-05-23,467515.0,6.89,6.74,7.03,6.73,6.91,0.02
2024-05-24,461893.0,6.91,6.89,6.95,6.67,6.69,-0.22
2024-05-27,351555.0,6.69,6.7,6.77,6.5,6.53,-0.16
2024-05-29,194341.0,6.53,6.46,6.49,6.33,6.45,-0.08
2024-05-30,306820.0,6.45,6.45,6.5,6.3,6.38,-0.07
2024-05-31,226958.0,6.38,6.43,6.6,6.31,6.43,0.05
2024-06-03,2382904.0,6.43,6.5,6.57,6.36,6.41,-0.02
2024-06-04,1090882.0,6.41,6.5,6.5,6.0,6.05,-0.36
2024-06-05,697942.0,6.05,6.03,6.19,6.03,6.09,0.04
2024-06-06,896248.0,6.09,6.1,6.22,5.97,6.0,-0.09
2024-06-07,693644.0,6.0,6.07,6.14,5.9,6.11,0.11
2024-06-10,141940.0,6.11,6.11,6.19,5.9,5.96,-0.15
2024-06-11,617813.0,5.96,6.0,6.18,5.78,5.81,-0.15
2024-06-12,1900394.0,5.81,5.89,6.08,5.7,5.74,-0.07
2024-06-13,1449373.0,5.74,5.9,6.14,5.85,5.91,0.17
2024-06-14,515458.0,5.91,6.09,6.09,5.87,5.89,-0.02
2024-06-20,1236139.0,5.89,5.9,6.1,5.87,6.0,0.11
2024-06-21,807022.0,6.0,6.0,6.09,5.86,5.9,-0.1
2024-06-24,635823.0,5.9,5.9,5.9,5.7,5.72,-0.18
2024-06-25,2309497.0,5.72,5.8,5.8,5.48,5.57,-0.15
2024-06-26,3888907.0,5.57,5.6,5.95,5.49,5.64,0.07
2024-06-27,941914.0,5.64,5.85,5.85,5.52,5.56,-0.08
2024-06-28,314390.0,5.56,5.57,5.7,5.54,5.66,0.1
2024-07-01,506974.0,5.66,5.62,5.88,5.6,5.74,0.08
2024-07-02,479408.0,5.74,5.84,5.87,5.62,5.84,0.1
2024-07-03,531226.0,5.84,5.89,5.89,5.68,5.72,-0.12
2024-07-04,2700986.0,5.72,5.66,6.0,5.66,5.87,0.15
2024-07-05,675281.0,5.87,5.95,5.97,5.7,5.75,-0.12
2024-07-08,55714.0,5.75,5.73,5.89,5.7,5.75,0.0
2024-07-09,928693.0,5.75,5.78,5.99,5.72,5.76,0.01
2024-07-10,211449.0,5.76,5.94,5.94,5.68,5.7,-0.06
2024-07-11,328281.0,5.7,5.78,5.78,5.59,5.61,-0.09
2024-07-12,882200.0,5.61,5.6,5.7,5.5,5.58,-0.03
2024-07-15,1001112.0,5.58,5.6,5.79,5.55,5.64,0.06
2024-07-18,2774216.0,5.64,5.7,6.15,5.52,5.65,0.01
2024-07-19,450554.0,5.65,5.7,5.79,5.53,5.55,-0.1
2024-07-22,491999.0,5.55,5.59,5.7,5.47,5.5,-0.05
2024-07-23,180513.0,5.5,5.59,5.59,5.45,5.5,0.0
2024-07-24,112010.0,5.5,5.7,5.7,5.5,5.56,0.06
2024-07-25,235259.0,5.56,5.65,5.65,5.47,5.5,-0.06
2024-07-26,144157.0,5.5,5.6,5.6,5.42,5.44,-0.06
2024-07-29,122139.0,5.44,5.64,5.64,5.4,5.44,0.0
2024-07-30,99662.0,5.44,5.54,5.54,5.4,5.46,0.02
2024-07-31,299062.0,5.46,5.6,5.6,5.37,5.4,-0.06
2024-08-01,131971.0,5.4,5.4,5.45,5.25,5.26,-0.14
2024-08-02,242977.0,5.26,5.45,5.5,5.28,5.45,0.19
2024-08-05,6173466.0,5.45,5.51,6.08,5.25,5.92,0.47
2024-08-06,6245721.0,5.92,5.86,6.39,5.8,6.22,0.3
2024-08-07,724209.0,6.22,6.18,6.28,5.8,5.83,-0.39
