Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,400.0,124.88,125.0,125.0,125.0,125.0,0.12
2024-01-04,200.0,125.0,120.0,120.0,120.0,125.0,0.0
2024-01-29,3000.0,125.0,125.0,125.0,125.0,125.0,0.0
2024-02-12,100.0,125.0,134.38,134.38,134.38,125.0,0.0
2024-03-14,100.0,125.0,120.0,120.0,120.0,125.0,0.0
2024-03-21,200.0,125.0,125.0,125.0,125.0,125.0,0.0
2024-04-09,200.0,125.0,125.0,125.0,125.0,125.0,0.0
2024-04-16,700.0,125.0,132.99,134.38,132.99,134.38,9.38
2024-04-17,600.0,134.38,143.99,143.99,124.3,130.57,-3.81
2024-04-18,100.0,130.57,134.99,134.99,134.99,130.57,0.0
2024-04-23,573.0,130.57,129.9,137.0,128.0,129.81,-0.76
2024-04-24,604.0,129.81,139.0,139.0,129.0,134.59,4.78
2024-04-25,841.0,134.59,124.5,135.0,124.5,131.07,-3.52
2024-04-26,371.0,131.07,140.5,140.5,125.0,127.26,-3.81
2024-04-29,138.0,127.26,123.01,131.99,123.01,127.26,0.0
2024-04-30,2.0,127.26,135.0,135.0,131.0,127.26,0.0
2024-05-02,11.0,127.26,131.0,131.0,131.0,127.26,0.0
2024-05-03,51.0,127.26,136.7,136.7,135.0,127.26,0.0
2024-05-06,734.0,127.26,136.8,136.8,129.0,131.0,3.74
2024-05-07,156.0,131.0,135.0,135.0,121.25,131.0,0.0
2024-05-08,190.0,131.0,131.0,131.0,121.98,131.0,0.0
2024-05-10,252.0,131.0,133.99,134.99,121.18,125.77,-5.23
2024-05-13,11.0,125.77,135.0,135.0,133.49,125.77,0.0
2024-05-14,421.0,125.77,125.0,135.0,125.0,129.18,3.41
2024-05-15,419.0,129.18,138.85,138.85,130.0,130.9,1.72
2024-05-16,730.0,130.9,136.0,136.0,129.0,130.0,-0.9
2024-05-17,302.0,130.0,131.5,131.5,126.0,126.14,-3.86
2024-05-20,2548.0,126.14,135.0,135.6,116.68,135.6,9.46
2024-05-21,1568.0,135.6,145.75,145.75,125.43,130.86,-4.74
2024-05-22,1400.0,130.86,139.0,139.0,131.0,131.0,0.14
2024-05-23,834.0,131.0,137.99,138.99,132.0,135.88,4.88
2024-05-24,382.0,135.88,145.0,145.0,125.7,128.39,-7.49
2024-05-27,308.0,128.39,137.0,138.66,130.0,132.89,4.5
2024-05-29,101.0,132.89,137.0,137.0,130.0,132.89,0.0
2024-05-30,2.0,132.89,143.0,143.0,139.89,132.89,0.0
2024-05-31,12.0,132.89,142.99,142.99,135.0,132.89,0.0
2024-06-03,39148.0,132.89,143.0,143.0,131.0,132.89,0.0
2024-06-04,141.0,132.89,143.0,143.0,135.0,132.89,0.0
2024-06-05,4558.0,132.89,143.0,143.0,130.0,137.18,4.29
2024-06-06,156.0,137.18,142.0,142.0,132.0,137.18,0.0
2024-06-07,125.0,137.18,148.0,148.0,139.99,137.18,0.0
2024-06-10,2001.0,137.18,142.0,142.0,130.0,133.99,-3.19
