Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,483450.0,423.56,426.0,449.5,424.89,447.75,24.19
2024-01-02,197802.0,447.75,445.0,449.9,437.0,441.08,-6.67
2024-01-03,233563.0,441.08,441.0,442.2,436.5,437.13,-3.95
2024-01-04,152811.0,437.13,437.0,438.0,430.0,431.79,-5.34
2024-01-05,20.0,447.2,0.0,0.0,0.0,444.99,-2.21
2024-01-08,108916.0,430.54,433.0,433.45,427.0,428.91,-1.63
2024-01-09,194307.0,428.91,430.7,430.7,421.61,424.96,-3.95
2024-01-10,128903.0,424.96,425.1,427.88,422.0,424.24,-0.72
2024-01-11,189540.0,424.24,426.0,431.19,423.0,424.54,0.3
2024-01-12,124866.0,424.54,426.0,427.8,419.55,422.44,-2.1
2024-01-15,102398.0,422.44,425.5,425.95,415.0,417.6,-4.84
2024-01-16,107196.0,417.6,418.0,423.0,415.0,420.1,2.5
2024-01-17,83825.0,420.1,422.79,423.5,415.2,416.54,-3.56
2024-01-18,106852.0,416.54,417.0,417.7,411.0,413.85,-2.69
2024-01-19,133069.0,413.85,413.1,418.99,412.0,412.68,-1.17
2024-01-22,80208.0,412.68,412.0,414.4,410.0,412.75,0.07
2024-01-23,417235.0,412.75,413.0,414.0,407.13,409.63,-3.12
2024-01-24,722358.0,409.63,409.99,422.49,409.0,409.85,0.22
2024-01-25,371979.0,409.85,413.0,413.4,405.0,405.87,-3.98
2024-01-26,515669.0,405.87,405.0,406.0,399.0,400.18,-5.69
2024-01-29,746886.0,400.18,404.17,404.17,392.0,392.95,-7.23
2024-01-30,424273.0,392.95,394.0,402.0,391.0,392.59,-0.36
2024-01-31,472749.0,392.59,396.86,397.95,393.0,393.55,0.96
2024-02-01,190689.0,393.55,395.0,397.24,393.94,395.39,1.84
2024-02-02,215477.0,395.39,395.5,399.0,395.5,397.5,2.11
2024-02-06,166267.0,397.5,397.95,397.95,393.45,394.14,-3.36
2024-02-07,366814.0,394.14,395.8,397.33,394.15,395.1,0.96
2024-02-09,369837.0,395.1,390.5,394.5,370.0,389.77,-5.33
2024-02-12,337292.0,389.77,389.8,390.0,375.1,381.14,-8.63
2024-02-13,368017.0,381.14,380.0,386.0,374.0,380.18,-0.96
2024-02-14,509549.0,380.18,381.0,396.0,381.0,389.99,9.81
2024-02-15,297485.0,389.99,391.0,394.5,379.01,382.05,-7.94
2024-02-16,403248.0,382.05,377.0,379.94,368.0,370.87,-11.18
2024-02-19,281412.0,370.87,365.0,377.98,361.0,370.86,-0.01
2024-02-20,467081.0,370.86,374.9,381.5,373.0,379.31,8.45
2024-02-21,650265.0,379.31,383.0,389.82,382.06,387.37,8.06
2024-02-22,1406023.0,387.37,390.0,416.42,389.9,410.4,23.03
2024-02-23,255195.0,410.4,412.0,412.0,402.01,408.62,-1.78
2024-02-26,471070.0,408.62,408.63,419.99,408.63,414.18,5.56
2024-02-27,729056.0,414.18,417.0,422.49,410.1,413.51,-0.67
2024-02-28,288819.0,413.51,410.2,414.0,407.5,408.6,-4.91
2024-02-29,243296.0,408.6,408.6,412.5,408.0,409.98,1.38
2024-03-01,195301.0,409.98,411.94,413.0,405.05,407.99,-1.99
2024-03-04,326937.0,407.99,408.89,415.0,408.55,412.46,4.47
2024-03-05,1116095.0,412.46,413.7,415.48,407.99,412.02,-0.44
2024-03-06,569255.0,412.02,414.95,415.0,408.0,409.3,-2.72
2024-03-07,569733.0,409.3,410.0,411.0,403.0,408.3,1.0
2024-03-08,1206260.0,408.3,410.0,411.75,408.0,409.12,0.82
2024-03-11,476604.0,409.12,410.99,412.97,407.0,408.6,-0.52
2024-03-12,200285.0,408.6,408.6,411.89,402.0,404.41,-4.19
2024-03-13,103.0,409.99,411.0,412.99,403.0,404.82,-5.17
2024-03-14,182429.0,399.91,401.0,410.0,400.95,408.23,8.32
2024-03-15,558551.0,408.23,410.0,412.9,405.0,410.15,1.92
2024-03-18,300974.0,410.15,412.53,414.0,403.5,404.5,-5.65
2024-03-19,151296.0,404.5,407.76,407.76,401.0,402.31,-2.19
2024-03-20,320871.0,402.31,404.0,406.5,401.01,402.2,-0.11
2024-03-21,282683.0,402.2,403.5,405.99,390.0,394.78,-7.42
2024-03-22,157053.0,394.78,397.0,400.0,395.0,395.94,1.16
