Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-05,517.0,42.44,39.04,39.5,39.04,39.22,-3.22
2024-06-06,2.0,39.22,36.08,37.0,36.08,39.22,0.0
2024-06-07,1.0,39.22,0.0,0.0,0.0,39.22,0.0
2024-07-11,131.0,39.22,35.51,35.51,35.5,39.22,0.0
2024-07-18,782.0,39.22,35.5,35.5,35.5,35.5,-3.72
2024-07-22,327.0,35.5,32.0,32.0,32.0,35.5,0.0
2024-08-21,2305.0,35.5,32.01,33.0,31.95,32.33,-3.17
2024-08-22,11.0,32.33,32.33,32.33,30.0,32.33,0.0
2024-08-26,3904.0,32.33,29.1,31.99,29.1,31.99,-0.34
2024-08-28,172.0,31.99,29.33,31.99,29.31,31.99,0.0
2024-08-29,225.0,31.99,30.0,31.9,30.0,31.99,0.0
2024-08-30,100.0,31.99,31.0,31.1,31.0,31.99,0.0
2024-09-02,150.0,31.99,31.75,31.75,31.75,31.99,0.0
2024-09-03,10.0,31.99,31.0,31.0,31.0,31.99,0.0
2024-09-04,445.0,31.99,31.99,31.99,31.99,31.99,0.0
2024-09-05,100.0,31.99,31.99,31.99,31.99,31.99,0.0
2024-09-06,50.0,31.99,32.0,32.0,32.0,31.99,0.0
2024-09-13,11.0,31.99,31.99,32.1,31.99,31.99,0.0
2024-09-18,1052.0,31.99,31.0,31.0,30.5,30.95,-1.04
2024-09-19,102.0,30.95,30.95,30.95,29.5,30.95,0.0
2024-09-23,1000.0,30.95,29.0,29.0,29.0,29.0,-1.95
2024-09-24,260.0,29.0,30.99,30.99,30.99,29.0,0.0
2024-09-25,226.0,29.0,31.9,31.9,31.89,29.0,0.0
2024-09-27,80.0,29.0,27.0,27.0,27.0,29.0,0.0
2024-09-30,240.0,29.0,27.0,27.25,27.0,28.31,-0.69
2024-10-04,2.0,28.31,31.1,31.1,31.1,28.31,0.0
2024-10-07,375.0,28.31,28.3,28.3,28.3,28.31,0.0
2024-10-08,2.0,28.31,31.13,31.13,31.13,28.31,0.0
2024-10-09,30.0,28.31,31.13,31.13,31.13,28.31,0.0
2024-10-14,1.0,28.31,28.31,28.31,28.31,28.31,0.0
2024-10-16,1001.0,28.31,31.14,31.14,31.14,31.14,2.83
2024-10-22,5.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-04,1.0,31.14,31.14,31.14,31.14,31.14,0.0
2024-11-08,13.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-11,4.0,31.14,0.0,0.0,0.0,31.14,0.0
2024-11-15,1.0,31.14,31.14,31.14,31.14,31.14,0.0
2024-11-18,10.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-19,10.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-20,2.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-21,37.0,31.14,34.0,34.0,30.0,31.14,0.0
2024-11-25,5.0,31.14,34.0,34.0,34.0,31.14,0.0
2024-11-26,2.0,31.14,34.0,34.0,33.0,31.14,0.0
2024-12-02,1.0,31.14,33.0,33.0,33.0,31.14,0.0
2024-12-03,3928.0,31.14,29.15,29.15,29.15,29.15,-1.99
2024-12-06,300.0,29.15,31.0,31.0,31.0,29.87,0.72
2024-12-11,500.0,29.87,28.0,28.0,28.0,29.87,0.0
2024-12-12,150.0,29.87,28.1,28.1,28.1,29.87,0.0
2024-12-18,102.0,29.87,28.1,31.0,28.1,29.87,0.0
2024-12-23,99.0,29.87,29.0,29.0,29.0,29.87,0.0
2024-12-24,201.0,29.87,28.0,28.0,28.0,29.87,0.0
2024-12-30,1.0,29.87,27.5,27.5,27.5,29.87,0.0
2025-01-03,5.0,29.87,27.3,27.3,27.3,29.87,0.0
2025-01-08,1.0,29.87,27.1,27.1,27.1,29.87,0.0
2025-01-14,465.0,29.87,29.8,29.8,29.8,29.87,0.0
2025-01-16,70.0,29.87,30.0,30.0,30.0,29.87,0.0
2025-01-20,1.0,29.87,30.0,30.0,30.0,29.87,0.0
2025-01-23,96.0,29.87,28.5,28.5,28.5,29.87,0.0
2025-02-04,17.0,29.87,30.0,30.0,30.0,29.87,0.0
2025-03-24,1.0,29.87,32.0,32.0,32.0,29.87,0.0
2025-04-09,12.0,29.87,27.22,30.0,27.22,29.87,0.0
2025-04-14,1.0,29.87,27.26,27.26,27.26,29.87,0.0
2025-04-17,381.0,29.87,29.5,29.5,28.0,29.87,0.0
2025-04-18,3.0,29.87,30.0,30.0,28.0,29.87,0.0
2025-04-21,2.0,29.87,29.9,29.9,28.0,29.87,0.0
2025-04-22,88.0,29.87,30.0,30.0,30.0,29.87,0.0
2025-05-16,20.0,29.87,31.0,31.0,31.0,29.87,0.0
2025-05-20,3.0,29.87,27.1,31.0,27.1,29.87,0.0
2025-05-22,2005.0,29.87,30.0,30.0,30.0,30.0,0.13
2025-05-26,1.0,30.0,31.0,31.0,31.0,30.0,0.0
2025-05-29,1.0,30.0,31.0,31.0,31.0,30.0,0.0
2025-05-30,217.0,30.0,30.0,33.0,30.0,30.0,0.0
2025-06-02,552.0,30.0,33.0,33.0,31.13,32.94,2.94
2025-06-03,79.0,32.94,36.2,36.2,31.6,32.94,0.0
2025-06-04,1085.0,32.94,35.0,36.23,35.0,36.23,3.29
2025-06-05,100.0,36.23,37.0,37.0,37.0,36.23,0.0
2025-06-10,150.0,36.23,37.5,37.5,37.5,36.23,0.0
