Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,68000.0,80.0,82.0,86.0,78.0,82.36,2.36
2024-01-02,17500.0,82.36,82.0,82.0,79.0,79.0,-3.36
2024-01-03,1000.0,79.0,78.0,78.0,77.8,77.8,-1.2
2024-01-04,500.0,77.8,78.99,78.99,78.99,78.99,1.19
2024-01-05,1000.0,78.99,74.1,74.2,74.1,74.15,-4.84
2024-01-08,500.0,74.15,79.0,79.0,79.0,79.0,4.85
2024-01-09,1000.0,79.0,82.5,82.5,76.55,76.55,-2.45
2024-01-12,500.0,76.55,80.0,80.0,80.0,80.0,3.45
2024-01-22,500.0,79.55,74.01,74.01,74.01,74.01,-5.54
2024-01-23,500.0,74.01,0.0,0.0,0.0,74.01,0.0
2024-01-24,500.0,74.01,77.0,77.0,77.0,77.0,2.99
2024-01-29,1000.0,77.0,0.0,0.0,0.0,77.0,0.0
2024-01-30,1500.0,77.0,71.52,71.52,71.5,71.51,-5.49
2024-02-01,500.0,71.51,72.0,72.0,72.0,72.0,0.49
2024-02-02,1000.0,72.0,73.0,76.0,73.0,76.0,4.0
2024-02-07,1500.0,76.0,76.0,76.0,76.0,76.0,0.0
2024-02-09,1000.0,76.0,77.0,78.0,77.0,77.5,1.5
2024-02-13,500.0,77.5,74.5,74.5,74.5,74.5,3.0
2024-02-14,5500.0,74.5,71.7,77.0,71.7,74.0,-0.5
2024-02-15,6000.0,74.0,76.0,76.3,76.0,76.3,2.3
2024-02-20,1500.0,76.3,0.0,0.0,0.0,76.3,0.0
2024-02-21,3000.0,76.3,71.25,71.25,71.0,71.0,-5.3
2024-02-22,6000.0,71.0,74.99,75.0,74.99,75.0,4.0
2024-02-28,1000.0,75.0,74.99,74.99,71.5,71.5,-3.5
2024-02-29,500.0,71.5,74.6,74.6,74.6,74.6,3.1
2024-03-01,500.0,74.6,70.8,70.8,70.8,70.8,-3.8
2024-03-04,500.0,70.8,74.5,74.5,74.5,74.5,3.7
2024-03-05,19500.0,74.5,69.0,73.0,69.0,71.9,-2.6
2024-03-06,1000.0,71.9,72.9,72.9,72.9,72.9,1.0
2024-03-08,500.0,72.9,69.5,69.5,69.5,69.5,-3.4
2024-03-13,4000.0,69.5,69.5,70.0,69.5,70.0,0.5
2024-03-15,11000.0,70.0,66.0,68.5,65.0,68.5,-1.5
2024-03-18,1000.0,68.5,71.0,71.0,68.0,68.0,-0.5
2024-03-19,1500.0,68.0,66.0,71.0,66.0,68.5,0.5
2024-03-25,500.0,68.5,65.5,65.5,65.5,65.5,3.0
2024-03-26,4000.0,65.5,69.9,69.9,69.9,69.9,4.4
2024-03-28,2000.0,69.9,66.0,66.0,65.5,65.88,-4.02
2024-03-29,500.0,65.88,68.0,68.0,68.0,68.0,2.12
2024-04-03,500.0,68.0,64.0,64.0,64.0,64.0,4.0
2024-04-04,3000.0,64.0,66.0,66.0,66.0,66.0,2.0
2024-04-08,500.0,66.0,66.0,66.0,66.0,66.0,0.0
2024-04-15,500.0,66.0,63.5,63.5,63.5,63.5,-2.5
2024-04-16,500.0,63.5,67.0,67.0,67.0,67.0,3.5
2024-04-18,500.0,67.0,63.02,63.02,63.02,63.02,-3.98
2024-04-19,15000.0,63.02,67.0,67.75,65.0,66.65,3.63
2024-04-22,11500.0,66.65,69.95,69.95,66.0,66.5,-0.15
2024-04-23,1000.0,66.5,67.85,67.85,67.85,67.85,1.35
2024-04-24,3500.0,67.85,64.75,67.85,64.75,65.55,-2.3
2024-04-25,3000.0,65.55,69.25,69.25,66.0,66.5,0.95
2024-04-26,1000.0,66.5,67.5,68.0,67.5,68.0,1.5
2024-05-03,1000.0,68.0,71.95,71.95,71.95,71.95,3.95
2024-05-06,23000.0,71.95,66.6,69.5,66.55,66.55,-5.4
2024-05-07,2500.0,66.55,66.0,68.0,66.0,66.95,0.4
2024-05-08,1000.0,66.95,63.01,65.45,63.01,65.45,-1.5
2024-05-10,2500.0,65.45,67.44,70.36,62.55,65.0,-0.45
2024-05-13,24000.0,65.0,65.0,67.25,63.0,63.01,-1.99
2024-05-14,3500.0,63.01,64.95,64.95,61.1,62.01,1.0
2024-05-15,1500.0,62.01,64.3,64.45,64.3,64.38,2.37
2024-05-16,6000.0,64.38,64.9,64.9,61.1,63.7,-0.68
2024-05-20,500.0,63.7,61.1,61.1,61.1,61.1,-2.6
2024-05-21,500.0,61.1,63.0,63.0,63.0,63.0,1.9
2024-05-24,500.0,63.0,60.0,60.0,60.0,60.0,3.0
2024-05-27,8100.0,60.0,62.5,64.7,62.0,63.7,3.7
2024-05-29,5000.0,63.7,63.45,65.25,63.45,63.97,0.27
2024-05-30,500.0,63.97,61.25,61.25,61.25,61.25,-2.72
2024-05-31,7000.0,61.25,61.4,63.99,61.4,63.99,2.74
2024-06-03,5383.0,63.99,64.5,66.25,63.1,64.88,0.89
2024-06-04,4050.0,64.88,62.62,63.0,62.1,62.19,-2.69
2024-06-05,1625.0,62.19,63.0,63.0,62.95,62.95,0.76
2024-06-06,1000.0,62.95,62.85,62.85,62.85,62.85,-0.1
2024-06-07,606.0,62.85,63.0,63.0,58.6,62.58,-0.27
2024-06-10,201.0,62.58,63.0,63.0,62.58,62.58,0.0
2024-06-11,100.0,62.58,62.95,62.95,62.95,62.58,0.0
2024-06-12,100.0,62.58,63.0,63.0,63.0,62.58,0.0
2024-06-13,1.0,62.58,62.6,62.6,62.6,62.58,0.0
2024-06-14,1.0,62.58,64.0,64.0,64.0,62.58,0.0
2024-06-20,12959.0,62.58,62.58,62.75,58.1,59.2,-3.38
2024-06-21,1200.0,59.2,61.0,62.0,61.0,61.93,2.73
2024-06-24,4807.0,61.93,59.02,59.02,58.1,59.0,-2.93
2024-06-25,669.0,59.0,59.95,59.95,59.95,59.95,0.95
2024-06-26,1239.0,59.95,60.0,60.0,58.01,58.17,-1.78
2024-06-27,531.0,58.17,60.5,60.5,57.57,60.33,2.16
2024-06-28,13660.0,60.33,60.0,65.75,60.0,63.59,3.26
2024-07-01,2000.0,63.59,63.5,64.0,62.25,63.95,0.36
2024-07-02,1601.0,63.95,62.0,62.0,61.15,61.15,-2.8
2024-07-03,101.0,61.15,61.16,61.16,61.15,61.15,0.0
