Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-02-09,145000.0,15.01,15.0,15.15,15.0,15.0,-0.01
2024-02-12,370500.0,15.0,14.81,15.01,14.8,15.0,0.0
2024-02-13,320500.0,15.0,14.52,15.1,14.52,15.01,0.01
2024-02-14,3000.0,15.01,15.1,15.2,15.1,15.2,0.19
2024-02-15,26500.0,15.2,15.1,15.1,15.0,15.0,-0.2
2024-02-16,110500.0,15.0,15.01,15.01,15.0,15.0,0.0
2024-02-19,113000.0,15.0,15.0,15.01,15.0,15.0,0.0
2024-02-20,26000.0,15.0,15.05,15.15,15.02,15.1,0.1
2024-02-21,47500.0,15.1,15.03,15.03,15.0,15.0,-0.1
2024-02-22,3000.0,15.0,15.01,15.29,15.01,15.29,0.29
