Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-02-23,289000.0,0.29,1.29,1.29,1.27,1.29,1.0
2024-02-26,1840500.0,1.29,1.51,2.29,1.5,2.29,1.0
2024-02-27,1151000.0,2.29,2.85,3.29,2.3,2.88,0.59
2024-02-28,356000.0,2.88,2.56,3.25,2.56,2.87,-0.01
2024-02-29,198500.0,2.87,2.72,3.0,2.53,2.61,-0.26
2024-03-01,66500.0,2.61,2.4,2.58,2.13,2.28,-0.33
2024-03-04,49000.0,2.28,2.5,2.5,2.02,2.04,-0.24
2024-03-05,174500.0,2.04,2.0,2.0,1.67,1.83,-0.21
2024-03-06,91500.0,1.83,1.83,2.7,1.83,2.6,0.77
2024-03-07,68500.0,2.6,2.4,2.4,1.9,2.04,-0.56
2024-03-08,121500.0,2.04,2.04,2.04,1.5,1.77,-0.27
2024-03-11,318000.0,1.77,1.52,2.7,1.03,2.14,0.37
2024-03-12,64000.0,2.14,2.04,2.35,1.91,2.04,-0.1
2024-03-13,23000.0,2.04,2.3,2.3,1.55,1.95,-0.09
2024-03-14,120000.0,1.95,2.0,2.3,1.55,1.66,-0.29
2024-03-15,491000.0,1.66,1.52,1.99,0.66,0.79,-0.87
