Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5731488.0,7.97,8.13,8.49,8.0,8.44,0.47
2024-01-02,5630557.0,8.44,8.49,8.58,8.11,8.17,-0.27
2024-01-03,3648862.0,8.17,8.25,8.39,8.11,8.16,-0.01
2024-01-04,3788921.0,8.16,8.14,8.17,7.89,8.03,-0.13
2024-01-05,10503011.0,8.03,8.17,8.5,7.94,8.19,0.16
2024-01-08,4991812.0,8.19,8.25,8.44,8.19,8.23,0.04
2024-01-09,2333317.0,8.23,8.31,8.4,8.05,8.13,-0.1
2024-01-10,4044349.0,8.13,8.1,8.34,8.06,8.1,-0.03
2024-01-11,2709698.0,8.1,8.11,8.15,7.91,8.05,-0.05
2024-01-12,3689905.0,8.05,8.1,8.28,8.03,8.12,0.07
2024-01-15,1590775.0,8.12,8.19,8.23,7.87,7.91,-0.21
2024-01-16,4315853.0,7.91,7.95,8.25,7.6,8.09,0.18
2024-01-17,6591422.0,8.09,8.0,8.43,7.95,8.02,-0.07
2024-01-18,3554890.0,8.02,8.1,8.1,7.75,7.93,-0.09
2024-01-19,2226317.0,7.93,8.0,8.09,7.75,7.77,-0.16
2024-01-22,1816401.0,7.77,7.77,7.84,7.6,7.65,-0.12
2024-01-23,3483496.0,7.65,7.74,8.03,7.63,7.89,0.24
2024-01-24,1385.0,8.03,8.11,8.27,8.02,8.06,0.03
2024-01-25,8117237.0,7.92,8.0,8.17,7.7,8.05,0.13
2024-01-26,7960385.0,8.05,8.02,8.2,7.64,7.69,-0.36
2024-01-29,2073474.0,7.69,7.64,7.78,7.36,7.45,-0.24
2024-01-30,5448905.0,7.45,7.45,7.59,6.9,6.95,-0.5
2024-01-31,2426524.0,6.95,7.09,7.19,6.84,6.89,-0.06
2024-02-01,813695.0,6.89,6.94,6.95,6.72,6.86,-0.03
2024-02-02,2024066.0,6.86,6.93,7.16,6.85,7.03,0.17
2024-02-06,1322813.0,7.03,7.04,7.21,7.0,7.18,0.15
2024-02-07,1061226.0,7.18,7.19,7.29,7.15,7.21,0.03
2024-02-09,936666.0,7.21,7.15,7.15,6.9,7.01,-0.2
2024-02-12,1721747.0,7.01,7.0,7.08,6.5,6.65,-0.36
2024-02-13,2221305.0,6.65,6.6,6.9,6.06,6.79,0.14
2024-02-14,3951637.0,6.79,6.88,7.2,6.84,6.94,0.15
2024-02-15,11022823.0,6.94,7.04,7.39,6.62,6.79,-0.15
2024-02-16,11.0,7.01,6.71,6.9,6.68,6.7,-0.31
2024-02-19,769.0,6.72,6.55,7.0,6.55,6.84,0.12
2024-02-20,3071582.0,6.82,6.88,7.09,6.86,6.93,0.11
2024-02-21,4054200.0,6.93,7.02,7.26,6.97,7.15,0.22
2024-02-22,4356416.0,7.15,7.19,7.35,7.11,7.26,0.11
2024-02-23,2945762.0,7.26,7.2,7.28,7.05,7.13,-0.13
2024-02-26,5037796.0,7.13,7.19,7.38,7.15,7.22,0.09
2024-02-27,1879890.0,7.22,7.29,7.31,7.01,7.07,-0.15
2024-02-28,17021859.0,7.07,7.19,8.07,7.19,8.07,1.0
2024-02-29,17385214.0,8.07,8.38,8.48,7.74,7.79,-0.28
2024-03-01,2839658.0,7.79,7.85,7.9,7.6,7.78,-0.01
2024-03-04,16443665.0,7.78,7.82,8.3,7.82,8.19,0.41
2024-03-05,7554612.0,8.19,8.22,8.37,7.99,8.09,-0.1
2024-03-06,25684671.0,8.09,8.07,9.09,8.03,8.48,0.39
2024-03-07,22636636.0,8.48,8.5,8.94,8.37,8.57,0.09
2024-03-08,32684177.0,8.57,8.6,9.48,8.6,9.35,0.78
2024-03-11,20951791.0,9.35,9.4,9.65,8.92,9.08,-0.27
2024-03-12,9158481.0,9.08,9.06,9.13,8.37,8.42,-0.66
2024-03-13,8633327.0,8.42,8.36,8.54,7.9,7.97,-0.45
2024-03-14,12892990.0,7.97,8.0,8.75,8.0,8.65,0.68
2024-03-15,9771913.0,8.65,8.71,9.06,8.62,8.67,0.02
2024-03-18,14676033.0,8.67,8.7,9.28,8.45,9.0,0.33
2024-03-19,20828617.0,9.0,9.11,9.59,8.99,9.23,0.23
2024-03-20,14258204.0,9.23,9.4,9.55,8.85,8.95,-0.28
2024-03-21,5969050.0,8.95,8.95,8.96,8.52,8.58,-0.37
2024-03-22,2936340.0,8.58,8.6,8.83,8.39,8.59,0.01
2024-03-25,3237555.0,8.59,8.79,8.79,8.4,8.52,-0.07
2024-03-26,2886770.0,8.52,8.67,8.67,8.41,8.49,-0.03
2024-03-27,29177124.0,8.49,8.6,9.44,8.4,9.24,0.75
2024-03-28,25547322.0,9.24,9.6,9.74,9.13,9.29,0.05
2024-03-29,6690841.0,9.29,9.27,9.28,8.71,9.06,-0.23
2024-04-01,4690421.0,9.06,9.1,9.17,8.85,8.93,-0.13
2024-04-02,9534499.0,8.93,8.89,9.28,8.89,9.07,0.14
2024-04-03,4373589.0,9.07,9.1,9.18,8.9,8.97,-0.1
2024-04-04,12358668.0,8.97,9.09,9.44,8.92,9.37,0.4
2024-04-08,4953842.0,9.37,9.41,9.51,9.2,9.22,-0.15
2024-04-09,2553334.0,9.22,9.14,9.24,9.05,9.09,-0.13
2024-04-15,8517415.0,9.09,8.9,9.25,8.9,8.98,-0.11
2024-04-16,4811352.0,8.98,9.02,9.19,8.9,8.93,-0.05
2024-04-17,4900130.0,8.93,8.92,9.13,8.87,8.91,-0.02
2024-04-18,5248043.0,8.91,9.05,9.05,8.64,8.71,-0.2
2024-04-19,3608.0,8.8,8.74,9.07,8.55,8.83,0.03
2024-04-22,13626794.0,8.8,8.8,9.25,8.73,9.08,0.28
2024-04-23,11128589.0,9.08,9.24,9.4,9.0,9.04,-0.04
2024-04-24,17620891.0,9.04,9.05,9.27,8.9,9.19,0.15
2024-04-25,22416122.0,9.19,9.19,9.49,9.1,9.25,0.06
2024-04-26,6515.0,9.45,9.5,9.67,9.27,9.34,-0.11
2024-04-29,18144974.0,9.13,9.15,9.56,9.09,9.25,0.12
2024-04-30,17205569.0,9.25,9.3,9.38,8.31,8.41,-0.84
2024-05-02,3846045.0,8.41,8.5,8.6,8.2,8.27,-0.14
2024-05-03,2384196.0,8.27,8.32,8.5,8.25,8.34,0.07
2024-05-06,3772721.0,8.34,8.49,8.65,8.3,8.48,0.14
2024-05-07,5957080.0,8.48,8.46,8.7,8.37,8.48,0.0
2024-05-08,12400044.0,8.48,8.5,8.91,8.4,8.47,-0.01
2024-05-09,14004075.0,8.47,8.5,9.1,8.5,8.94,0.47
2024-05-10,9639111.0,8.94,9.12,9.19,8.79,8.82,-0.12
2024-05-13,10129085.0,8.82,8.77,9.12,8.77,8.86,0.04
2024-05-14,4578225.0,8.86,8.9,8.94,8.7,8.79,-0.07
2024-05-15,4370546.0,8.79,8.8,8.9,8.61,8.64,-0.15
2024-05-16,2583939.0,8.64,8.66,8.74,8.5,8.54,-0.1
2024-05-17,3123068.0,8.54,8.58,8.8,8.5,8.55,0.01
2024-05-20,5043205.0,8.55,8.55,8.78,8.5,8.54,-0.01
2024-05-21,5391769.0,8.54,8.55,8.75,8.45,8.49,-0.05
2024-05-22,2838535.0,8.49,8.6,8.61,8.3,8.39,-0.1
2024-05-23,2983238.0,8.39,8.47,8.54,8.2,8.4,0.01
2024-05-24,2295755.0,8.4,8.3,8.59,8.3,8.39,-0.01
2024-05-27,1948250.0,8.39,8.31,8.5,8.21,8.35,-0.04
2024-05-29,1983943.0,8.35,8.41,8.5,8.2,8.22,-0.13
2024-05-30,3450133.0,8.22,8.17,8.29,7.92,7.96,-0.26
2024-05-31,3873846.0,7.96,8.0,8.29,7.97,8.08,0.12
2024-06-03,3343113.0,8.08,8.22,8.4,8.12,8.36,0.28
2024-06-04,3431546.0,8.36,8.3,8.44,8.12,8.18,-0.18
2024-06-05,2242440.0,8.18,8.2,8.29,7.9,7.97,-0.21
2024-06-06,3744282.0,7.97,8.06,8.14,7.9,7.98,0.01
2024-06-07,1936877.0,7.98,8.0,8.0,7.52,7.83,-0.15
2024-06-10,556065.0,7.83,7.8,7.99,7.7,7.81,-0.02
2024-06-11,806478.0,7.81,7.9,7.95,7.46,7.55,-0.26
2024-06-12,1094119.0,7.55,7.67,7.85,7.45,7.68,0.13
2024-06-13,1553155.0,7.68,7.69,7.96,7.69,7.9,0.22
2024-06-14,2236417.0,7.9,7.91,8.13,7.82,7.9,0.0
2024-06-20,1092855.0,7.9,7.91,8.0,7.81,7.89,-0.01
2024-06-21,703228.0,7.89,7.83,7.98,7.75,7.86,-0.03
2024-06-24,1049937.0,7.86,7.8,7.81,7.64,7.67,-0.19
2024-06-25,600307.0,7.67,7.74,7.76,7.59,7.61,-0.06
2024-06-26,2301136.0,7.61,7.69,7.74,7.3,7.33,-0.28
2024-06-27,810182.0,7.33,7.32,7.44,7.2,7.3,-0.03
2024-06-28,1765620.0,7.3,7.38,7.4,7.15,7.22,-0.08
2024-07-01,882889.0,7.22,7.38,7.54,7.22,7.41,0.19
2024-07-02,889343.0,7.41,7.41,7.6,7.41,7.59,0.18
2024-07-03,8952519.0,7.59,7.6,8.22,7.6,8.08,0.49
2024-07-04,3592790.0,8.08,8.18,8.3,8.03,8.13,0.05
2024-07-05,2141511.0,8.13,8.15,8.2,7.86,7.92,-0.21
2024-07-08,1297421.0,7.92,7.98,7.98,7.61,7.75,-0.17
2024-07-09,2090396.0,7.75,7.71,8.02,7.71,7.8,0.05
2024-07-10,1157658.0,7.8,7.8,7.91,7.67,7.7,-0.1
2024-07-11,2190275.0,7.7,7.66,7.77,7.36,7.5,-0.2
2024-07-12,1782793.0,7.5,7.5,7.51,7.0,7.4,-0.1
2024-07-15,1831105.0,7.4,7.48,7.69,7.4,7.45,0.05
2024-07-18,6721966.0,7.45,7.6,7.98,7.56,7.76,0.31
2024-07-19,2076368.0,7.76,7.8,7.9,7.4,7.47,-0.29
2024-07-22,2289334.0,7.47,7.51,7.51,7.09,7.11,-0.36
2024-07-23,65.0,7.25,7.36,7.36,7.3,7.3,0.05
2024-07-24,2065798.0,7.22,7.27,7.48,7.18,7.37,0.15
2024-07-25,1619.0,7.51,7.52,7.52,7.3,7.39,-0.12
2024-07-26,1271810.0,7.25,7.21,7.48,7.06,7.12,-0.13
2024-07-29,873574.0,7.12,7.13,7.34,7.13,7.21,0.09
2024-07-30,475170.0,7.21,7.24,7.28,7.11,7.14,-0.07
2024-07-31,1451833.0,7.14,7.21,7.37,7.0,7.06,-0.08
2024-08-01,868893.0,7.06,7.18,7.18,6.97,7.0,-0.06
2024-08-02,2802793.0,7.0,7.14,7.27,7.0,7.04,0.04
2024-08-05,7052053.0,7.04,7.13,7.46,6.99,7.3,0.26
2024-08-06,24537012.0,7.3,7.4,8.19,7.31,7.66,0.36
2024-08-07,3630768.0,7.66,7.65,7.9,7.4,7.5,-0.16
2024-08-08,2900899.0,7.5,7.51,7.56,7.33,7.41,-0.09
2024-08-09,916041.0,7.41,7.31,7.48,7.31,7.39,-0.02
2024-08-12,12439474.0,7.39,7.46,8.14,7.26,7.7,0.31
2024-08-13,7035989.0,7.7,7.8,8.19,7.65,8.11,0.41
2024-08-15,24083042.0,8.11,8.2,8.56,8.15,8.39,0.28
2024-08-16,9523703.0,8.39,8.34,8.4,7.75,7.85,-0.54
2024-08-19,4574936.0,7.85,7.98,7.98,7.45,7.5,-0.35
2024-08-20,3955018.0,7.5,7.59,7.78,7.38,7.6,0.1
2024-08-21,5855632.0,7.6,7.68,7.9,7.65,7.77,0.17
2024-08-22,2352.0,7.85,7.8,7.85,7.68,7.7,-0.15
2024-08-23,1861194.0,7.66,7.65,7.86,7.6,7.66,0.0
2024-08-26,1133195.0,7.66,7.66,7.7,7.48,7.52,-0.14
2024-08-27,2235181.0,7.52,7.5,7.69,7.5,7.58,0.06
2024-08-28,3098120.0,7.58,7.65,7.68,7.37,7.42,-0.16
2024-08-29,2117.0,7.58,7.65,7.65,7.45,7.48,-0.1
2024-08-30,13810.0,7.36,7.39,7.5,7.22,7.33,-0.03
2024-09-02,1469514.0,7.35,7.4,7.49,7.3,7.32,-0.03
2024-09-03,1243949.0,7.32,7.31,7.4,7.26,7.33,0.01
2024-09-04,10807791.0,7.33,7.33,7.9,7.3,7.66,0.33
2024-09-05,1837118.0,7.66,7.68,7.77,7.55,7.62,-0.04
2024-09-06,5312077.0,7.62,7.55,7.88,7.51,7.79,0.17
2024-09-09,11198841.0,7.79,7.79,8.15,7.79,7.93,0.14
2024-09-10,1706142.0,7.93,7.94,7.97,7.52,7.8,-0.13
2024-09-11,3200828.0,7.8,7.8,7.91,7.61,7.68,-0.12
2024-09-12,6088403.0,7.68,7.71,8.08,7.7,8.03,0.35
2024-09-13,5704665.0,8.03,8.2,8.29,7.75,7.83,-0.2
2024-09-16,926826.0,7.83,7.85,7.86,7.62,7.7,-0.13
2024-09-18,1573907.0,7.7,7.8,7.8,7.5,7.72,0.02
2024-09-19,1973320.0,7.72,7.7,7.76,7.48,7.5,-0.22
2024-09-20,1859720.0,7.5,7.58,7.58,7.36,7.42,-0.08
2024-09-23,5964846.0,7.42,7.42,7.51,7.15,7.24,-0.18
2024-09-24,692562.0,7.24,7.24,7.35,7.18,7.23,-0.01
2024-09-25,1642340.0,7.23,7.22,7.4,7.22,7.32,0.09
2024-09-26,1626074.0,7.32,7.58,7.58,7.2,7.24,-0.08
2024-09-27,3776164.0,7.24,7.27,7.27,7.01,7.06,-0.18
2024-09-30,1567659.0,7.06,7.07,7.17,6.95,7.03,-0.03
2024-10-01,1379179.0,7.03,7.03,7.15,7.03,7.11,0.08
2024-10-02,1492618.0,7.11,7.1,7.16,7.0,7.04,-0.07
2024-10-03,2642246.0,7.04,7.14,7.14,6.95,6.97,-0.07
2024-10-04,944069.0,6.97,6.97,7.06,6.94,7.02,0.05
2024-10-07,1065117.0,7.02,7.0,7.13,6.94,7.09,0.07
2024-10-08,2959339.0,7.09,7.06,7.26,7.03,7.11,0.02
2024-10-09,4904599.0,7.11,7.24,7.26,7.09,7.16,0.05
2024-10-10,3557421.0,7.16,7.19,7.25,7.04,7.07,-0.09
2024-10-11,1622182.0,7.07,7.03,7.11,6.82,6.96,-0.11
2024-10-14,2681877.0,6.96,6.96,7.11,6.75,6.87,-0.09
2024-10-15,2737118.0,6.87,6.71,6.94,6.7,6.91,0.04
2024-10-16,4254416.0,6.91,6.8,7.06,6.8,6.92,0.01
2024-10-17,1573816.0,6.92,6.99,7.06,6.85,7.0,0.08
2024-10-18,910983.0,7.0,7.0,7.03,6.89,6.91,-0.09
2024-10-21,1713970.0,6.91,6.91,7.02,6.9,6.99,0.08
2024-10-22,1465766.0,6.99,7.03,7.05,6.98,7.03,0.04
2024-10-23,15382424.0,7.03,7.02,7.55,6.91,7.44,0.41
2024-10-24,14258877.0,7.44,7.55,7.69,7.39,7.47,0.03
2024-10-25,8110822.0,7.47,7.41,7.61,7.01,7.1,-0.37
2024-10-28,3369627.0,7.1,7.14,7.3,7.0,7.05,-0.05
2024-10-29,3260130.0,7.05,7.05,7.1,6.9,6.94,-0.11
2024-10-30,3274504.0,6.94,7.02,7.24,6.9,6.99,0.05
2024-10-31,8168958.0,6.99,6.99,7.18,6.9,7.13,0.14
2024-11-01,2987709.0,7.13,7.14,7.14,6.95,7.04,-0.09
2024-11-04,12684032.0,7.04,7.04,7.35,7.01,7.23,0.19
2024-11-05,2806168.0,7.23,7.3,7.34,7.02,7.19,-0.04
2024-11-06,10820924.0,7.19,7.28,7.42,7.0,7.21,0.02
2024-11-07,7164702.0,7.21,7.34,7.42,7.25,7.29,0.08
2024-11-08,3509565.0,7.29,7.4,7.44,7.21,7.24,-0.05
2024-11-11,8685390.0,7.24,7.3,7.53,7.27,7.37,0.13
2024-11-12,11823390.0,7.37,7.5,7.61,7.2,7.39,0.02
2024-11-13,18808385.0,7.39,7.4,7.85,7.38,7.71,0.32
2024-11-14,29162423.0,7.71,7.79,8.15,7.72,7.96,0.25
2024-11-15,8903315.0,7.96,8.1,8.11,7.62,7.67,-0.29
2024-11-18,4495832.0,7.67,7.67,7.74,7.54,7.57,-0.1
2024-11-19,9647266.0,7.57,7.65,7.97,7.6,7.9,0.33
2024-11-20,36937252.0,7.9,8.08,8.5,8.05,8.23,0.33
2024-11-21,22295781.0,8.23,8.3,8.65,8.07,8.31,0.08
2024-11-22,8786825.0,8.31,8.35,8.46,7.79,7.86,-0.45
2024-11-25,4230411.0,7.86,7.55,7.85,7.42,7.76,-0.1
2024-11-26,7682648.0,7.76,7.8,7.8,7.13,7.22,-0.54
2024-11-27,7542497.0,7.22,7.5,7.68,7.37,7.59,0.37
2024-11-28,10831531.0,7.59,7.61,8.07,7.61,7.99,0.4
2024-11-29,7659910.0,7.99,8.03,8.15,7.79,7.84,-0.15
2024-12-02,15589323.0,7.84,7.89,8.3,7.89,8.21,0.37
2024-12-03,17215708.0,8.21,8.35,8.48,8.01,8.27,0.06
2024-12-04,27743994.0,8.27,8.35,8.64,8.25,8.45,0.18
2024-12-05,15648067.0,8.45,8.55,8.65,8.41,8.51,0.06
2024-12-06,45317621.0,8.51,8.54,9.24,8.53,8.9,0.39
2024-12-09,53532581.0,8.9,9.2,9.9,9.02,9.9,1.0
2024-12-10,64202370.0,9.9,10.2,10.32,9.2,9.42,-0.48
2024-12-11,19873250.0,9.42,9.62,9.89,9.6,9.69,0.27
2024-12-12,20340207.0,9.69,9.88,10.06,9.61,9.88,0.19
2024-12-13,10993878.0,9.88,9.97,10.06,9.4,9.63,-0.25
2024-12-16,10566989.0,9.63,9.7,9.79,9.3,9.41,-0.22
2024-12-17,10086998.0,9.41,9.49,9.6,9.13,9.23,-0.18
2024-12-18,15900369.0,9.23,9.3,9.6,8.9,9.02,-0.21
2024-12-19,14548089.0,9.02,8.8,9.25,8.11,8.22,-0.8
2024-12-20,6578086.0,8.22,8.22,8.37,7.81,8.3,0.08
2024-12-23,9531785.0,8.3,8.49,8.92,8.35,8.74,0.44
2024-12-24,3911771.0,8.74,8.9,8.91,8.4,8.45,-0.29
2024-12-26,3443542.0,8.45,8.42,8.52,8.3,8.39,-0.06
2024-12-27,10862110.0,8.39,8.48,8.75,8.3,8.63,0.24
2024-12-30,26616811.0,8.63,8.68,9.63,8.68,9.63,1.0
2024-12-31,34631623.0,9.63,9.88,10.18,9.63,9.7,0.07
2025-01-01,14121374.0,9.7,9.75,10.05,9.51,9.78,0.08
2025-01-02,61073411.0,9.78,9.75,10.78,9.75,10.52,0.74
2025-01-03,23616641.0,10.52,10.51,10.68,10.01,10.15,-0.37
2025-01-06,16384975.0,10.15,10.15,10.15,9.35,9.44,-0.71
2025-01-07,9544667.0,9.44,9.4,9.49,8.9,9.24,-0.2
2025-01-08,6739056.0,9.24,9.37,9.54,8.9,9.0,-0.24
2025-01-09,13170256.0,9.0,8.94,9.4,8.6,8.73,-0.27
2025-01-10,4826802.0,8.73,8.73,8.83,8.5,8.66,-0.07
2025-01-13,14985642.0,8.66,8.62,9.34,8.62,9.12,0.46
2025-01-14,19836175.0,9.12,9.19,9.81,9.12,9.54,0.42
2025-01-15,10794567.0,9.54,9.6,9.66,9.21,9.26,-0.28
2025-01-16,4123538.0,9.26,9.01,9.27,9.01,9.11,-0.15
2025-01-17,3871555.0,9.11,9.15,9.29,9.0,9.14,0.03
2025-01-20,7439086.0,9.14,9.25,9.35,9.09,9.12,-0.02
2025-01-21,5929384.0,9.12,9.13,9.26,8.8,8.91,-0.21
2025-01-22,4545515.0,8.91,8.9,8.96,8.6,8.76,-0.15
2025-01-23,3242593.0,8.76,8.79,8.95,8.69,8.84,0.08
2025-01-24,2979036.0,8.84,9.0,9.06,8.81,8.87,0.03
2025-01-27,2456935.0,8.87,8.95,8.97,8.6,8.64,-0.23
