Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,464306.0,99.72,100.0,104.5,100.0,104.19,4.47
2024-01-02,105032.0,104.19,104.88,104.88,101.25,102.25,-1.94
2024-01-03,186544.0,102.25,102.12,104.0,101.0,101.59,-0.66
2024-01-04,91113.0,101.59,101.1,101.98,100.0,100.48,-1.11
2024-01-05,235410.0,100.48,100.12,101.49,98.9,99.11,-1.37
2024-01-08,369999.0,99.11,100.0,102.0,99.5,100.03,0.92
2024-01-09,352531.0,100.03,101.0,104.0,100.3,101.06,1.03
2024-01-10,129980.0,101.06,101.56,102.0,99.5,100.1,-0.96
2024-01-11,89366.0,100.1,100.9,101.0,99.3,100.45,0.35
2024-01-12,325166.0,100.45,101.5,102.6,98.3,99.41,-1.04
2024-01-15,60599.0,99.41,100.83,100.95,98.5,99.33,-0.08
2024-01-16,101509.0,99.33,99.0,99.01,96.86,97.57,-1.76
2024-01-17,81610.0,97.57,98.5,98.99,95.0,95.74,-1.83
2024-01-18,167120.0,95.74,95.5,95.5,92.01,94.46,-1.28
2024-01-19,486470.0,94.46,94.51,101.48,94.51,98.28,3.82
2024-01-22,75604.0,98.28,98.9,98.9,97.1,97.84,-0.44
2024-01-23,173.0,99.84,98.8,99.8,98.8,99.0,-0.84
2024-01-24,132542.0,96.96,98.0,98.8,96.5,96.74,-0.22
2024-01-25,280215.0,96.74,97.47,97.95,95.06,96.25,-0.49
2024-01-26,200729.0,96.25,96.96,97.0,95.25,96.16,-0.09
2024-01-29,193296.0,96.16,96.11,96.11,94.0,94.56,-1.6
2024-01-30,74041.0,94.56,95.8,95.88,90.51,91.8,-2.76
2024-01-31,63166.0,91.8,92.51,97.51,92.11,92.33,0.53
2024-02-01,58992.0,92.33,92.97,93.85,92.01,93.22,0.89
2024-02-02,49514.0,93.22,93.0,94.4,92.0,92.83,-0.39
2024-02-06,108580.0,92.83,94.15,95.75,92.39,93.62,0.79
2024-02-07,55973.0,93.62,94.5,94.6,93.0,93.05,-0.57
2024-02-09,172692.0,93.05,93.2,93.2,88.5,90.79,-2.26
2024-02-12,184383.0,90.79,89.25,91.54,89.0,89.72,-1.07
2024-02-13,79129.0,89.72,89.72,91.1,88.13,90.57,0.85
2024-02-14,216810.0,90.57,91.99,94.9,91.99,93.22,2.65
2024-02-15,71512.0,93.22,92.75,93.34,89.8,89.96,-3.26
2024-02-16,159850.0,89.96,91.44,91.44,87.0,87.89,-2.07
2024-02-19,112250.0,87.89,87.5,89.0,85.06,88.5,0.61
2024-02-20,66593.0,88.5,89.0,91.0,88.1,88.42,-0.08
2024-02-21,117610.0,88.42,90.06,91.84,89.75,90.38,1.96
2024-02-22,277200.0,90.38,91.1,94.21,90.5,92.77,2.39
2024-02-23,31.0,94.5,97.6,99.0,95.94,99.0,4.5
2024-02-26,925642.0,95.17,98.0,102.31,98.0,102.31,7.14
2024-02-27,1077797.0,102.31,105.03,106.0,99.7,100.74,-1.57
2024-02-28,848690.0,100.74,100.84,101.5,98.0,99.19,-1.55
2024-02-29,927777.0,99.19,99.99,101.99,99.0,99.33,0.14
2024-03-01,465656.0,99.33,99.35,102.8,99.2,101.68,2.35
2024-03-04,410602.0,101.68,102.05,102.5,99.55,100.33,-1.35
2024-03-05,544460.0,100.33,100.13,102.48,100.0,100.84,0.51
2024-03-06,222369.0,100.84,101.06,101.99,99.5,100.17,-0.67
2024-03-07,178778.0,100.17,100.49,100.92,99.0,100.05,-0.12
2024-03-08,324911.0,100.05,100.0,100.45,99.05,99.82,-0.23
2024-03-11,1083892.0,99.82,100.49,104.94,99.22,102.55,2.73
2024-03-12,383342.0,102.55,102.55,103.3,100.02,100.49,-2.06
2024-03-13,296827.0,100.49,100.4,101.2,98.56,99.01,-1.48
2024-03-14,402981.0,99.01,98.56,101.0,98.56,100.09,1.08
2024-03-15,203563.0,100.09,101.77,102.0,99.5,99.87,-0.22
2024-03-18,146968.0,99.87,99.6,100.0,99.01,99.36,-0.51
2024-03-19,183771.0,99.36,99.02,99.82,98.05,99.06,-0.3
2024-03-20,1466661.0,99.06,99.49,104.9,99.49,103.79,4.73
2024-03-21,1146130.0,103.79,104.99,109.35,102.5,103.06,-0.73
2024-03-22,223555.0,103.06,103.25,104.0,101.35,101.82,-1.24
2024-03-25,91505.0,101.82,101.89,102.0,100.6,101.13,-0.69
2024-03-26,746.0,102.0,95.11,103.9,95.11,103.27,1.27
2024-03-27,233178.0,103.14,103.5,104.1,102.75,103.51,0.37
2024-03-28,322960.0,103.51,104.1,106.0,103.0,105.71,2.2
2024-03-29,976373.0,105.71,106.3,110.0,106.0,107.56,1.85
2024-04-01,186963.0,107.56,107.55,108.44,106.01,106.38,-1.18
2024-04-02,117121.0,106.38,106.5,107.0,105.11,105.44,-0.94
2024-04-03,256281.0,105.44,105.56,109.5,105.56,107.24,1.8
2024-04-04,198068.0,107.24,109.0,109.74,107.0,108.2,0.96
2024-04-08,183234.0,108.2,109.5,110.0,108.0,109.74,1.54
2024-04-09,464574.0,109.74,109.75,111.99,109.5,110.08,0.34
2024-04-15,220112.0,110.08,110.0,110.0,107.82,108.07,-2.01
2024-04-16,338551.0,108.07,108.5,109.39,106.5,106.88,-1.19
2024-04-17,127447.0,106.88,107.15,107.5,105.5,105.84,-1.04
2024-04-18,402237.0,105.84,106.0,109.0,105.9,107.25,1.41
2024-04-19,1425955.0,107.25,108.88,114.7,106.7,109.61,2.36
2024-04-22,103.0,110.54,110.0,111.5,109.61,110.02,-0.52
2024-04-23,1499455.0,109.64,109.06,117.86,109.06,117.86,8.22
2024-04-24,1547772.0,117.86,120.0,125.44,120.0,124.55,6.69
2024-04-25,1033981.0,124.55,126.44,127.0,119.0,122.14,-2.41
2024-04-26,403228.0,122.14,122.14,124.5,119.05,120.05,-2.09
2024-04-29,797199.0,120.05,116.0,117.74,112.0,112.55,-7.5
2024-04-30,427580.0,112.55,112.0,113.99,107.71,109.43,-3.12
2024-05-02,244863.0,109.43,107.51,112.47,107.51,110.06,0.63
2024-05-03,195247.0,110.06,110.97,113.5,110.07,112.63,2.57
2024-05-06,485744.0,112.63,113.0,116.5,113.0,115.11,2.48
2024-05-07,420788.0,115.11,115.98,116.0,111.9,112.29,-2.82
2024-05-08,749248.0,112.29,113.0,113.5,107.0,108.43,-3.86
2024-05-09,314725.0,108.43,109.51,112.57,108.61,111.3,2.87
2024-05-10,374075.0,111.3,111.99,113.48,109.9,110.27,-1.03
2024-05-13,567218.0,110.27,110.98,115.9,110.25,113.32,3.05
2024-05-14,268794.0,113.32,114.44,115.0,113.0,114.57,1.25
2024-05-15,269782.0,114.57,115.0,116.5,112.86,113.31,-1.26
2024-05-16,163185.0,113.31,113.0,114.0,111.95,113.22,-0.09
2024-05-17,110588.0,113.22,113.02,114.5,113.02,114.18,0.96
2024-05-20,134757.0,114.18,114.5,114.99,112.55,113.31,-0.87
2024-05-21,637553.0,113.31,113.5,119.0,113.5,115.65,2.34
2024-05-22,128989.0,115.65,116.0,116.3,113.51,114.29,-1.36
2024-05-23,105896.0,114.29,113.6,114.5,113.25,113.88,-0.41
2024-05-24,263000.0,113.88,114.0,115.5,114.0,115.08,1.2
2024-05-27,85327.0,115.08,114.55,115.0,113.9,113.99,-1.09
2024-05-29,206470.0,113.99,114.0,114.0,111.06,112.04,-1.95
2024-05-30,137684.0,112.04,112.47,114.0,111.15,113.2,1.16
2024-05-31,21.0,114.1,108.1,117.49,108.1,114.7,0.6
2024-06-03,318348.0,112.85,112.78,112.8,111.4,112.05,-0.8
2024-06-04,575678.0,112.05,112.95,113.99,111.5,111.9,-0.15
2024-06-05,414721.0,111.9,112.49,112.49,108.0,108.67,-3.23
2024-06-06,264791.0,108.67,109.0,109.9,106.5,107.19,-1.48
2024-06-07,481340.0,107.19,106.96,107.5,104.5,106.11,-1.08
2024-06-10,432744.0,106.11,106.01,106.05,104.8,105.72,-0.39
2024-06-11,484447.0,105.72,106.39,108.5,105.5,107.81,2.09
2024-06-12,183846.0,107.81,107.05,109.77,107.05,109.02,1.21
2024-06-13,1911090.0,109.02,111.5,118.29,111.1,118.29,9.27
2024-06-14,807337.0,118.29,120.5,121.47,113.0,113.64,-4.65
2024-06-20,456715.0,113.64,114.0,116.5,113.66,114.62,0.98
2024-06-21,341110.0,114.62,114.7,116.5,113.1,115.37,0.75
