Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3125000.0,18.14,18.49,19.5,18.0,19.5,1.36
2024-01-02,4541500.0,19.5,20.23,20.96,19.56,20.1,0.6
2024-01-03,565500.0,20.1,20.25,20.3,19.71,20.01,-0.09
2024-01-04,128000.0,20.01,19.6,20.0,19.1,19.18,-0.83
2024-01-05,519000.0,19.18,19.83,19.85,18.9,19.35,0.17
2024-01-08,113500.0,19.35,19.15,19.39,18.86,19.24,-0.11
2024-01-09,727500.0,19.24,19.5,19.59,17.8,19.44,0.2
2024-01-10,143000.0,19.44,18.92,19.57,18.65,19.56,0.12
2024-01-11,157500.0,19.56,19.48,19.95,19.4,19.85,0.29
2024-01-12,223500.0,19.85,19.5,19.73,19.11,19.47,-0.38
2024-01-15,209000.0,19.47,19.76,19.76,19.11,19.46,-0.01
2024-01-16,159000.0,19.46,19.01,19.4,18.26,19.05,-0.41
2024-01-17,96500.0,19.05,18.72,19.2,18.55,19.04,-0.01
2024-01-18,236500.0,19.04,18.72,18.72,18.3,18.59,-0.45
2024-01-19,100500.0,18.59,18.5,18.99,18.05,18.44,-0.15
2024-01-22,376000.0,18.44,18.3,18.65,18.0,18.49,0.05
2024-01-23,60000.0,18.49,18.0,18.5,18.0,18.44,-0.05
2024-01-24,242500.0,18.44,18.5,18.69,17.52,18.5,0.06
2024-01-25,16000.0,18.5,18.49,19.5,18.26,18.7,0.2
2024-01-26,63500.0,18.7,18.2,18.99,18.11,18.38,-0.32
2024-01-29,55500.0,18.38,18.38,18.44,18.0,18.32,-0.06
2024-01-30,93500.0,18.32,18.02,18.5,17.83,18.29,-0.03
2024-01-31,16500.0,18.29,18.11,18.4,18.01,18.36,0.07
2024-02-01,24500.0,18.36,18.02,18.89,17.03,18.5,0.14
2024-02-02,140500.0,18.5,18.4,18.87,18.25,18.7,0.2
2024-02-06,279000.0,18.7,18.35,18.94,18.35,18.87,0.17
2024-02-07,69000.0,18.87,18.81,18.98,18.65,18.86,-0.01
2024-02-09,67000.0,18.86,17.71,19.0,17.71,18.98,0.12
2024-02-12,125500.0,18.98,18.3,18.69,17.56,18.46,-0.52
2024-02-13,41500.0,18.46,18.33,18.75,18.0,18.7,0.24
2024-02-14,93500.0,18.7,18.26,19.0,18.26,18.88,0.18
2024-02-15,4500.0,18.88,18.88,18.88,18.32,18.7,-0.18
2024-02-16,173500.0,18.7,18.25,19.0,17.8,18.8,0.1
2024-02-19,88500.0,18.8,18.1,18.84,18.1,18.79,-0.01
2024-02-20,53500.0,18.79,18.5,18.88,18.41,18.81,0.02
2024-02-21,43000.0,18.81,18.3,18.69,18.3,18.68,-0.13
2024-02-22,7000.0,18.68,18.5,18.7,18.4,18.54,-0.14
2024-02-23,71500.0,18.54,19.5,19.5,18.75,18.9,0.36
2024-02-26,78000.0,18.9,19.25,19.3,18.7,18.85,-0.05
2024-02-27,29000.0,18.85,18.95,18.95,18.1,18.79,-0.06
2024-02-28,225500.0,18.79,18.32,19.15,18.32,18.96,0.17
2024-02-29,1395500.0,18.96,18.82,19.35,18.75,19.11,0.15
2024-03-01,118500.0,19.11,18.42,19.2,18.42,19.06,-0.05
2024-03-04,68500.0,19.06,18.56,19.29,18.56,19.24,0.18
2024-03-05,81000.0,19.24,18.62,19.15,18.6,18.97,-0.27
2024-03-06,397000.0,18.97,19.39,19.55,19.0,19.38,0.41
2024-03-07,255500.0,19.38,19.65,19.65,19.25,19.25,-0.13
2024-03-08,35500.0,19.25,19.65,19.65,19.02,19.43,0.18
2024-03-11,34500.0,19.43,19.55,19.55,19.11,19.38,-0.05
2024-03-12,67500.0,19.38,19.15,19.4,19.0,19.34,-0.04
2024-03-13,164500.0,19.34,19.44,19.45,18.12,19.01,-0.33
2024-03-14,68500.0,19.01,18.3,19.45,18.3,19.26,0.25
2024-03-15,117000.0,19.26,19.1,19.35,18.26,19.11,-0.15
2024-03-18,28500.0,19.11,18.9,19.4,18.9,19.2,0.09
2024-03-19,176000.0,19.2,19.0,19.8,19.0,19.58,0.38
2024-03-20,500.0,19.58,19.8,19.8,19.8,19.8,0.22
2024-03-21,45000.0,19.8,19.26,19.8,19.2,19.7,-0.1
2024-03-22,415500.0,19.7,19.27,20.0,19.0,19.87,0.17
2024-03-25,76500.0,19.87,19.52,20.0,19.32,19.94,0.07
2024-03-26,130000.0,19.94,19.31,20.2,19.31,19.89,-0.05
