Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1100.0,273.29,274.99,287.0,274.99,287.0,13.71
2024-01-02,500.0,287.0,287.0,287.0,277.51,281.95,-5.05
2024-01-04,3300.0,281.95,282.3,303.1,282.3,302.0,20.05
2024-01-05,1400.0,302.0,307.49,309.99,295.01,301.24,-0.76
2024-01-09,500.0,301.24,304.95,304.99,304.95,304.99,3.75
2024-01-10,200.0,304.99,300.01,300.01,297.51,297.51,-7.48
2024-01-11,900.0,297.51,295.01,295.01,290.0,290.0,-7.51
2024-01-12,100.0,290.0,294.99,294.99,294.99,294.99,4.99
2024-01-15,100.0,294.99,297.49,297.49,297.49,297.49,2.5
2024-01-16,200.0,297.49,292.51,297.39,292.51,297.39,-0.1
2024-01-17,200.0,292.39,292.39,296.99,292.39,296.99,4.6
2024-01-18,200.0,296.99,290.01,294.98,290.01,294.98,-2.01
2024-01-29,200.0,294.98,293.0,294.99,293.0,294.0,-0.98
2024-01-30,300.0,294.0,290.01,290.01,287.5,287.5,-6.5
2024-02-12,300.0,287.5,285.01,285.01,280.01,280.01,-7.49
2024-02-13,100.0,280.01,277.51,277.51,277.51,277.51,-2.5
2024-02-16,100.0,277.51,275.01,275.01,275.01,275.01,-2.5
2024-03-08,400.0,275.01,272.51,272.51,270.0,270.0,-5.01
2024-03-13,200.0,270.0,267.51,267.51,265.01,265.01,-4.99
2024-03-15,1000.0,265.01,263.0,263.0,252.0,254.81,-10.2
2024-03-19,500.0,254.81,235.71,259.99,235.71,259.99,5.18
2024-03-21,100.0,259.99,258.0,258.0,258.0,258.0,-1.99
2024-03-22,100.0,258.0,262.49,262.49,262.49,262.49,4.49
2024-03-26,500.0,262.49,260.0,260.0,260.0,260.0,-2.49
2024-04-09,100.0,260.0,264.99,264.99,264.99,264.99,4.99
2024-04-17,100.0,264.99,266.0,266.0,266.0,266.0,1.01
2024-04-22,9.0,266.0,260.01,267.49,260.01,266.0,0.0
2024-04-24,100.0,266.0,265.0,265.0,260.01,260.36,-5.64
2024-04-25,1.0,260.36,264.99,264.99,264.99,260.36,0.0
2024-04-29,71.0,260.36,264.99,264.99,264.99,260.36,0.0
2024-04-30,10.0,260.36,264.99,264.99,264.99,260.36,0.0
2024-05-02,15.0,260.36,267.49,267.49,266.5,260.36,0.0
2024-05-03,14.0,260.36,266.0,266.5,265.0,260.36,0.0
2024-05-06,1553.0,260.36,267.49,277.25,262.5,277.25,16.89
2024-05-09,31.0,277.25,270.01,277.49,270.01,277.25,0.0
2024-05-10,6.0,277.25,270.01,274.95,270.01,277.25,0.0
2024-05-13,198.0,277.25,274.99,279.99,274.99,278.04,0.79
2024-05-16,1522.0,278.04,275.01,285.0,275.01,284.99,6.95
2024-05-20,3.0,284.99,280.01,285.35,280.01,284.99,0.0
2024-05-21,300.0,284.99,280.01,280.01,280.0,280.0,-4.99
2024-05-22,319.0,280.0,277.51,280.0,275.01,279.99,-0.01
2024-05-23,300.0,279.99,282.49,285.0,282.49,284.17,4.18
2024-05-24,1483.0,284.17,287.49,305.48,287.49,304.31,20.14
2024-05-27,211.0,304.31,304.32,304.32,299.01,299.59,-4.72
2024-05-29,351.0,299.59,299.01,300.0,298.01,300.0,0.41
2024-05-30,1140.0,300.0,304.68,310.0,304.51,304.77,4.77
2024-05-31,296.0,304.77,300.01,310.0,300.01,303.6,-1.17
2024-06-03,1724.0,303.6,300.01,306.87,299.01,299.01,-4.59
2024-06-04,572.0,299.01,298.01,300.0,297.01,300.0,0.99
2024-06-05,2.0,300.0,301.99,301.99,300.0,300.0,0.0
2024-06-06,216.0,300.0,301.99,301.99,295.01,295.51,-4.49
2024-06-07,100.0,295.51,294.01,294.01,294.01,294.01,-1.5
2024-06-10,500.0,294.01,293.01,293.01,289.01,290.49,-3.52
2024-06-11,900.0,290.49,288.01,288.01,280.01,280.01,-10.48
2024-06-13,190.0,280.01,280.0,280.0,280.0,280.0,-0.01
2024-06-14,12.0,280.0,0.0,0.0,0.0,280.0,0.0
2024-06-20,700.0,280.0,280.09,284.99,280.09,283.19,3.19
2024-06-21,101.0,283.19,285.99,285.99,285.99,283.19,0.0
2024-06-24,10.0,283.19,0.0,0.0,0.0,283.19,0.0
2024-06-25,10.0,283.19,278.0,278.0,278.0,283.19,0.0
2024-06-26,186.0,283.19,280.0,280.0,278.0,278.74,-4.45
2024-06-27,150.0,278.74,0.0,0.0,0.0,278.74,0.0
2024-06-28,100.0,278.74,278.0,278.0,278.0,278.0,-0.74
2024-07-02,200.0,278.0,280.0,280.0,280.0,280.0,2.0
2024-07-03,104.0,280.0,284.9,285.99,284.5,285.99,5.99
2024-07-04,1609.0,285.99,285.0,290.0,285.0,290.0,4.01
2024-07-05,3625.0,290.0,290.0,300.99,290.0,294.61,4.61
2024-07-08,5.0,294.61,290.0,290.0,290.0,294.61,0.0
2024-07-09,1100.0,294.61,292.01,295.0,290.0,295.0,0.39
2024-07-10,200.0,295.0,290.01,290.01,290.0,290.0,5.0
2024-07-18,50.0,290.0,289.01,289.01,289.01,290.0,0.0
2024-07-22,3450.0,290.0,289.01,289.01,275.0,275.01,-14.99
2024-07-23,125.0,275.01,274.02,274.02,273.01,273.83,-1.18
2024-07-24,2110.0,273.83,273.01,273.01,259.0,259.81,-14.02
2024-07-25,872.0,259.81,263.99,263.99,259.0,259.61,-0.2
2024-07-26,722.0,259.61,259.01,259.11,259.0,259.0,-0.61
2024-07-29,388.0,259.0,258.01,258.01,258.0,258.0,1.0
2024-07-30,5601.0,258.0,258.0,258.01,257.0,257.32,-0.68
2024-07-31,600.0,257.32,257.0,257.0,256.01,256.01,-1.31
2024-08-01,5.0,256.01,256.01,256.01,256.01,256.01,0.0
2024-08-02,2500.0,256.01,255.01,255.01,250.0,250.57,-5.44
2024-08-05,100.0,250.57,254.99,254.99,254.99,254.99,4.42
