Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2366000.0,21.72,22.15,23.35,22.0,23.35,1.63
2024-01-02,4507500.0,23.35,24.49,24.72,23.63,23.78,0.43
2024-01-03,1458000.0,23.78,23.99,24.14,23.3,23.35,-0.43
2024-01-04,857000.0,23.35,23.35,23.4,22.75,22.9,-0.45
2024-01-05,1536000.0,22.9,22.9,23.6,22.5,22.93,0.03
2024-01-08,476000.0,22.93,22.8,23.25,22.51,22.56,-0.37
2024-01-09,949000.0,22.56,22.65,23.1,22.1,22.31,-0.25
2024-01-10,529000.0,22.31,22.49,22.65,21.99,22.09,-0.22
2024-01-11,476000.0,22.09,22.35,22.35,22.0,22.09,0.0
2024-01-12,545500.0,22.09,22.15,22.38,21.81,21.88,-0.21
2024-01-15,278500.0,21.88,22.05,22.18,21.6,21.63,-0.25
2024-01-16,265500.0,21.63,21.55,21.6,21.11,21.29,-0.34
2024-01-17,581000.0,21.29,21.39,21.5,20.51,21.01,-0.28
2024-01-18,367000.0,21.01,20.85,21.07,20.51,20.87,-0.14
2024-01-19,174500.0,20.87,20.62,21.13,20.62,20.86,-0.01
2024-01-22,199500.0,20.86,20.62,21.34,20.52,20.85,-0.01
2024-01-23,245500.0,20.85,20.85,21.25,20.65,21.13,0.28
2024-01-24,310000.0,21.13,21.2,21.37,21.02,21.05,-0.08
2024-01-25,337500.0,21.05,21.06,21.3,20.82,20.89,-0.16
2024-01-26,368000.0,20.89,21.0,21.0,20.4,20.59,-0.3
2024-01-29,157000.0,20.59,20.56,20.94,20.5,20.55,-0.04
2024-01-30,227000.0,20.55,20.56,20.7,20.01,20.11,-0.44
2024-01-31,544500.0,20.11,20.19,20.5,19.5,19.83,-0.28
2024-02-01,212500.0,19.83,19.62,20.1,19.62,19.81,-0.02
2024-02-02,200500.0,19.81,20.19,20.3,19.82,19.98,0.17
2024-02-06,444000.0,19.98,20.29,20.29,19.81,20.0,0.02
2024-02-07,667000.0,20.0,20.18,20.47,19.96,20.38,0.38
2024-02-09,153500.0,20.38,20.06,20.14,19.32,19.93,-0.45
2024-02-12,375500.0,19.93,19.8,19.98,19.0,19.07,-0.86
2024-02-13,566000.0,19.07,19.13,19.25,18.6,18.92,-0.15
2024-02-14,365500.0,18.92,19.47,19.59,19.21,19.33,0.41
2024-02-15,336000.0,19.33,19.6,19.63,18.99,19.06,-0.27
2024-02-16,210500.0,19.06,18.85,19.28,18.68,18.96,-0.1
2024-02-19,449000.0,18.96,19.16,19.5,18.7,19.46,0.5
2024-02-20,232000.0,19.46,19.7,19.7,19.17,19.24,-0.22
2024-02-21,401.0,19.75,19.95,19.95,19.9,19.9,0.15
2024-02-22,218000.0,19.43,19.45,19.7,19.4,19.44,0.01
2024-02-23,268500.0,19.44,19.57,19.57,19.3,19.37,-0.07
2024-02-26,877000.0,19.37,19.3,20.25,19.3,20.05,0.68
2024-02-27,862500.0,20.05,20.1,20.5,19.73,19.84,-0.21
2024-02-28,624000.0,19.84,19.8,20.5,19.8,20.31,0.47
2024-02-29,1206500.0,20.31,20.4,21.18,20.32,20.44,0.13
