Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-02-12,1725111.0,6.95,6.5,6.5,5.95,5.95,1.0
2025-02-13,2821942.0,5.95,5.41,5.68,4.95,5.34,-0.61
2025-02-14,1679793.0,5.34,5.34,5.7,5.16,5.24,-0.1
2025-02-17,646187.0,5.24,5.12,5.25,4.9,4.92,-0.32
2025-02-18,477335.0,4.92,4.55,4.86,4.53,4.6,-0.32
2025-02-19,206754.0,4.6,4.61,4.7,4.5,4.6,0.0
2025-02-20,523501.0,4.6,4.65,4.65,4.13,4.21,-0.39
2025-02-21,3586940.0,4.21,4.21,5.21,4.21,4.78,0.57
2025-02-24,1571906.0,4.78,4.98,5.16,4.71,5.07,0.29
2025-02-25,724286.0,5.07,5.01,5.44,5.0,5.07,0.0
2025-02-26,533742.0,5.07,5.1,5.19,4.95,5.01,-0.06
2025-02-27,617731.0,5.01,5.05,5.3,4.95,5.09,0.08
2025-02-28,3215833.0,5.09,5.12,5.8,4.52,4.88,-0.21
2025-03-03,1157106.0,4.88,4.7,4.8,3.88,3.88,1.0
2025-03-04,2285988.0,3.88,3.51,3.8,2.91,3.02,-0.86
2025-03-05,2912927.0,3.02,3.02,3.5,2.81,2.93,-0.09
2025-03-06,9196889.0,2.93,2.81,3.93,2.72,3.81,0.88
