Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10600.0,190.61,192.9,193.81,191.05,192.26,1.65
2024-01-02,18300.0,192.26,194.5,194.6,191.0,191.04,-1.22
2024-01-03,15500.0,191.04,191.98,194.5,190.0,193.42,2.38
2024-01-04,13000.0,193.42,191.0,193.99,190.26,191.41,-2.01
2024-01-05,20000.0,191.41,191.1,193.98,191.0,191.18,-0.23
2024-01-08,10300.0,191.18,192.0,193.0,190.12,191.0,-0.18
2024-01-09,6300.0,191.0,190.13,190.13,190.01,190.03,-0.97
2024-01-10,6600.0,190.03,190.52,192.95,188.5,190.11,0.08
2024-01-11,8200.0,190.11,191.05,191.05,188.01,189.24,-0.87
2024-01-12,11900.0,189.24,190.0,190.0,185.11,187.0,-2.24
2024-01-15,9500.0,187.0,187.0,187.0,182.0,183.22,-3.78
2024-01-16,21400.0,183.22,182.01,184.0,174.8,181.64,-1.58
2024-01-17,4000.0,181.64,182.95,182.95,177.01,177.62,-4.02
2024-01-18,10200.0,177.62,177.5,178.9,170.0,176.08,-1.54
2024-01-19,10900.0,176.08,178.99,184.98,178.99,181.63,5.55
2024-01-22,3200.0,181.63,180.1,180.1,178.0,179.0,-2.63
2024-01-23,70900.0,179.0,180.99,192.0,180.99,189.48,10.48
2024-01-24,18600.0,189.48,188.01,188.01,185.0,185.31,-4.17
2024-01-25,8200.0,185.31,184.5,185.0,181.55,181.84,-3.47
2024-01-26,9000.0,181.84,180.02,182.0,179.02,181.5,-0.34
2024-01-29,9300.0,181.5,180.0,180.5,175.01,180.25,-1.25
2024-01-30,5100.0,180.25,177.01,180.0,176.0,176.01,-4.24
2024-01-31,1600.0,176.01,178.97,178.98,177.45,178.15,2.14
2024-02-01,2900.0,178.15,178.05,180.5,177.5,179.89,1.74
2024-02-02,4900.0,179.89,180.99,181.98,179.5,179.85,-0.04
2024-02-06,7600.0,179.85,180.0,181.98,179.26,180.96,1.11
2024-02-07,17500.0,180.96,181.0,182.47,180.0,180.86,-0.1
2024-02-09,12300.0,180.86,180.01,180.01,176.3,179.3,-1.56
2024-02-12,8200.0,179.3,177.01,177.01,170.0,171.14,-8.16
2024-02-13,6200.0,171.14,171.14,176.0,171.14,175.02,3.88
2024-02-14,7600.0,175.02,178.94,179.99,178.94,179.35,4.33
2024-02-15,24000.0,179.35,179.95,183.0,177.51,181.55,2.2
2024-02-16,16800.0,181.55,182.25,183.0,177.1,178.13,-3.42
2024-02-19,4800.0,178.13,178.88,178.88,176.0,176.98,-1.15
2024-02-20,4900.0,176.98,176.0,178.0,176.0,178.0,1.02
2024-02-21,9200.0,178.0,178.98,180.5,178.1,180.08,2.08
2024-02-22,19500.0,180.08,180.0,182.5,180.0,180.93,0.85
2024-02-23,18400.0,180.93,180.5,183.0,180.5,182.51,1.58
2024-02-26,82400.0,182.51,182.9,184.0,168.82,168.88,-13.63
2024-02-27,23200.0,168.88,161.12,168.95,158.01,162.14,-6.74
2024-02-28,14700.0,162.14,160.52,165.11,160.0,163.82,1.68
2024-02-29,13200.0,163.82,164.5,165.0,161.55,162.39,-1.43
2024-03-01,9300.0,162.39,162.0,163.88,160.0,161.38,-1.01
2024-03-04,12000.0,161.38,163.0,163.0,159.0,160.13,-1.25
2024-03-05,10600.0,160.13,159.9,162.85,158.0,160.28,0.15
2024-03-06,13600.0,160.28,158.63,159.9,158.0,158.38,-1.9
2024-03-07,6800.0,158.38,158.5,159.8,156.1,157.36,-1.02
2024-03-08,6600.0,157.36,157.0,159.2,157.0,158.48,1.12
2024-03-11,7700.0,158.48,158.0,159.93,157.12,158.57,0.09
2024-03-12,14000.0,158.57,159.0,159.0,155.51,156.04,-2.53
2024-03-13,21100.0,156.04,158.98,158.98,154.01,154.6,-1.44
2024-03-14,8600.0,154.6,157.51,157.51,152.05,153.68,-0.92
2024-03-15,12500.0,153.68,153.81,158.0,153.81,155.07,1.39
2024-03-18,4000.0,155.07,155.15,155.5,154.0,154.0,-1.07
2024-03-19,15900.0,154.0,154.02,157.98,153.57,156.68,2.68
2024-03-20,19300.0,156.68,157.88,159.98,156.02,157.68,1.0
2024-03-21,13200.0,157.68,155.02,159.7,153.1,154.77,-2.91
2024-03-22,12400.0,154.77,153.07,153.08,150.0,150.25,-4.52
2024-03-25,13200.0,150.25,154.86,156.89,145.02,152.11,1.86
2024-03-26,8500.0,152.11,150.41,153.07,150.01,152.99,0.88
2024-03-27,7700.0,152.99,150.1,152.9,150.02,152.79,-0.2
2024-03-28,27100.0,152.79,152.0,157.98,152.0,157.67,4.88
2024-03-29,13400.0,157.67,155.0,159.98,155.0,157.75,0.08
2024-04-01,4600.0,157.75,156.0,159.4,156.0,156.59,-1.16
2024-04-02,15700.0,156.59,156.02,160.0,155.0,159.13,2.54
2024-04-03,4900.0,159.13,160.0,160.29,159.9,160.29,1.16
2024-04-04,1700.0,160.29,160.45,160.5,158.0,159.6,-0.69
2024-04-08,3800.0,159.6,157.2,159.39,157.0,158.75,-0.85
2024-04-09,2200.0,158.75,159.89,159.98,158.0,158.75,0.0
2024-04-15,5700.0,158.75,156.05,160.48,156.05,159.0,0.25
2024-04-16,5800.0,159.0,158.01,159.5,158.01,159.23,0.23
2024-04-17,14400.0,159.23,158.12,158.12,157.01,157.64,-1.59
2024-04-18,3700.0,157.64,158.0,158.49,156.61,157.09,-0.55
2024-04-19,6000.0,157.09,157.5,158.0,155.51,157.64,0.55
2024-04-22,11169.0,157.64,156.12,158.5,156.12,156.43,-1.21
2024-04-23,23284.0,156.43,156.43,158.0,155.0,156.0,-0.43
2024-04-24,20508.0,156.0,157.0,158.98,155.52,158.27,2.27
2024-04-25,29834.0,158.27,158.0,159.5,156.0,158.15,-0.12
2024-04-26,34603.0,158.15,159.47,159.48,147.0,149.61,-8.54
2024-04-29,27947.0,149.61,152.0,152.0,138.39,143.77,-5.84
2024-04-30,7237.0,143.77,145.0,146.8,145.0,145.51,1.74
2024-05-02,25341.0,145.51,146.0,146.0,137.0,138.94,-6.57
2024-05-03,7491.0,138.94,142.0,142.0,139.75,140.71,1.77
2024-05-06,5520.0,140.71,141.0,141.0,138.0,140.06,-0.65
2024-05-07,4693.0,140.06,141.41,142.0,140.0,140.8,0.74
2024-05-08,5551.0,140.8,140.99,141.0,140.0,140.0,-0.8
