Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,222000.0,6.54,6.64,6.7,6.52,6.62,0.08
2024-01-02,328500.0,6.62,6.56,6.67,6.34,6.43,-0.19
2024-01-03,169500.0,6.43,6.32,6.45,6.14,6.21,-0.22
2024-01-04,178500.0,6.21,6.25,6.25,6.1,6.15,-0.06
2024-01-05,231000.0,6.15,6.33,6.39,6.1,6.15,0.0
2024-01-08,13500.0,6.15,6.3,6.3,6.16,6.18,0.03
2024-01-09,297500.0,6.18,6.11,6.4,6.1,6.28,0.1
2024-01-10,118000.0,6.28,6.3,6.42,6.14,6.16,-0.12
2024-01-11,66500.0,6.16,6.11,6.29,6.11,6.16,0.0
2024-01-12,472000.0,6.16,6.2,6.22,6.1,6.12,-0.04
2024-01-15,338500.0,6.12,6.14,6.21,5.8,5.84,-0.28
2024-01-16,331500.0,5.84,5.85,6.05,5.71,5.88,0.04
2024-01-17,156000.0,5.88,5.76,5.9,5.73,5.81,-0.07
2024-01-18,139000.0,5.81,5.92,5.92,5.7,5.72,-0.09
2024-01-19,117500.0,5.72,5.76,5.89,5.73,5.74,0.02
2024-01-22,20000.0,5.74,5.64,5.7,5.64,5.65,-0.09
2024-01-23,151000.0,5.65,5.7,5.74,5.56,5.64,-0.01
2024-01-24,139000.0,5.64,5.62,5.88,5.62,5.65,0.01
2024-01-25,56500.0,5.65,5.65,5.94,5.6,5.61,-0.04
2024-01-26,717500.0,5.61,5.65,5.65,4.8,5.41,-0.2
2024-01-29,295500.0,5.41,5.23,5.35,5.2,5.3,-0.11
2024-01-30,131000.0,5.3,5.31,5.36,5.3,5.35,0.05
2024-01-31,239500.0,5.35,5.35,5.4,5.25,5.37,0.02
2024-02-01,195000.0,5.37,5.27,5.61,5.12,5.5,0.13
2024-02-02,31000.0,5.5,5.5,5.9,5.5,5.7,0.2
2024-02-06,370500.0,5.7,5.43,6.29,5.42,6.05,0.35
2024-02-07,507500.0,6.05,6.03,6.2,6.0,6.03,-0.02
2024-02-09,150500.0,6.03,5.93,5.98,5.7,5.75,-0.28
2024-02-12,258500.0,5.75,5.75,5.75,5.41,5.45,-0.3
2024-02-13,129500.0,5.45,5.21,6.0,5.21,5.54,0.09
2024-02-14,53000.0,5.54,5.79,5.99,5.67,5.75,0.21
2024-02-15,362000.0,5.75,5.67,5.89,5.4,5.51,-0.24
2024-02-16,153000.0,5.51,5.45,5.5,5.4,5.45,-0.06
2024-02-19,348000.0,5.45,5.35,5.59,5.1,5.4,-0.05
2024-02-20,577000.0,5.4,5.4,5.45,5.38,5.45,0.05
2024-02-21,81000.0,5.45,5.49,5.55,5.45,5.5,0.05
2024-02-22,53000.0,5.5,5.59,5.64,5.48,5.49,-0.01
2024-02-23,22500.0,5.49,5.64,5.64,5.54,5.55,0.06
2024-02-26,567500.0,5.55,5.7,5.7,5.32,5.65,0.1
2024-02-27,85500.0,5.65,5.72,5.72,5.5,5.58,-0.07
2024-02-28,126500.0,5.58,5.5,5.75,5.5,5.6,0.02
2024-02-29,241500.0,5.6,5.56,5.65,5.52,5.55,-0.05
2024-03-01,18000.0,5.55,5.83,5.83,5.37,5.46,-0.09
2024-03-04,48000.0,5.46,5.69,5.69,5.42,5.55,0.09
2024-03-05,176000.0,5.55,5.55,5.68,5.43,5.45,-0.1
2024-03-06,126000.0,5.45,5.5,5.66,5.44,5.51,0.06
2024-03-07,164500.0,5.51,5.51,5.6,5.42,5.59,0.08
2024-03-08,127500.0,5.59,5.64,5.64,5.42,5.44,-0.15
2024-03-11,270000.0,5.44,5.68,5.69,5.46,5.61,0.17
2024-03-12,257500.0,5.61,5.64,5.66,5.39,5.39,-0.22
2024-03-13,67500.0,5.39,5.41,5.45,5.38,5.39,0.0
2024-03-14,53000.0,5.39,5.27,5.67,5.27,5.51,0.12
2024-03-15,69000.0,5.51,5.59,5.59,5.45,5.46,-0.05
2024-03-18,23000.0,5.46,5.52,5.52,5.3,5.4,-0.06
2024-03-19,40500.0,5.4,5.65,5.65,5.4,5.41,0.01
2024-03-20,329500.0,5.41,5.45,5.45,5.3,5.35,-0.06
2024-03-21,147500.0,5.35,5.59,5.6,5.4,5.44,0.09
2024-03-22,37000.0,5.44,5.42,5.55,5.35,5.36,-0.08
2024-03-25,55500.0,5.36,5.33,5.54,5.33,5.39,0.03
2024-03-26,59500.0,5.39,5.5,5.5,5.34,5.35,-0.04
2024-03-27,102000.0,5.35,5.4,5.44,5.3,5.3,-0.05
2024-03-28,842500.0,5.3,5.5,5.67,5.4,5.62,0.32
2024-03-29,190000.0,5.62,5.52,5.6,5.4,5.44,-0.18
2024-04-01,111000.0,5.44,5.44,5.44,5.26,5.32,-0.12
2024-04-02,74500.0,5.32,5.66,5.66,5.33,5.38,0.06
2024-04-03,105500.0,5.38,5.57,5.57,5.31,5.33,-0.05
2024-04-04,55500.0,5.33,5.39,5.48,5.21,5.36,0.03
2024-04-08,135000.0,5.36,5.4,5.6,5.3,5.38,0.02
2024-04-09,68000.0,5.38,5.41,5.58,5.41,5.41,0.03
2024-04-15,74500.0,5.41,5.52,5.52,5.31,5.44,0.03
2024-04-16,279000.0,5.44,5.4,5.59,5.36,5.47,0.03
2024-04-17,372500.0,5.47,5.4,5.59,5.4,5.45,-0.02
2024-04-18,485000.0,5.45,5.59,5.75,5.43,5.45,0.0
2024-04-19,133500.0,5.45,5.4,5.45,5.35,5.38,-0.07
2024-04-22,855000.0,5.38,5.55,5.8,5.36,5.66,0.28
2024-04-23,173500.0,5.66,5.65,5.74,5.5,5.53,-0.13
2024-04-24,290000.0,5.53,5.58,5.64,5.45,5.48,-0.05
2024-04-25,502000.0,5.48,5.44,5.55,5.4,5.5,0.02
2024-04-26,166500.0,5.5,5.4,5.5,5.38,5.4,-0.1
2024-04-29,138500.0,5.4,5.49,5.5,5.35,5.36,-0.04
2024-04-30,218000.0,5.36,5.36,5.36,5.25,5.25,-0.11
2024-05-02,44500.0,5.25,5.27,5.38,5.11,5.38,0.13
2024-05-03,143500.0,5.38,5.25,5.39,5.25,5.29,-0.09
2024-05-06,109500.0,5.29,5.2,5.34,5.12,5.24,-0.05
2024-05-07,100000.0,5.24,5.24,5.4,5.23,5.26,0.02
2024-05-08,1412000.0,5.26,5.22,5.45,5.22,5.39,0.13
2024-05-09,318000.0,5.39,5.5,5.5,5.3,5.38,-0.01
2024-05-10,277000.0,5.38,5.47,5.65,5.34,5.36,-0.02
2024-05-13,2493500.0,5.36,5.32,5.7,5.32,5.6,0.24
2024-05-14,5500500.0,5.6,5.7,5.95,5.7,5.79,0.19
2024-05-15,1240000.0,5.79,5.89,5.92,5.55,5.67,-0.12
2024-05-16,691500.0,5.67,5.75,5.88,5.58,5.6,-0.07
2024-05-17,217500.0,5.6,5.65,5.72,5.5,5.52,-0.08
2024-05-20,650500.0,5.52,5.5,5.65,5.44,5.58,0.06
2024-05-21,673770.0,5.58,5.58,5.62,5.45,5.47,-0.11
2024-05-22,1482598.0,5.47,5.5,5.83,5.49,5.54,0.07
2024-05-23,842872.0,5.54,5.5,5.73,5.49,5.5,-0.04
2024-05-24,2505201.0,5.5,5.7,5.85,5.48,5.5,0.0
2024-05-27,1570797.0,5.5,5.62,5.68,5.41,5.47,-0.03
2024-05-29,383650.0,5.47,5.54,5.54,5.43,5.45,-0.02
2024-05-30,1087182.0,5.45,5.42,5.43,5.2,5.27,-0.18
2024-05-31,65473.0,5.27,5.41,5.41,5.26,5.31,0.04
2024-06-03,28447.0,5.31,5.4,5.4,5.32,5.37,0.06
2024-06-04,185344.0,5.37,5.35,5.35,5.23,5.29,-0.08
2024-06-05,99293.0,5.29,5.24,5.34,5.21,5.24,-0.05
2024-06-06,286127.0,5.24,5.25,5.32,5.17,5.27,0.03
2024-06-07,136985.0,5.27,5.35,5.35,5.15,5.28,0.01
2024-06-10,139019.0,5.28,5.35,5.35,4.92,5.18,-0.1
2024-06-11,24775.0,5.18,5.33,5.33,5.17,5.19,0.01
2024-06-12,297434.0,5.19,5.29,5.29,5.1,5.18,-0.01
2024-06-13,975969.0,5.18,5.28,5.42,5.2,5.22,0.04
2024-06-14,266662.0,5.22,5.39,5.39,5.17,5.18,-0.04
2024-06-20,199829.0,5.18,5.33,5.33,5.1,5.17,-0.01
2024-06-21,384728.0,5.17,5.27,5.27,5.03,5.04,-0.13
2024-06-24,290803.0,5.04,5.19,5.19,4.9,4.97,-0.07
2024-06-25,244767.0,4.97,5.15,5.15,4.9,4.95,-0.02
2024-06-26,633721.0,4.95,5.0,5.0,4.74,4.78,-0.17
2024-06-27,331380.0,4.78,4.92,4.92,4.7,4.72,-0.06
2024-06-28,403305.0,4.72,4.84,4.84,4.55,4.69,-0.03
2024-07-01,175823.0,4.69,4.75,4.79,4.71,4.75,0.06
2024-07-02,244563.0,4.75,4.79,4.81,4.71,4.8,0.05
2024-07-03,155748.0,4.8,4.84,4.89,4.73,4.78,-0.02
2024-07-04,298466.0,4.78,4.78,4.94,4.73,4.85,0.07
2024-07-05,147777.0,4.85,4.9,4.9,4.8,4.81,-0.04
2024-07-08,163207.0,4.81,4.99,4.99,4.69,4.75,-0.06
2024-07-09,941565.0,4.75,4.88,4.88,4.67,4.69,-0.06
2024-07-10,252466.0,4.69,4.78,4.78,4.67,4.7,0.01
2024-07-11,293157.0,4.7,4.67,4.72,4.61,4.62,-0.08
2024-07-12,124073.0,4.62,4.64,4.64,4.55,4.62,0.0
