Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,65500.0,14.45,14.49,14.7,14.49,14.59,0.14
2024-01-02,10000.0,14.59,14.55,14.55,14.55,14.55,-0.04
2024-01-03,1000.0,14.55,14.5,14.74,14.5,14.74,0.19
2024-01-04,43000.0,14.74,14.6,14.7,13.86,14.65,-0.09
2024-01-05,86500.0,14.65,14.08,14.08,13.92,14.0,-0.65
2024-01-08,24500.0,14.0,13.91,14.0,13.5,13.51,-0.49
2024-01-09,44000.0,13.51,13.19,13.19,12.91,12.97,-0.54
2024-01-10,43000.0,12.97,12.74,12.74,12.45,12.45,-0.52
2024-01-11,34000.0,12.45,12.45,12.49,12.02,12.49,0.04
2024-01-12,47500.0,12.49,12.32,12.49,11.76,12.29,-0.2
2024-01-15,207500.0,12.29,12.0,12.45,11.4,11.9,-0.39
2024-01-16,27500.0,11.9,11.45,12.25,11.35,12.0,0.1
2024-01-17,103000.0,12.0,11.56,11.65,11.26,11.42,-0.58
2024-01-18,33500.0,11.42,11.61,11.7,10.8,11.67,0.25
2024-01-19,2109000.0,11.67,11.3,11.3,10.67,10.67,1.0
2024-01-22,86000.0,10.67,10.67,11.6,10.52,11.52,0.85
2024-01-23,131000.0,11.52,11.54,11.89,10.9,11.78,0.26
2024-01-24,38500.0,11.78,11.21,11.6,11.0,11.48,-0.3
2024-01-25,85000.0,11.48,11.35,11.35,11.0,11.08,-0.4
2024-01-26,8000.0,11.08,11.2,11.2,11.0,11.03,-0.05
2024-01-29,59500.0,11.03,10.9,10.9,10.41,10.41,-0.62
2024-01-30,106000.0,10.41,10.4,10.95,9.41,10.54,0.13
2024-01-31,10500.0,10.54,10.3,10.85,10.28,10.76,0.22
2024-02-01,1129500.0,10.76,11.0,11.74,10.01,11.51,0.75
2024-02-02,68000.0,11.51,11.51,12.34,11.01,11.89,0.38
2024-02-06,601500.0,11.89,12.4,12.89,12.3,12.85,0.96
2024-02-07,110000.0,12.85,13.2,13.6,13.15,13.5,0.65
2024-02-09,30000.0,13.5,13.01,14.43,13.01,14.0,0.5
2024-02-12,64500.0,14.0,13.51,14.38,13.4,13.73,-0.27
