Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3300094.0,18.62,18.64,19.95,18.64,19.84,1.22
2024-01-02,2117902.0,19.84,19.83,19.9,18.95,19.1,-0.74
2024-01-03,11680.0,18.2,18.32,19.15,18.15,18.51,0.31
2024-01-04,2686259.0,19.49,19.66,19.84,19.16,19.55,0.06
2024-01-05,10004.0,19.15,19.0,19.55,18.49,18.79,-0.36
2024-01-08,1133969.0,19.15,19.17,19.36,18.68,18.77,-0.38
2024-01-09,1076942.0,18.77,19.0,19.16,18.4,18.71,-0.06
2024-01-10,2263282.0,18.71,18.51,18.79,18.27,18.31,-0.4
2024-01-11,14913475.0,18.31,18.2,19.68,18.05,19.68,1.37
2024-01-12,18214818.0,19.68,20.99,21.0,19.7,20.06,0.38
2024-01-15,3888916.0,20.06,20.24,20.24,18.91,19.03,-1.03
2024-01-16,6420.0,19.15,19.15,19.35,18.49,19.12,-0.03
2024-01-17,36390498.0,18.99,19.09,20.41,19.0,20.05,1.06
2024-01-18,9636888.0,20.05,19.98,19.98,19.15,19.41,-0.64
2024-01-19,7116926.0,19.41,19.6,19.68,18.45,18.54,-0.87
2024-01-22,4693594.0,18.54,18.5,18.5,17.94,18.02,-0.52
2024-01-23,5180591.0,18.02,18.2,18.84,17.81,18.45,0.43
2024-01-24,3833358.0,18.45,18.4,18.75,18.2,18.33,-0.12
2024-01-25,2217170.0,18.33,18.4,18.49,17.9,18.06,-0.27
2024-01-26,6522205.0,18.06,18.1,18.85,18.0,18.28,0.22
2024-01-29,14506217.0,18.28,18.3,18.95,17.69,17.76,-0.52
2024-01-30,12470125.0,17.76,17.75,18.1,16.43,16.48,-1.28
2024-01-31,3187609.0,16.48,16.6,16.95,16.45,16.72,0.24
2024-02-01,1414443.0,16.72,16.81,16.94,16.51,16.69,-0.03
2024-02-02,4694276.0,16.69,16.7,17.18,16.6,17.06,0.37
2024-02-06,7002087.0,17.06,17.0,17.8,16.94,17.59,0.53
2024-02-07,4156225.0,17.59,17.75,18.1,17.6,17.83,0.24
2024-02-09,3912826.0,17.83,17.5,17.5,16.75,17.14,-0.69
2024-02-12,5384854.0,17.14,17.13,17.19,15.85,16.12,-1.02
2024-02-13,5782546.0,16.12,16.1,16.9,15.21,16.5,0.38
2024-02-14,3468.0,16.6,16.84,17.49,16.84,17.39,0.79
2024-02-15,2886259.0,17.25,17.2,17.35,16.36,16.5,-0.75
2024-02-16,6039.0,16.58,16.65,16.8,15.52,16.63,0.05
