Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,15000.0,1.64,1.99,2.39,1.99,2.03,0.39
2024-01-02,5000.0,2.03,1.85,2.1,1.85,2.1,0.07
2024-01-04,500.0,2.1,1.8,1.8,1.8,1.8,-0.3
2024-01-05,1500.0,1.8,1.7,1.95,1.7,1.95,0.15
2024-01-08,4500.0,1.95,1.9,2.0,1.86,1.86,-0.09
2024-01-09,500.0,1.86,1.8,1.8,1.8,1.8,-0.06
2024-01-10,14000.0,1.8,1.85,1.85,1.77,1.79,-0.01
2024-01-11,11500.0,1.79,1.8,1.8,1.8,1.8,0.01
2024-01-12,7500.0,1.8,1.99,1.99,1.8,1.9,0.1
2024-01-15,5000.0,1.9,1.9,1.9,1.8,1.8,-0.1
2024-01-18,1500.0,1.8,1.8,1.8,1.8,1.8,0.0
2024-01-19,500.0,1.8,1.52,1.52,1.52,1.52,-0.28
2024-01-22,2500.0,1.52,1.8,1.8,1.52,1.52,0.0
2024-01-24,3500.0,1.52,1.8,1.94,1.57,1.8,0.28
2024-01-25,1000.0,1.8,1.62,1.62,1.61,1.61,-0.19
2024-01-26,1000.0,1.61,1.8,1.8,1.6,1.6,-0.01
2024-01-30,500.0,1.6,1.77,1.77,1.77,1.77,0.17
2024-02-01,1000.0,1.77,1.77,1.77,1.55,1.55,-0.22
2024-02-06,1000.0,1.55,1.85,1.85,1.66,1.66,0.11
2024-02-07,1000.0,1.66,1.85,1.85,1.75,1.75,0.09
2024-02-13,500.0,1.75,1.51,1.51,1.51,1.51,-0.24
2024-02-14,1500.0,1.51,1.7,1.75,1.7,1.75,0.24
2024-02-16,1000.0,1.75,1.75,1.75,1.75,1.75,0.0
2024-02-20,4500.0,1.75,1.74,1.74,1.74,1.74,-0.01
2024-02-21,7500.0,1.74,1.75,1.89,1.75,1.75,0.01
2024-02-23,5000.0,1.75,1.75,1.8,1.4,1.8,0.05
2024-02-26,1000.0,1.8,1.8,1.85,1.8,1.85,0.05
2024-02-27,4000.0,1.85,2.09,2.09,2.09,2.09,0.24
2024-03-01,10000.0,2.09,1.8,2.1,1.8,2.1,0.01
2024-03-04,2000.0,2.1,2.23,2.23,2.23,2.23,0.13
2024-03-06,500.0,2.23,1.91,1.91,1.91,1.91,-0.32
2024-03-07,14000.0,1.91,1.91,1.91,1.9,1.9,-0.01
2024-03-11,5000.0,1.9,1.9,1.9,1.9,1.9,0.0
2024-03-12,12500.0,1.9,1.85,1.85,1.7,1.7,-0.2
2024-03-13,1000.0,1.7,1.71,1.85,1.71,1.85,0.15
2024-03-22,7500.0,1.85,1.8,1.8,1.5,1.8,-0.05
2024-04-01,7500.0,1.8,1.9,2.8,1.9,2.2,0.4
2024-04-02,10500.0,2.2,2.21,2.21,2.01,2.01,-0.19
2024-04-03,18500.0,2.01,2.39,2.7,2.2,2.2,0.19
2024-04-08,11500.0,2.2,1.9,2.1,1.9,2.1,-0.1
2024-04-09,6000.0,2.1,2.0,2.3,2.0,2.3,0.2
2024-04-16,2000.0,2.3,2.12,2.12,2.12,2.12,-0.18
2024-04-17,3500.0,2.12,2.2,2.22,2.0,2.06,-0.06
2024-04-18,500.0,2.06,2.0,2.0,2.0,2.0,-0.06
2024-04-19,2500.0,2.0,1.91,1.91,1.9,1.9,-0.1
2024-04-22,1000.0,1.9,2.0,2.0,2.0,2.0,0.1
2024-04-23,500.0,2.0,2.0,2.0,2.0,2.0,0.0
2024-04-25,5000.0,2.0,1.9,1.9,1.9,1.9,-0.1
2024-04-26,9000.0,1.9,2.09,2.25,2.09,2.12,0.22
2024-04-29,27000.0,2.12,2.29,2.29,1.91,2.1,-0.02
2024-04-30,8500.0,2.1,2.01,2.15,2.01,2.15,0.05
2024-05-02,4000.0,2.15,1.9,1.9,1.31,1.9,-0.25
2024-05-03,3000.0,1.9,1.85,2.0,1.81,2.0,0.1
2024-05-07,1000.0,2.0,1.9,1.91,1.9,1.91,-0.09
2024-05-08,58000.0,1.91,1.9,1.9,1.8,1.8,-0.11
2024-05-09,43500.0,1.8,1.98,2.09,1.83,1.83,0.03
2024-05-10,7000.0,1.83,2.0,2.0,1.98,2.0,0.17
2024-05-13,2500.0,2.0,1.85,2.05,1.85,2.03,0.03
2024-05-14,1000.0,2.03,2.03,2.03,2.02,2.02,-0.01
2024-05-16,8500.0,2.02,1.86,1.99,1.81,1.99,-0.03
2024-05-22,14500.0,1.99,1.8,2.0,1.75,1.99,0.0
2024-05-23,5500.0,1.99,1.81,1.95,1.81,1.95,-0.04
2024-05-30,2500.0,1.95,1.85,1.85,1.85,1.85,-0.1
2024-05-31,1016.0,1.85,1.99,1.99,1.9,1.99,0.14
2024-06-03,530.0,1.99,1.72,1.99,1.72,1.99,0.0
2024-06-04,502.0,1.99,1.99,1.99,1.99,1.99,0.0
2024-06-06,500.0,1.99,1.99,1.99,1.99,1.99,0.0
2024-06-07,9162.0,1.99,1.99,1.99,1.85,1.99,0.0
2024-06-10,5050.0,1.99,2.03,2.06,1.99,2.06,0.07
2024-06-12,928.0,2.06,1.71,1.96,1.71,1.96,-0.1
2024-06-13,6767.0,1.96,2.0,2.0,1.97,2.0,0.04
2024-06-14,500.0,2.0,1.85,1.85,1.85,1.85,-0.15
2024-06-20,5262.0,1.85,1.86,2.0,1.38,1.93,0.08
2024-06-25,1000.0,1.93,1.85,1.85,1.85,1.85,-0.08
2024-06-28,3000.0,1.85,1.86,2.0,1.86,2.0,0.15
2024-07-01,10.0,2.0,0.0,0.0,0.0,2.0,0.0
2024-07-02,3251.0,2.0,2.0,2.0,2.0,2.0,0.0
2024-07-03,384033.0,2.0,2.1,3.0,2.1,3.0,1.0
2024-07-04,159825.0,3.0,3.19,3.19,2.51,2.95,-0.05
2024-07-05,83111.0,2.95,2.95,3.0,2.8,2.8,-0.15
2024-07-08,34901.0,2.8,2.51,2.89,2.4,2.5,-0.3
2024-07-09,112988.0,2.5,2.5,3.0,2.4,2.8,0.3
2024-07-10,19037.0,2.8,3.44,3.44,2.7,2.74,-0.06
2024-07-11,14250.0,2.74,2.65,2.9,2.65,2.65,-0.09
2024-07-12,2056.0,2.65,2.65,2.84,2.01,2.01,-0.64
2024-07-15,17774.0,2.01,2.8,2.89,2.45,2.89,0.88
2024-07-18,14013.0,2.89,2.5,2.6,2.5,2.6,-0.29
2024-07-19,21799.0,2.6,2.5,2.6,2.5,2.5,-0.1
2024-07-22,206.0,2.5,2.5,2.5,2.5,2.5,0.0
2024-07-23,2.0,2.5,2.73,2.73,2.73,2.5,0.0
2024-07-24,3129.0,2.5,2.46,2.77,2.1,2.5,0.0
2024-07-25,13502.0,2.5,2.21,2.67,2.18,2.65,0.15
2024-07-26,1000.0,2.65,2.4,2.65,2.4,2.65,0.0
2024-07-30,101.0,2.65,2.73,2.73,2.7,2.65,0.0
2024-07-31,1000.0,2.65,2.4,2.4,2.4,2.4,-0.25
2024-08-01,1100.0,2.4,2.99,2.99,2.5,2.5,0.1
2024-08-02,3000.0,2.5,2.49,2.5,2.49,2.5,0.0
2024-08-05,16797.0,2.5,2.31,2.6,2.31,2.6,0.1
2024-08-06,14200.0,2.6,2.7,2.7,2.5,2.69,0.09
2024-08-07,1135.0,2.69,2.7,2.7,2.51,2.52,-0.17
2024-08-08,17305.0,2.52,2.85,2.85,2.61,2.7,0.18
2024-08-09,500.0,2.7,0.0,0.0,0.0,2.7,0.0
2024-08-12,4116.0,2.7,2.5,2.58,2.4,2.45,-0.25
2024-08-13,1526.0,2.45,2.59,3.4,2.59,2.9,0.45
2024-08-15,22240.0,2.9,2.9,2.9,2.7,2.7,-0.2
2024-08-16,3610.0,2.7,2.7,2.88,2.65,2.65,-0.05
2024-08-19,5501.0,2.65,2.66,2.66,2.57,2.57,-0.08
2024-08-20,450.0,2.57,2.94,2.94,2.94,2.57,0.0
2024-08-21,9700.0,2.57,2.78,2.78,2.33,2.33,-0.24
2024-08-22,12846.0,2.33,2.33,2.55,2.33,2.55,0.22
2024-08-23,11600.0,2.55,2.56,2.7,2.56,2.68,0.13
2024-08-26,36693.0,2.68,2.66,2.99,2.02,2.48,-0.2
2024-08-27,193602.0,2.48,2.89,3.48,2.89,3.48,1.0
2024-08-28,79721.0,3.48,4.46,4.48,4.2,4.48,1.0
2024-08-29,27359.0,4.48,5.48,5.48,5.48,5.48,1.0
2024-08-30,2739113.0,5.48,6.48,6.48,5.49,6.48,1.0
2024-09-02,2652483.0,6.48,7.25,7.48,5.48,5.48,1.0
2024-09-03,2034174.0,5.48,5.02,5.74,4.63,4.76,-0.72
2024-09-04,597541.0,4.76,5.2,5.76,5.19,5.76,1.0
2024-09-05,2538889.0,5.76,6.69,6.76,5.77,6.76,1.0
2024-09-06,8227227.0,6.76,7.76,7.76,5.76,5.76,1.0
