Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,720201.0,177.84,176.48,184.9,176.48,184.32,6.48
2024-01-02,646424.0,184.32,186.96,186.96,183.75,184.99,0.67
2024-01-03,495480.0,184.99,185.9,187.18,182.5,185.08,0.09
2024-01-04,759786.0,185.08,185.09,185.85,182.55,184.68,-0.4
2024-01-05,383176.0,184.68,185.85,185.89,180.11,183.65,-1.03
2024-01-08,639782.0,183.65,184.9,184.9,178.9,179.42,-4.23
2024-01-09,610880.0,179.42,181.0,181.99,178.6,179.62,0.2
2024-01-10,420920.0,179.62,180.79,180.79,178.2,178.6,-1.02
2024-01-11,233138.0,178.6,179.6,180.48,178.21,179.75,1.15
2024-01-12,341669.0,179.75,181.0,182.5,180.0,180.19,0.44
2024-01-15,156973.0,180.19,180.25,181.98,179.4,179.79,-0.4
2024-01-16,661283.0,179.79,180.98,180.98,178.95,179.4,-0.39
2024-01-17,2997560.0,179.4,180.0,183.93,178.5,183.09,3.69
2024-01-18,912688.0,183.09,184.49,184.49,178.0,183.22,0.13
2024-01-19,565293.0,183.22,184.0,185.2,181.75,182.78,-0.44
2024-01-22,251534.0,182.78,182.01,183.25,180.81,182.04,-0.74
2024-01-23,612716.0,182.04,183.0,186.0,182.01,184.1,2.06
2024-01-24,772934.0,184.1,184.95,185.3,183.19,184.8,0.7
2024-01-25,647546.0,184.8,184.89,185.48,183.01,184.5,-0.3
2024-01-26,496419.0,184.5,184.25,185.9,182.0,183.19,-1.31
2024-01-29,787771.0,183.19,184.75,184.75,181.11,182.94,-0.25
2024-01-30,779939.0,182.94,183.49,183.5,179.75,180.08,-2.86
2024-01-31,529567.0,180.08,181.95,183.0,180.98,182.06,1.98
2024-02-01,513382.0,182.06,183.45,184.0,181.0,182.52,0.46
2024-02-02,360928.0,182.52,183.0,183.5,181.26,182.65,0.13
2024-02-06,674476.0,182.65,183.0,185.9,182.4,184.4,1.75
2024-02-07,285861.0,184.4,184.98,186.5,184.77,185.99,1.59
2024-02-09,608053.0,185.99,182.0,185.7,182.0,184.15,-1.84
2024-02-12,498070.0,184.15,182.99,184.0,180.01,181.74,-2.41
2024-02-13,1406257.0,181.74,181.5,188.79,180.3,186.4,4.66
2024-02-14,929471.0,186.4,187.6,187.9,185.6,185.99,-0.41
2024-02-15,931795.0,185.99,187.0,187.0,180.85,182.06,-3.93
2024-02-16,511264.0,182.06,181.0,183.3,180.5,181.86,-0.2
2024-02-19,212.0,186.95,185.0,185.0,182.01,182.06,-4.89
2024-02-20,518057.0,180.03,181.0,181.0,178.76,179.13,-0.9
2024-02-21,1964122.0,179.13,181.0,184.98,180.4,182.96,3.83
2024-02-22,688257.0,182.96,184.0,186.45,182.25,185.87,2.91
2024-02-23,722636.0,185.87,185.11,189.2,185.11,188.81,2.94
2024-02-26,1227411.0,188.81,188.99,192.1,188.99,190.59,1.78
