Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-08,5600.0,98.29,0.0,0.0,0.0,98.04,-0.25
2024-01-17,3800.0,98.18,0.0,0.0,0.0,98.16,-0.02
2024-02-27,1480.0,98.18,0.0,0.0,0.0,98.18,0.0
2024-03-13,12501.0,98.18,0.0,0.0,0.0,98.18,0.0
2024-08-28,13400.0,98.18,0.0,0.0,0.0,98.18,0.0
2024-10-01,2400.0,98.18,0.0,0.0,0.0,98.18,0.0
2024-12-19,2400.0,98.18,0.0,0.0,0.0,98.18,0.0
2025-03-12,10000.0,98.18,0.0,0.0,0.0,98.18,0.0
2025-10-14,4000.0,98.18,0.0,0.0,0.0,98.18,0.0
2025-11-05,50000.0,98.18,91.0,91.0,91.0,91.0,-7.18
2025-11-06,280000.0,91.0,91.0,91.0,91.0,91.0,0.0
2025-12-26,2600.0,91.0,0.0,0.0,0.0,91.0,0.0
2026-01-14,20.0,91.0,100.0,100.0,100.0,91.0,0.0
