Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,42000.0,11.0,10.61,11.25,10.61,11.2,0.2
2024-01-02,26000.0,11.2,10.81,11.29,10.81,11.1,-0.1
2024-01-03,10000.0,11.1,11.1,11.1,11.1,11.1,0.0
2024-01-04,21000.0,11.1,11.15,11.15,11.1,11.11,0.01
2024-01-05,5000.0,11.11,11.1,11.1,11.0,11.0,-0.11
2024-01-08,95000.0,11.0,11.1,11.6,11.0,11.45,0.45
2024-01-09,13500.0,11.45,11.45,11.5,11.35,11.49,0.04
2024-01-10,109000.0,11.49,11.1,11.7,11.08,11.66,0.17
2024-01-11,15500.0,11.66,11.6,11.6,11.29,11.59,-0.07
2024-01-12,23500.0,11.59,11.4,11.75,11.3,11.53,-0.06
2024-01-15,2000.0,11.53,11.54,11.54,11.42,11.42,-0.11
2024-01-16,1500.0,11.42,11.3,11.3,11.26,11.26,-0.16
2024-01-17,6000.0,11.26,11.5,11.5,11.3,11.3,0.04
2024-01-18,17500.0,11.3,11.27,11.73,11.24,11.59,0.29
2024-01-19,2000.0,11.59,11.6,11.6,11.3,11.3,-0.29
2024-01-24,5000.0,11.3,11.36,11.39,11.35,11.35,0.05
2024-01-25,15000.0,11.35,11.35,11.35,11.26,11.29,-0.06
2024-01-26,27500.0,11.29,11.3,11.3,11.0,11.29,0.0
2024-01-29,20500.0,11.29,11.3,11.55,11.2,11.55,0.26
2024-01-30,12000.0,11.55,11.35,11.36,11.1,11.1,-0.45
2024-01-31,7500.0,11.1,11.12,11.25,11.1,11.15,0.05
2024-02-01,3000.0,11.15,11.68,11.68,11.3,11.3,0.15
2024-02-02,8000.0,11.3,11.68,11.7,11.55,11.55,0.25
2024-02-06,13500.0,11.55,11.55,11.69,11.3,11.3,-0.25
2024-02-07,12500.0,11.3,11.79,11.79,11.3,11.3,0.0
2024-02-09,2000.0,11.3,11.25,11.25,11.25,11.25,-0.05
2024-02-12,89500.0,11.25,11.15,11.77,11.05,11.05,-0.2
2024-02-13,8000.0,11.05,11.07,11.4,11.05,11.4,0.35
2024-02-14,5500.0,11.4,11.35,11.65,11.3,11.65,0.25
2024-02-15,8000.0,11.65,11.64,11.64,11.48,11.48,-0.17
2024-02-16,156000.0,11.48,11.21,11.58,11.21,11.49,0.01
2024-02-19,72000.0,11.49,10.55,11.65,10.55,11.11,-0.38
2024-02-20,37500.0,11.11,11.47,11.55,11.4,11.45,0.34
2024-02-21,13000.0,11.45,11.3,11.36,11.06,11.25,-0.2
2024-02-22,2000.0,11.25,11.35,11.64,11.31,11.34,0.09
2024-02-23,23000.0,11.34,11.5,11.5,11.0,11.12,-0.22
2024-02-26,8500.0,11.12,11.48,11.5,11.29,11.29,0.17
2024-02-27,57000.0,11.29,11.3,11.3,11.2,11.29,0.0
2024-02-28,12000.0,11.29,11.35,11.35,11.3,11.3,0.01
2024-02-29,35500.0,11.3,11.35,11.35,11.34,11.34,0.04
2024-03-01,51000.0,11.34,11.02,11.77,11.0,11.54,0.2
2024-03-04,23000.0,11.54,11.5,11.76,11.3,11.76,0.22
2024-03-05,2500.0,11.76,11.7,11.7,11.5,11.63,-0.13
2024-03-06,3500.0,11.63,11.69,11.77,11.4,11.5,-0.13
2024-03-07,13000.0,11.5,11.6,11.8,11.6,11.77,0.27
2024-03-08,39500.0,11.77,11.94,12.1,11.11,12.01,0.24
2024-03-11,473500.0,12.01,13.01,13.01,12.7,13.0,0.99
2024-03-12,36500.0,13.0,13.19,13.19,12.65,12.81,-0.19
2024-03-13,4500.0,12.81,12.8,12.8,12.61,12.61,-0.2
2024-03-14,13000.0,12.61,12.55,12.6,12.55,12.55,-0.06
2024-03-15,6000.0,12.55,12.51,12.75,12.5,12.5,-0.05
2024-03-18,4500.0,12.5,12.68,12.7,12.68,12.7,0.2
2024-03-19,6000.0,12.7,12.8,12.9,12.6,12.6,-0.1
2024-03-20,4000.0,12.6,12.9,12.9,12.71,12.71,0.11
2024-03-21,53000.0,12.71,12.9,12.99,12.5,12.52,-0.19
2024-03-22,3500.0,12.52,12.53,12.88,12.5,12.87,0.35
2024-03-25,5500.0,12.87,12.89,12.99,12.65,12.73,-0.14
2024-03-26,12500.0,12.73,12.99,12.99,12.75,12.99,0.26
2024-03-27,1000.0,12.99,12.98,12.98,12.8,12.8,-0.19
2024-03-28,25500.0,12.8,13.39,13.39,12.8,12.9,0.1
2024-03-29,26000.0,12.9,13.1,13.2,12.51,12.6,-0.3
2024-04-01,107500.0,12.6,12.61,13.14,12.61,12.97,0.37
2024-04-02,15000.0,12.97,12.98,13.0,12.98,13.0,0.03
2024-04-03,13500.0,13.0,13.09,13.09,12.8,13.0,0.0
2024-04-04,8000.0,13.0,12.8,13.2,12.8,13.2,0.2
