Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5391374.0,23.63,23.78,24.41,23.78,24.3,0.67
2024-01-02,20755539.0,24.3,24.36,26.12,23.83,26.04,1.74
2024-01-03,18772787.0,26.04,26.5,26.98,25.12,25.42,-0.62
2024-01-04,6684045.0,25.42,25.3,25.79,24.65,24.91,-0.51
2024-01-05,6367644.0,24.91,24.75,25.44,23.61,24.41,-0.5
2024-01-08,2174656.0,24.41,24.35,24.55,23.95,24.04,-0.37
2024-01-09,3403425.0,24.04,24.1,24.77,23.52,24.21,0.17
2024-01-10,1799865.0,24.21,24.29,24.85,24.05,24.19,-0.02
2024-01-11,949541.0,24.19,24.2,24.44,24.04,24.29,0.1
2024-01-12,1284687.0,24.29,24.58,24.6,23.9,24.02,-0.27
2024-01-15,1231258.0,24.02,23.99,24.4,23.6,23.7,-0.32
2024-01-16,887764.0,23.7,23.85,23.93,23.37,23.65,-0.05
2024-01-17,914468.0,23.65,23.79,23.9,23.12,23.25,-0.4
2024-01-18,1326494.0,23.25,23.0,23.4,22.5,22.75,-0.5
2024-01-19,944416.0,22.75,22.9,23.08,22.33,22.45,-0.3
2024-01-22,823704.0,22.45,22.6,22.61,22.25,22.48,0.03
2024-01-23,23544.0,22.94,23.05,23.6,22.75,23.2,0.26
2024-01-24,3772805.0,22.76,22.52,23.25,22.52,22.7,-0.06
2024-01-25,1857041.0,22.7,22.99,23.0,22.23,22.47,-0.23
2024-01-26,2873124.0,22.47,22.22,22.49,21.6,22.03,-0.44
2024-01-29,2520879.0,22.03,22.0,22.01,20.85,20.92,-1.11
2024-01-30,3629422.0,20.92,20.75,21.19,19.6,20.08,-0.84
2024-01-31,788540.0,20.08,20.15,20.36,19.85,19.94,-0.14
2024-02-01,771087.0,19.94,19.95,20.2,19.75,19.98,0.04
2024-02-02,2667331.0,19.98,19.82,21.2,19.25,20.95,0.97
2024-02-06,950195.0,20.95,21.46,21.53,21.0,21.23,0.28
2024-02-07,676893.0,21.23,21.47,21.5,21.2,21.29,0.06
2024-02-09,696592.0,21.29,21.3,21.3,20.0,20.74,-0.55
2024-02-12,1294102.0,20.74,20.49,20.54,19.18,19.24,-1.5
2024-02-13,3315083.0,19.24,18.9,19.58,17.81,18.93,-0.31
2024-02-14,1799398.0,18.93,19.03,20.2,19.03,19.69,0.76
2024-02-15,1217194.0,19.69,19.6,19.68,18.71,18.9,-0.79
2024-02-16,1599.0,18.96,18.92,18.92,17.65,18.01,-0.95
2024-02-19,2712452.0,18.09,17.8,19.4,17.6,19.3,1.21
2024-02-20,10505845.0,19.3,19.31,20.75,19.31,20.61,1.31
2024-02-21,9443016.0,20.61,21.49,21.49,20.4,20.63,0.02
2024-02-22,1592225.0,20.63,20.74,20.8,20.31,20.44,-0.19
2024-02-23,4373155.0,20.44,20.45,20.9,19.25,20.47,0.03
2024-02-26,13281754.0,20.47,20.74,22.01,20.5,21.91,1.44
2024-02-27,12427995.0,21.91,21.99,22.3,20.8,21.16,-0.75
2024-02-28,13295726.0,21.16,20.61,22.75,20.61,22.75,1.59
2024-02-29,19373606.0,22.75,23.5,24.3,23.25,23.63,0.88
2024-03-01,3537222.0,23.63,23.78,23.8,23.0,23.04,-0.59
2024-03-04,6478457.0,23.04,23.31,24.2,22.9,23.62,0.58
2024-03-05,2885496.0,23.62,23.74,23.74,22.71,23.0,-0.62
2024-03-06,18613018.0,23.0,23.0,24.5,22.9,23.67,0.67
2024-03-07,4405511.0,23.67,23.6,23.85,23.32,23.53,-0.14
2024-03-08,9503275.0,23.53,23.65,24.3,23.5,23.67,0.14
2024-03-11,3404865.0,23.67,23.78,24.09,23.48,23.64,-0.03
2024-03-12,2237288.0,23.64,23.65,23.85,22.26,22.42,-1.22
2024-03-13,3112730.0,22.42,22.23,23.25,21.5,22.0,-0.42
2024-03-14,1296740.0,22.0,22.38,23.1,22.37,22.95,0.95
2024-03-15,948840.0,22.95,23.19,23.24,22.8,22.92,-0.03
2024-03-18,9724206.0,22.92,23.13,24.4,23.1,24.04,1.12
2024-03-19,15917634.0,24.04,24.1,25.3,24.1,25.0,0.96
2024-03-20,11168.0,25.1,25.48,25.51,24.4,24.49,-0.61
2024-03-21,7503182.0,24.31,24.3,24.55,23.75,24.0,-0.31
2024-03-22,1971246.0,24.0,23.8,24.0,23.4,23.69,-0.31
2024-03-25,1156971.0,23.69,23.8,23.9,23.11,23.45,-0.24
2024-03-26,1799670.0,23.45,23.55,23.8,23.3,23.51,0.06
2024-03-27,30798.0,23.67,23.79,23.89,23.29,23.45,-0.22
2024-03-28,18624.0,23.45,23.85,24.18,23.6,23.78,0.33
2024-03-29,12647.0,23.78,23.8,23.92,23.25,23.44,-0.34
2024-04-01,2117682.0,23.47,23.6,23.77,23.16,23.4,-0.07
2024-04-02,1843511.0,23.4,23.49,23.5,23.0,23.42,0.02
2024-04-03,1729482.0,23.42,23.5,23.7,23.37,23.66,0.24
2024-04-04,3200540.0,23.66,23.7,24.0,23.45,23.9,0.24
2024-04-08,2846253.0,23.9,24.1,24.18,23.9,23.96,0.06
2024-04-09,4761081.0,23.96,24.01,24.24,23.56,23.67,-0.29
2024-04-15,887247.0,23.67,23.59,23.79,23.21,23.39,-0.28
2024-04-16,3542142.0,23.39,23.33,23.86,23.33,23.45,0.06
2024-04-17,13480507.0,23.45,23.7,24.41,23.5,23.94,0.49
2024-04-18,3273329.0,23.94,23.98,24.0,23.35,23.54,-0.4
2024-04-19,2499130.0,23.54,23.55,23.73,23.25,23.49,-0.05
2024-04-22,5351757.0,23.49,23.83,23.84,23.41,23.55,0.06
2024-04-23,14819865.0,23.55,23.82,24.15,23.6,23.71,0.16
2024-04-24,16685503.0,23.71,23.94,24.55,23.61,24.31,0.6
2024-04-25,26946.0,24.83,25.0,26.69,25.0,25.4,0.57
