Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,21000.0,6.95,7.6,7.95,7.0,7.0,0.05
2024-01-08,500.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-01-11,57500.0,7.0,6.01,7.45,6.01,7.45,0.45
2024-01-15,3000.0,7.45,7.0,7.0,6.57,6.66,-0.79
2024-01-19,500.0,6.66,7.5,7.5,7.5,7.5,0.84
2024-01-22,500.0,7.5,6.75,6.75,6.75,6.75,-0.75
2024-01-23,500.0,6.75,6.75,6.75,6.75,6.75,0.0
2024-01-29,1000.0,6.75,6.25,6.25,6.0,6.13,-0.62
2024-01-30,3500.0,6.13,7.1,7.1,7.1,7.1,0.97
2024-01-31,500.0,7.1,6.25,6.25,6.25,6.25,-0.85
2024-02-06,1000.0,6.25,6.8,6.8,6.5,6.5,0.25
2024-02-07,500.0,6.5,6.0,6.0,6.0,6.0,-0.5
2024-02-21,500.0,6.0,6.5,6.5,6.5,6.5,0.5
2024-03-05,26000.0,6.5,5.76,5.76,5.6,5.67,-0.83
2024-03-07,2000.0,5.67,5.2,5.25,5.2,5.24,-0.43
2024-03-08,2500.0,5.24,5.0,5.06,5.0,5.06,-0.18
2024-03-13,52000.0,5.06,5.7,5.8,5.7,5.76,0.7
2024-03-21,12000.0,5.76,6.45,6.45,6.45,6.45,0.69
2024-03-26,1000.0,6.45,5.5,6.8,5.5,6.8,0.35
2024-03-27,4000.0,6.8,6.0,6.0,5.8,5.8,1.0
2024-04-03,500.0,5.8,6.75,6.75,6.75,6.75,0.95
2024-04-17,67500.0,6.75,5.8,6.1,5.75,5.78,-0.97
2024-04-18,5000.0,5.78,5.11,5.2,5.0,5.0,-0.78
2024-04-19,2000.0,5.0,5.15,5.9,5.15,5.53,0.53
2024-04-22,1000.0,5.53,6.3,6.3,6.0,6.0,0.47
2024-04-23,2000.0,6.0,6.2,6.2,6.2,6.2,0.2
2024-04-24,3500.0,6.2,5.2,5.2,5.2,5.2,1.0
2024-04-25,500.0,5.2,5.9,5.9,5.9,5.9,0.7
2024-04-29,1000.0,5.9,5.5,5.75,5.5,5.75,-0.15
2024-05-06,500.0,5.75,5.1,5.1,5.1,5.1,-0.65
2024-05-08,500.0,5.1,5.79,5.79,5.79,5.79,0.69
2024-05-10,1500.0,5.79,5.26,5.99,5.26,5.99,0.2
2024-05-13,242000.0,5.99,6.24,6.99,6.24,6.99,1.0
2024-05-14,243000.0,6.99,7.4,7.99,7.27,7.99,1.0
2024-05-15,318500.0,7.99,8.4,8.99,8.4,8.97,0.98
2024-05-16,52000.0,8.97,8.76,9.49,8.3,9.24,0.27
2024-05-17,11500.0,9.24,9.5,9.5,8.24,8.24,1.0
2024-05-20,150000.0,8.24,7.36,8.44,7.24,7.5,-0.74
2024-05-21,14000.0,7.5,7.25,7.25,6.96,6.96,-0.54
2024-05-22,10500.0,6.96,7.6,7.6,7.4,7.4,0.44
2024-05-23,1000.0,7.4,7.4,7.4,7.4,7.4,0.0
2024-05-24,2000.0,7.4,7.7,7.8,7.7,7.8,0.4
2024-05-27,5000.0,7.8,7.3,7.45,7.1,7.3,-0.5
2024-05-29,56005.0,7.3,7.05,8.05,6.3,7.65,0.35
2024-05-30,1001.0,7.65,7.3,7.3,7.2,7.25,-0.4
2024-05-31,5505.0,7.25,7.25,7.25,7.0,7.0,-0.25
2024-06-03,27102.0,7.0,7.0,7.85,6.2,6.58,-0.42
2024-06-04,1701.0,6.58,6.9,6.9,6.41,6.41,-0.17
2024-06-05,1000.0,6.41,6.5,6.5,6.46,6.46,0.05
2024-06-06,2000.0,6.46,6.4,6.4,6.2,6.23,-0.23
2024-06-07,827.0,6.23,6.12,6.44,5.95,6.0,-0.23
2024-06-10,410.0,6.0,6.0,6.0,5.95,6.0,0.0
2024-06-11,5000.0,6.0,5.96,5.96,5.75,5.75,-0.25
2024-06-12,5400.0,5.75,5.9,5.9,5.76,5.76,0.01
2024-06-13,147061.0,5.76,6.59,6.76,6.32,6.32,0.56
2024-06-14,4016.0,6.32,6.12,6.29,5.41,6.0,-0.32
2024-06-20,7901.0,6.0,6.89,6.89,5.81,5.88,-0.12
2024-06-21,36957.0,5.88,6.25,6.48,5.22,6.32,0.44
2024-06-24,42129.0,6.32,6.05,6.84,5.95,6.42,0.1
2024-06-25,22507.0,6.42,6.01,7.33,6.0,7.29,0.87
2024-06-26,44025.0,7.29,8.0,8.19,6.3,7.33,0.04
2024-06-28,39908.0,7.33,6.7,7.88,6.7,7.31,-0.02
2024-07-01,6600.0,7.31,7.1,7.34,7.1,7.12,-0.19
2024-07-02,47220.0,7.12,7.03,7.8,7.03,7.24,0.12
2024-07-03,299504.0,7.24,7.25,8.24,7.25,7.93,0.69
2024-07-04,140005.0,7.93,7.61,8.7,7.6,8.05,0.12
2024-07-05,16522.0,8.05,8.0,8.3,7.51,8.04,-0.01
2024-07-08,13655.0,8.04,7.5,8.2,7.5,7.79,-0.25
2024-07-09,50001.0,7.79,7.52,8.4,7.52,8.22,0.43
2024-07-10,226795.0,8.22,8.0,8.7,7.7,8.12,-0.1
2024-07-11,5145.0,8.12,7.62,8.2,7.62,8.12,0.0
2024-07-12,49003.0,8.12,7.63,7.97,7.12,7.15,-0.97
2024-07-15,206703.0,7.15,7.15,8.15,6.37,7.97,0.82
2024-07-18,172747.0,7.97,7.37,7.97,6.97,7.97,0.0
2024-07-19,19005.0,7.97,7.65,7.95,7.25,7.37,-0.6
2024-07-23,5000.0,7.37,7.8,7.9,7.8,7.87,0.5
2024-07-24,150262.0,7.87,7.5,8.4,6.88,8.02,0.15
2024-07-25,14805.0,8.02,8.0,8.35,7.51,7.84,-0.18
2024-07-26,51111.0,7.84,7.84,8.8,7.26,8.25,0.41
2024-07-29,595212.0,8.25,8.0,9.2,7.82,8.83,0.58
2024-07-30,89576.0,8.83,8.26,8.79,8.01,8.28,-0.55
2024-07-31,3002.0,8.28,7.65,8.4,7.65,8.28,0.0
2024-08-01,5001.0,8.28,7.55,8.25,7.55,8.1,-0.18
2024-08-02,5.0,8.1,8.25,8.25,8.25,8.1,0.0
2024-08-05,51000.0,8.1,8.42,8.97,8.42,8.73,0.63
2024-08-06,190000.0,8.73,8.95,9.24,8.06,8.46,-0.27
2024-08-09,1000.0,8.46,8.46,8.95,8.46,8.95,0.49
2024-08-12,1000.0,8.95,8.62,8.62,8.62,8.62,-0.33
2024-08-15,77000.0,8.62,8.5,9.52,8.5,9.06,0.44
2024-08-16,124700.0,9.06,9.0,10.0,8.8,9.85,0.79
2024-08-19,101000.0,9.85,9.11,10.34,8.85,9.86,0.01
2024-08-20,12500.0,9.86,9.35,10.24,9.35,9.98,0.12
2024-08-21,62000.0,9.98,10.29,10.29,10.24,10.24,0.26
2024-08-22,314500.0,10.24,10.5,10.98,9.65,10.53,0.29
2024-08-23,3000.0,10.53,10.94,10.94,10.94,10.94,0.41
2024-08-26,72281.0,10.94,10.5,10.8,10.02,10.51,-0.43
2024-08-27,11012.0,10.51,10.38,10.38,10.0,10.14,-0.37
2024-08-28,42502.0,10.14,10.35,10.4,9.98,10.35,0.21
2024-08-29,31002.0,10.35,10.25,10.35,10.0,10.25,-0.1
2024-08-30,7006.0,10.25,10.38,10.38,9.32,9.33,-0.92
2024-09-02,15813.0,9.33,10.32,10.32,9.36,9.51,0.18
2024-09-03,5025.0,9.51,10.28,10.28,8.55,9.95,0.44
2024-09-04,78567.0,9.95,10.23,10.23,8.95,8.95,1.0
2024-09-05,22925.0,8.95,8.02,8.87,8.02,8.43,-0.52
2024-09-06,34545.0,8.43,8.43,9.3,7.55,8.69,0.26
2024-09-09,57528.0,8.69,8.25,8.45,7.69,7.69,1.0
2024-09-10,73618.0,7.69,8.3,8.69,8.24,8.69,1.0
2024-09-11,30528.0,8.69,9.51,9.51,8.15,8.63,-0.06
2024-09-12,603.0,8.63,9.0,9.0,8.02,8.02,-0.61
2024-09-13,2006.0,8.02,8.85,9.0,7.7,8.79,0.77
2024-09-16,13353.0,8.79,9.59,9.59,7.79,7.79,1.0
2024-09-18,14228.0,7.79,8.48,8.48,7.05,7.1,-0.69
2024-09-19,21004.0,7.1,7.5,8.07,6.81,7.17,0.07
2024-09-20,15818.0,7.17,7.3,7.99,7.0,7.0,-0.17
2024-09-23,1506.0,7.0,7.98,7.98,6.27,7.97,0.97
2024-09-24,6636.0,7.97,6.97,7.9,6.97,6.97,1.0
2024-09-25,42261.0,6.97,7.9,7.9,6.4,6.41,-0.56
2024-09-26,21839.0,6.41,6.3,7.39,6.2,6.28,-0.13
2024-09-27,69706.0,6.28,6.1,7.28,5.75,7.28,1.0
2024-09-30,26911.0,7.28,8.1,8.1,7.07,7.99,0.71
2024-10-01,37991.0,7.99,7.6,8.6,7.01,7.87,-0.12
2024-10-02,8940.0,7.87,7.87,8.44,7.45,7.46,-0.41
2024-10-03,20865.0,7.46,7.4,7.4,6.9,6.9,-0.56
2024-10-04,287.0,6.9,7.45,7.45,6.2,6.9,0.0
2024-10-07,1014.0,6.9,7.5,7.5,6.34,7.3,0.4
2024-10-08,110.0,7.3,7.2,7.2,7.2,7.3,0.0
2024-10-09,2505.0,7.3,7.2,7.2,6.85,6.85,-0.45
2024-10-11,3008.0,6.85,6.75,6.9,6.5,6.51,-0.34
2024-10-15,1.0,6.51,7.19,7.19,7.19,6.51,0.0
2024-10-16,22.0,6.51,7.29,7.29,5.7,6.51,0.0
2024-10-17,61504.0,6.51,6.36,7.51,6.25,7.44,0.93
2024-10-18,14.0,7.44,7.97,7.97,7.0,7.44,0.0
2024-10-21,6121.0,7.44,7.9,7.9,6.51,6.56,-0.88
2024-10-22,10006.0,6.56,7.2,7.2,6.9,6.9,0.34
2024-10-23,536.0,6.9,7.4,7.4,6.1,7.0,0.1
2024-10-24,110446.0,7.0,7.5,7.5,6.46,7.49,0.49
2024-10-25,4606.0,7.49,7.5,7.5,6.5,7.41,-0.08
2024-10-28,61.0,7.41,7.98,7.98,7.4,7.41,0.0
2024-10-29,23933.0,7.41,7.4,7.94,6.9,7.92,0.51
2024-10-30,267601.0,7.92,7.9,7.97,7.2,7.97,0.05
2024-10-31,7501.0,7.97,8.22,8.22,7.12,7.12,-0.85
2024-11-01,2102.0,7.12,7.5,7.5,7.0,7.0,-0.12
2024-11-04,1468.0,7.0,7.5,7.5,7.0,7.0,0.0
2024-11-05,1518.0,7.0,7.5,7.5,7.0,7.0,0.0
2024-11-06,23.0,7.0,7.49,7.49,7.0,7.0,0.0
