Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-07-29,3076023.0,4.48,4.58,4.58,4.12,4.2,-0.28
2025-07-30,3088308.0,4.2,4.29,4.59,4.15,4.35,0.15
2025-07-31,1061496.0,4.35,4.45,4.45,4.21,4.33,-0.02
2025-08-01,1843410.0,4.33,4.35,4.35,4.06,4.12,-0.21
2025-08-04,991028.0,4.12,4.19,4.31,4.01,4.21,0.09
2025-08-05,743689.0,4.21,4.3,4.34,4.05,4.2,-0.01
2025-08-06,20016714.0,4.2,4.2,4.94,4.06,4.72,0.52
2025-08-07,7552475.0,4.72,4.78,4.95,4.54,4.57,-0.15
2025-08-08,3268882.0,4.57,4.59,4.76,4.3,4.55,-0.02
2025-08-11,2233854.0,4.55,4.65,4.7,4.43,4.45,-0.1
2025-08-12,1696598.0,4.45,4.5,4.65,4.44,4.52,0.07
2025-08-13,1383996.0,4.52,4.56,4.6,4.45,4.49,-0.03
2025-08-15,956029.0,4.49,4.55,4.61,4.42,4.5,0.01
2025-08-18,2049230.0,4.5,4.5,4.7,4.41,4.61,0.11
2025-08-19,1193568.0,4.61,4.63,4.7,4.5,4.56,-0.05
2025-08-20,2481392.0,4.56,4.61,4.7,4.52,4.53,-0.03
2025-08-21,1920672.0,4.53,4.53,4.6,4.4,4.42,-0.11
2025-08-22,2576808.0,4.42,4.49,4.69,4.35,4.55,0.13
2025-08-25,1026753.0,4.55,4.62,4.69,4.49,4.5,-0.05
2025-08-26,2144052.0,4.5,4.47,4.65,4.47,4.57,0.07
2025-08-28,809525.0,4.49,4.49,4.59,4.49,4.51,0.02
2025-08-29,886484.0,4.51,4.59,4.59,4.45,4.49,-0.02
2025-09-01,986390.0,4.49,4.49,4.6,4.45,4.52,0.03
2025-09-02,3790285.0,4.52,4.6,4.67,4.45,4.53,0.01
2025-09-03,1216831.0,4.53,4.59,4.64,4.51,4.52,-0.01
2025-09-04,1355213.0,4.52,4.52,4.59,4.43,4.45,-0.07
2025-09-05,1747120.0,4.45,4.5,4.5,4.31,4.33,-0.12
2025-09-08,1580499.0,4.33,4.44,4.49,4.19,4.23,-0.1
2025-09-09,1286144.0,4.23,4.25,4.39,4.01,4.15,-0.08
2025-09-10,1364073.0,4.15,4.16,4.41,4.1,4.21,0.06
2025-09-11,1042934.0,4.21,4.3,4.44,4.15,4.21,0.0
2025-09-12,14072560.0,4.21,4.22,4.82,4.22,4.61,0.4
2025-09-15,14882623.0,4.61,4.79,5.09,4.63,4.84,0.23
2025-09-16,4633401.0,4.84,4.85,4.95,4.5,4.59,-0.25
2025-09-17,24144600.0,4.59,4.6,5.59,4.55,5.59,1.0
2025-09-18,44608020.0,5.59,5.85,6.59,5.83,6.59,1.0
2025-09-19,24027175.0,6.59,6.94,6.94,6.03,6.15,-0.44
2025-09-22,21837544.0,6.15,6.12,6.78,5.82,6.43,0.28
2025-09-23,14733501.0,6.43,6.5,6.85,6.35,6.74,0.31
2025-09-24,36530412.0,6.74,6.83,7.37,6.56,6.67,-0.07
2025-09-25,9185083.0,6.67,6.86,6.86,6.5,6.55,-0.12
2025-09-26,6679988.0,6.55,6.6,6.73,6.17,6.29,-0.26
2025-09-29,6122112.0,6.29,6.29,6.49,5.9,5.98,-0.31
2025-09-30,3828004.0,5.98,6.1,6.1,5.6,5.66,-0.32
2025-10-01,7397170.0,5.66,5.7,6.33,5.57,6.23,0.57
2025-10-02,2759292.0,6.23,6.33,6.47,6.1,6.12,-0.11
2025-10-03,2767014.0,6.12,6.15,6.28,5.95,5.96,-0.16
2025-10-06,1234393.0,5.96,5.96,6.0,5.6,5.79,-0.17
2025-10-07,1348432.0,5.79,5.89,5.89,5.66,5.7,-0.09
2025-10-08,4673648.0,5.7,5.67,6.22,5.67,5.85,0.15
2025-10-09,22856305.0,5.85,5.95,6.85,5.85,6.8,0.95
2025-10-10,22305947.0,6.8,7.1,7.8,7.1,7.8,1.0
2025-10-13,19597432.0,7.8,8.79,8.8,8.35,8.8,1.0
2025-10-14,41804704.0,8.8,9.2,9.24,7.8,8.09,-0.71
2025-10-15,21086946.0,8.09,8.5,8.89,8.18,8.28,0.19
2025-10-16,8556758.0,8.28,8.39,8.46,7.85,7.9,-0.38
2025-10-17,4007543.0,7.9,7.96,8.05,7.5,7.63,-0.27
2025-10-20,7954472.0,7.63,7.65,8.3,7.5,7.93,0.3
2025-10-21,3727874.0,7.93,8.08,8.16,7.73,7.78,-0.15
2025-10-22,21158226.0,7.78,8.0,8.78,7.58,8.78,1.0
2025-10-23,22065886.0,8.78,8.85,8.92,8.04,8.16,-0.62
2025-10-24,11338571.0,8.16,8.16,8.74,7.9,8.02,-0.14
2025-10-27,13704413.0,8.02,8.15,8.74,7.7,8.26,0.24
2025-10-28,10537955.0,8.26,8.31,8.45,7.31,7.43,-0.83
2025-10-29,3058783.0,7.43,7.43,7.73,7.0,7.08,-0.35
2025-10-30,2508156.0,7.08,7.16,7.28,6.7,6.76,-0.32
2025-10-31,2372878.0,6.76,6.97,7.26,6.95,7.02,0.26
2025-11-03,13060311.0,7.02,7.2,7.99,7.16,7.8,0.78
