Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3342500.0,8.39,8.4,9.08,8.21,8.98,0.59
2024-01-02,2405000.0,8.98,9.0,9.2,8.7,8.92,-0.06
2024-01-03,2038000.0,8.92,8.53,8.96,8.53,8.89,-0.03
2024-01-04,2403000.0,8.89,8.41,8.74,8.4,8.72,-0.17
2024-01-05,2326000.0,8.72,8.72,8.72,8.26,8.63,-0.09
2024-01-08,1422500.0,8.63,8.65,8.85,8.07,8.42,-0.21
2024-01-09,1100500.0,8.42,8.34,8.5,8.2,8.34,-0.08
2024-01-10,1315500.0,8.34,8.3,8.35,8.1,8.31,-0.03
2024-01-11,1505500.0,8.31,8.2,8.33,7.95,7.99,-0.32
2024-01-12,1863000.0,7.99,8.0,8.49,8.0,8.21,0.22
2024-01-15,1141000.0,8.21,8.05,8.34,8.04,8.13,-0.08
2024-01-16,1165500.0,8.13,7.93,8.25,7.55,7.96,-0.17
2024-01-17,810000.0,7.96,7.7,8.0,7.63,8.0,0.04
2024-01-18,720500.0,8.0,7.56,7.97,7.5,7.84,-0.16
2024-01-19,677500.0,7.84,7.55,8.2,7.55,7.91,0.07
2024-01-22,562500.0,7.91,7.91,8.24,7.5,7.81,-0.1
2024-01-23,695000.0,7.81,7.75,7.93,7.51,7.85,0.04
2024-01-24,549000.0,7.85,7.89,7.89,7.6,7.86,0.01
2024-01-25,471500.0,7.86,7.63,7.85,7.5,7.57,-0.29
2024-01-26,843000.0,7.57,7.69,7.69,7.11,7.56,-0.01
2024-01-29,589500.0,7.56,7.27,7.65,7.25,7.33,-0.23
2024-01-30,644000.0,7.33,7.44,7.49,7.0,7.37,0.04
2024-01-31,586500.0,7.37,7.34,7.44,7.11,7.39,0.02
2024-02-01,384000.0,7.39,7.18,7.48,7.02,7.24,-0.15
2024-02-02,505000.0,7.24,7.11,7.97,7.03,7.39,0.15
2024-02-06,347000.0,7.39,7.26,7.5,7.16,7.49,0.1
2024-02-07,378000.0,7.49,7.35,7.75,7.3,7.63,0.14
2024-02-09,501000.0,7.63,7.41,7.74,7.01,7.36,-0.27
2024-02-12,228000.0,7.36,7.36,7.45,7.06,7.33,-0.03
2024-02-13,198000.0,7.33,7.15,7.48,7.15,7.47,0.14
2024-02-14,382000.0,7.47,7.79,7.96,7.2,7.37,-0.1
2024-02-15,232000.0,7.37,7.23,7.4,6.9,7.13,-0.24
2024-02-16,145000.0,7.13,6.83,7.18,6.75,7.06,-0.07
2024-02-19,212500.0,7.06,6.81,7.18,6.7,7.06,0.0
2024-02-20,339000.0,7.06,6.9,7.18,6.51,6.84,-0.22
2024-02-21,199000.0,6.84,6.98,7.07,6.88,6.93,0.09
2024-02-22,135000.0,6.93,6.81,7.2,6.81,6.99,0.06
2024-02-23,237500.0,6.99,7.08,7.17,6.95,7.07,0.08
2024-02-26,285000.0,7.07,7.2,7.2,6.95,7.01,-0.06
2024-02-27,114500.0,7.01,6.99,7.0,6.76,6.94,-0.07
2024-02-28,163500.0,6.94,6.9,6.96,6.76,6.91,-0.03
2024-02-29,142500.0,6.91,6.82,7.0,6.81,6.97,0.06
2024-03-01,163000.0,6.97,6.83,7.17,6.81,6.99,0.02
2024-03-04,1730500.0,6.99,6.88,7.14,6.67,6.87,-0.12
2024-03-05,198500.0,6.87,6.94,6.94,6.78,6.81,-0.06
2024-03-06,163000.0,6.81,6.76,6.92,6.7,6.8,-0.01
2024-03-07,299000.0,6.8,6.71,6.85,6.7,6.75,-0.05
2024-03-08,655000.0,6.75,6.79,7.23,6.79,6.98,0.23
2024-03-11,470000.0,6.98,7.0,7.18,6.75,6.95,-0.03
2024-03-12,132000.0,6.95,7.1,7.1,6.8,6.86,-0.09
2024-03-13,187500.0,6.86,6.85,6.95,6.58,6.64,-0.22
2024-03-14,125500.0,6.64,6.8,6.98,6.71,6.84,0.2
2024-03-15,134000.0,6.84,6.93,6.99,6.72,6.82,-0.02
2024-03-18,133000.0,6.82,6.83,6.89,6.72,6.83,0.01
2024-03-19,108000.0,6.83,6.74,7.0,6.73,6.93,0.1
2024-03-20,112500.0,6.93,6.8,6.98,6.7,6.74,-0.19
2024-03-21,145000.0,6.74,6.61,6.77,6.61,6.72,-0.02
2024-03-22,158000.0,6.72,6.72,6.72,6.5,6.54,-0.18
2024-03-25,107000.0,6.54,6.52,6.52,6.43,6.49,-0.05
2024-03-26,120500.0,6.49,6.44,6.63,6.4,6.53,0.04
2024-03-27,113000.0,6.53,6.42,6.65,6.42,6.58,0.05
2024-03-28,152000.0,6.58,6.39,6.65,6.39,6.63,0.05
2024-03-29,180500.0,6.63,6.7,6.88,6.55,6.87,0.24
2024-04-01,135000.0,6.87,6.7,6.86,6.6,6.83,-0.04
2024-04-02,175500.0,6.83,6.65,6.79,6.5,6.63,-0.2
2024-04-03,225000.0,6.63,6.6,6.98,6.6,6.65,0.02
2024-04-04,153500.0,6.65,6.65,6.84,6.61,6.73,0.08
2024-04-08,113000.0,6.73,6.73,6.89,6.7,6.89,0.16
2024-04-09,187500.0,6.89,6.71,6.91,6.6,6.83,-0.06
2024-04-15,166000.0,6.83,6.55,6.88,6.5,6.78,-0.05
2024-04-16,257500.0,6.78,6.7,6.89,6.66,6.78,0.0
2024-04-17,133500.0,6.78,6.75,6.75,6.66,6.69,-0.09
2024-04-18,135000.0,6.69,6.67,6.78,6.58,6.64,-0.05
2024-04-19,176000.0,6.64,6.55,6.78,6.5,6.63,-0.01
2024-04-22,237000.0,6.63,6.63,6.67,6.48,6.62,-0.01
2024-04-23,299000.0,6.62,6.52,6.73,6.5,6.62,0.0
2024-04-24,177500.0,6.62,6.7,6.75,6.54,6.6,-0.02
2024-04-25,126000.0,6.6,6.67,6.67,6.53,6.61,0.01
2024-04-26,218500.0,6.61,6.56,6.64,6.25,6.4,-0.21
2024-04-29,525500.0,6.4,6.51,6.6,6.5,6.58,0.18
2024-04-30,903000.0,6.58,6.57,6.77,6.5,6.61,0.03
2024-05-02,1156500.0,6.61,6.6,6.64,6.4,6.61,0.0
2024-05-03,358500.0,6.61,6.9,7.24,6.74,6.99,0.38
2024-05-06,963500.0,6.99,7.1,7.5,6.95,7.46,0.47
2024-05-07,2137500.0,7.46,7.69,8.46,7.5,8.46,1.0
2024-05-08,2013500.0,8.46,8.7,8.9,8.25,8.75,0.29
2024-05-09,663500.0,8.75,8.89,9.3,8.57,9.06,0.31
2024-05-10,872500.0,9.06,9.21,9.89,8.81,9.34,0.28
2024-05-13,484500.0,9.34,9.55,9.8,8.86,9.11,-0.23
2024-05-14,203500.0,9.11,9.45,9.45,8.84,8.97,-0.14
2024-05-15,564000.0,8.97,9.0,9.14,8.9,9.0,0.03
2024-05-16,556500.0,9.0,9.08,9.3,8.75,9.18,0.18
2024-05-17,421000.0,9.18,9.25,9.5,8.9,9.26,0.08
2024-05-20,1002000.0,9.26,9.35,9.8,9.09,9.71,0.45
2024-05-21,1190500.0,9.71,9.87,10.71,9.87,10.71,1.0
2024-05-22,1660000.0,10.71,10.31,11.71,10.31,11.71,1.0
2024-05-23,260500.0,11.71,12.71,12.71,12.71,12.71,1.0
2024-05-24,2503000.0,12.71,13.71,13.71,11.71,11.72,-0.99
2024-05-27,984020.0,11.72,12.0,12.55,11.25,12.21,0.49
2024-05-29,1039049.0,12.21,12.45,13.21,12.01,13.21,1.0
2024-05-30,903788.0,13.21,13.8,13.95,12.81,13.49,0.28
2024-05-31,1120481.0,13.49,13.87,14.57,13.51,14.57,1.08
2024-06-03,2345239.0,14.57,15.5,15.74,14.22,15.74,1.17
2024-06-04,3578674.0,15.74,16.0,17.0,15.85,16.96,1.22
2024-06-05,2322496.0,16.96,18.3,18.32,15.67,16.32,-0.64
2024-06-06,1188941.0,16.32,16.6,16.64,15.01,15.01,-1.31
2024-06-07,1750468.0,15.01,14.51,15.39,13.81,14.9,-0.11
2024-06-10,714182.0,14.9,15.0,16.0,14.9,15.46,0.56
2024-06-11,1976543.0,15.46,15.89,16.77,15.3,15.69,0.23
2024-06-12,1598918.0,15.69,15.8,16.5,14.9,15.57,-0.12
2024-06-13,641126.0,15.57,15.79,16.2,15.04,15.95,0.38
2024-06-14,1057640.0,15.95,16.0,17.31,16.0,17.3,1.35
2024-06-20,1661075.0,17.3,18.0,18.77,16.0,16.72,-0.58
2024-06-21,937384.0,16.72,17.49,17.49,15.3,15.55,-1.17
2024-06-24,317007.0,15.55,15.5,16.0,15.25,15.8,0.25
2024-06-25,629065.0,15.8,16.0,17.0,15.8,16.69,0.89
2024-06-26,1091665.0,16.69,17.0,17.2,15.19,15.62,-1.07
2024-06-27,171506.0,15.62,15.3,15.75,15.2,15.39,-0.23
2024-06-28,324752.0,15.39,15.5,15.8,14.78,15.43,0.04
2024-07-01,2287920.0,15.43,15.7,16.0,14.04,14.04,-1.39
2024-07-02,2867634.0,14.04,14.09,14.29,12.78,12.78,-1.26
2024-07-03,3411895.0,12.78,12.49,12.98,11.63,11.69,-1.09
2024-07-04,4271534.0,11.69,11.8,12.74,11.25,11.49,-0.2
2024-07-05,4618557.0,11.49,11.75,11.75,10.46,10.46,-1.03
2024-07-08,1779464.0,10.46,10.0,10.38,9.56,10.14,-0.32
2024-07-09,1929231.0,10.14,10.21,10.75,10.19,10.34,0.2
2024-07-10,1139325.0,10.34,10.59,10.6,9.9,10.25,-0.09
2024-07-11,608454.0,10.25,10.2,10.35,10.02,10.14,-0.11
2024-07-12,712511.0,10.14,10.27,10.27,9.7,9.88,-0.26
2024-07-15,581812.0,9.88,10.15,10.3,10.0,10.04,0.16
2024-07-18,256177.0,10.04,10.24,10.25,9.85,10.04,0.0
2024-07-19,36876803.0,10.04,10.01,10.84,9.8,10.07,0.03
2024-07-22,12146695.0,10.07,10.1,10.29,9.06,9.2,-0.87
2024-07-23,7046999.0,9.2,9.1,9.35,8.39,9.1,-0.1
2024-07-24,7461769.0,9.1,9.15,10.1,9.02,9.9,0.8
2024-07-25,2005706.0,9.9,10.15,10.15,9.4,9.68,-0.22
2024-07-26,3731853.0,9.68,9.79,10.25,9.3,10.01,0.33
2024-07-29,27932495.0,10.01,10.06,10.55,9.67,9.82,-0.19
2024-07-30,13351209.0,9.82,9.95,10.0,9.3,9.36,-0.46
2024-07-31,9677441.0,9.36,9.25,9.47,8.6,8.85,-0.51
2024-08-01,13525876.0,8.85,8.74,8.82,7.98,8.04,-0.81
2024-08-02,5919655.0,8.04,8.0,8.6,8.0,8.53,0.49
2024-08-05,4466225.0,8.53,8.53,8.55,7.88,7.91,-0.62
2024-08-06,4242066.0,7.91,8.06,8.5,7.7,8.3,0.39
2024-08-07,1138065.0,8.3,8.3,8.4,7.96,8.08,-0.22
2024-08-08,1649517.0,8.08,8.15,8.28,7.89,8.01,-0.07
2024-08-09,1910770.0,8.01,8.19,8.19,7.76,7.95,-0.06
2024-08-12,1772438.0,7.95,7.96,8.1,7.71,7.76,-0.19
2024-08-13,3372022.0,7.76,7.8,7.95,7.42,7.59,-0.17
2024-08-15,1573493.0,7.59,7.68,7.89,7.26,7.58,-0.01
2024-08-16,599410.0,7.58,7.65,7.8,7.45,7.51,-0.07
2024-08-19,1308609.0,7.51,7.55,7.6,7.15,7.2,-0.31
2024-08-20,1067723.0,7.2,7.11,7.58,7.11,7.35,0.15
2024-08-21,882273.0,7.35,7.31,7.64,7.31,7.56,0.21
2024-08-22,4831346.0,7.56,7.57,8.3,7.57,8.02,0.46
2024-08-23,1361818.0,8.02,8.1,8.15,7.7,7.83,-0.19
2024-08-26,810184.0,7.83,7.71,8.0,7.55,7.66,-0.17
2024-08-27,844585.0,7.66,7.8,7.89,7.6,7.7,0.04
2024-08-28,785807.0,7.7,7.84,7.84,7.52,7.57,-0.13
2024-08-29,903112.0,7.57,7.6,7.86,7.46,7.66,0.09
2024-08-30,1305599.0,7.66,7.6,7.69,7.42,7.46,-0.2
2024-09-02,419287.0,7.46,7.55,7.6,7.21,7.24,-0.22
2024-09-03,5375425.0,7.24,7.22,7.39,6.95,7.01,-0.23
2024-09-04,5427302.0,7.01,7.15,7.3,6.86,7.07,0.06
2024-09-05,10590955.0,7.07,7.18,8.07,7.12,7.71,0.64
2024-09-06,22860280.0,7.71,7.79,8.71,7.75,8.69,0.98
2024-09-09,18380894.0,8.69,8.7,9.3,8.69,8.76,0.07
2024-09-10,6734504.0,8.76,8.8,8.95,8.31,8.49,-0.27
2024-09-11,34023632.0,8.49,8.69,9.49,8.42,9.42,0.93
2024-09-12,22221202.0,9.42,9.75,9.9,9.15,9.36,-0.06
2024-09-13,26756325.0,9.36,9.69,10.1,9.1,9.32,-0.04
2024-09-16,7165158.0,9.32,9.22,9.35,8.71,8.79,-0.53
2024-09-18,5551631.0,8.79,8.8,9.15,8.42,8.67,-0.12
2024-09-19,4544060.0,8.67,8.55,8.95,8.0,8.05,-0.62
2024-09-20,2477893.0,8.05,8.05,8.28,7.8,7.82,-0.23
2024-09-23,3417279.0,7.82,7.8,8.0,7.6,7.7,-0.12
2024-09-24,1771443.0,7.7,7.71,7.86,7.4,7.48,-0.22
2024-09-25,4118599.0,7.48,7.53,7.9,7.26,7.78,0.3
2024-09-26,2431157.0,7.78,7.99,7.99,7.37,7.47,-0.31
2024-09-27,922161.0,7.47,7.5,7.67,7.3,7.42,-0.05
2024-09-30,1345550.0,7.42,7.79,7.79,7.15,7.26,-0.16
2024-10-01,2967222.0,7.26,7.3,8.1,7.2,7.9,0.64
2024-10-02,1473684.0,7.9,7.9,8.1,7.6,7.63,-0.27
2024-10-03,718276.0,7.63,7.65,7.75,7.5,7.52,-0.11
2024-10-04,1281533.0,7.52,7.41,7.67,7.41,7.47,-0.05
2024-10-07,2655458.0,7.47,7.55,7.57,7.3,7.49,0.02
2024-10-08,3652576.0,7.49,7.5,7.8,7.2,7.57,0.08
2024-10-09,1576444.0,7.57,7.54,7.78,7.38,7.41,-0.16
2024-10-10,726340.0,7.41,7.45,7.64,7.35,7.41,0.0
2024-10-11,4046377.0,7.41,7.41,7.51,7.0,7.03,-0.38
2024-10-14,726566.0,7.03,7.05,7.27,7.05,7.15,0.12
2024-10-15,998705.0,7.15,7.15,7.3,7.08,7.18,0.03
2024-10-16,2818641.0,7.18,7.21,7.57,7.2,7.38,0.2
2024-10-17,844300.0,7.38,7.54,7.54,7.22,7.33,-0.05
2024-10-18,1200491.0,7.33,7.36,7.43,7.2,7.24,-0.09
2024-10-21,2218660.0,7.24,7.38,7.58,7.26,7.48,0.24
2024-10-22,1168695.0,7.48,7.5,7.63,7.3,7.38,-0.1
2024-10-23,5988550.0,7.38,7.4,7.95,7.3,7.68,0.3
2024-10-24,5589872.0,7.68,7.89,7.89,7.39,7.68,0.0
2024-10-25,9985611.0,7.68,7.9,8.1,7.69,7.76,0.08
2024-10-28,2369610.0,7.76,7.8,7.95,7.57,7.65,-0.11
2024-10-29,1992455.0,7.65,7.65,7.8,7.42,7.46,-0.19
2024-10-30,3678074.0,7.46,7.5,7.7,7.32,7.38,-0.08
2024-10-31,1308317.0,7.38,7.41,7.66,7.3,7.36,-0.02
2024-11-01,1257758.0,7.36,7.57,7.57,7.27,7.31,-0.05
2024-11-04,2024512.0,7.31,7.32,7.43,7.25,7.27,-0.04
2024-11-05,5995277.0,7.27,7.32,7.73,7.26,7.48,0.21
2024-11-06,6878032.0,7.48,7.69,7.97,7.55,7.86,0.38
2024-11-07,6184829.0,7.86,8.1,8.24,7.9,7.96,0.1
2024-11-08,8523393.0,7.96,8.0,8.1,7.47,7.64,-0.32
2024-11-11,3871905.0,7.64,7.71,7.84,7.6,7.69,0.05
2024-11-12,6076514.0,7.69,7.78,7.98,7.68,7.89,0.2
2024-11-13,33201636.0,7.89,7.98,8.89,7.8,8.79,0.9
2024-11-14,18234940.0,8.79,8.99,9.31,8.81,9.15,0.36
2024-11-15,9241171.0,9.15,9.25,9.35,8.84,8.92,-0.23
2024-11-18,28407159.0,8.92,9.24,9.92,9.15,9.92,1.0
2024-11-19,23368439.0,9.92,10.5,10.81,10.31,10.51,0.59
2024-11-20,43506391.0,10.51,10.6,11.56,10.35,11.56,1.05
2024-11-21,41650133.0,11.56,11.79,12.72,11.12,11.46,-0.1
2024-11-22,20363646.0,11.46,11.4,12.1,10.31,10.95,-0.51
2024-11-25,19695105.0,10.95,10.7,12.05,10.6,12.05,1.1
2024-11-26,24681206.0,12.05,12.28,12.62,11.4,11.55,-0.5
2024-11-27,11904090.0,11.55,12.06,12.4,11.5,11.82,0.27
2024-11-28,21244684.0,11.82,12.0,12.75,11.71,12.5,0.68
2024-11-29,32094183.0,12.5,13.0,13.73,12.51,13.58,1.08
2024-12-02,28623338.0,13.58,13.8,14.35,13.43,13.82,0.24
