Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2072500.0,3.91,4.08,4.16,3.96,4.06,0.15
2024-01-02,2377500.0,4.06,4.08,4.15,3.96,4.03,-0.03
2024-01-03,2482500.0,4.03,4.03,4.19,4.0,4.12,0.09
2024-01-04,14419500.0,4.12,4.24,4.68,4.15,4.41,0.29
2024-01-05,4250500.0,4.41,4.57,4.57,4.1,4.3,-0.11
2024-01-08,3159000.0,4.3,4.32,4.43,4.09,4.13,-0.17
2024-01-09,1971000.0,4.13,4.08,4.16,3.95,3.97,-0.16
2024-01-10,1697500.0,3.97,4.06,4.19,3.97,4.01,0.04
2024-01-11,4626500.0,4.01,4.1,4.3,3.97,4.14,0.13
2024-01-12,2431500.0,4.14,4.29,4.3,4.01,4.08,-0.06
2024-01-15,844000.0,4.08,4.0,4.14,3.9,3.91,-0.17
2024-01-16,573000.0,3.91,3.9,3.96,3.8,3.83,-0.08
2024-01-17,307000.0,3.83,3.85,3.94,3.77,3.82,-0.01
2024-01-18,616000.0,3.82,3.82,3.82,3.62,3.73,-0.09
2024-01-19,263000.0,3.73,3.98,3.98,3.67,3.72,-0.01
2024-01-22,863000.0,3.72,3.73,3.9,3.67,3.87,0.15
2024-01-23,318500.0,3.87,3.9,4.0,3.86,3.96,0.09
2024-01-24,399000.0,3.96,3.9,3.95,3.85,3.88,-0.08
2024-01-25,652000.0,3.88,3.89,3.9,3.77,3.79,-0.09
2024-01-26,350000.0,3.79,3.76,3.8,3.67,3.69,-0.1
2024-01-29,1411500.0,3.69,3.65,3.65,3.16,3.28,-0.41
2024-01-30,969500.0,3.28,3.34,3.58,3.15,3.29,0.01
2024-01-31,787000.0,3.29,3.26,3.39,3.2,3.22,-0.07
2024-02-01,102000.0,3.22,3.23,3.25,3.15,3.21,-0.01
2024-02-02,216500.0,3.21,3.19,3.35,3.19,3.24,0.03
2024-02-06,527500.0,3.24,3.3,3.49,3.25,3.38,0.14
2024-02-07,483000.0,3.38,3.45,3.56,3.44,3.47,0.09
2024-02-09,444500.0,3.47,3.3,3.55,3.3,3.43,-0.04
2024-02-12,363500.0,3.43,3.56,3.56,3.23,3.28,-0.15
2024-02-13,333000.0,3.28,3.25,3.3,3.12,3.25,-0.03
2024-02-14,183000.0,3.25,3.27,3.43,3.27,3.34,0.09
2024-02-15,413500.0,3.34,3.43,3.43,3.21,3.22,-0.12
2024-02-16,134500.0,3.22,3.35,3.35,3.07,3.12,-0.1
2024-02-19,236000.0,3.12,3.31,3.31,3.15,3.2,0.08
2024-02-20,369500.0,3.2,3.12,3.37,3.08,3.1,-0.1
2024-02-21,446500.0,3.1,3.16,3.39,3.16,3.27,0.17
2024-02-22,782000.0,3.27,3.4,3.46,3.35,3.38,0.11
2024-02-23,16722000.0,3.38,3.45,4.3,3.44,4.12,0.74
2024-02-26,4559000.0,4.12,4.21,4.25,3.84,3.9,-0.22
2024-02-27,1009500.0,3.9,3.78,3.9,3.73,3.76,-0.14
2024-02-28,761000.0,3.76,3.9,3.97,3.77,3.83,0.07
2024-02-29,1438500.0,3.83,3.78,4.0,3.7,3.75,-0.08
2024-03-01,3099500.0,3.75,3.75,4.14,3.71,3.98,0.23
2024-03-04,3699000.0,3.98,4.19,4.22,4.02,4.09,0.11
2024-03-05,978500.0,4.09,4.14,4.14,3.91,3.93,-0.16
2024-03-06,1287500.0,3.93,3.91,4.19,3.86,3.89,-0.04
2024-03-07,626500.0,3.89,3.86,3.86,3.75,3.79,-0.1
2024-03-08,1173500.0,3.79,3.85,4.05,3.8,3.9,0.11
2024-03-11,1056000.0,3.9,3.9,3.99,3.65,3.74,-0.16
2024-03-12,420500.0,3.74,3.9,3.9,3.62,3.65,-0.09
2024-03-13,413000.0,3.65,3.66,3.78,3.5,3.52,-0.13
2024-03-14,463000.0,3.52,3.65,3.72,3.55,3.69,0.17
2024-03-15,383500.0,3.69,3.69,3.75,3.6,3.63,-0.06
2024-03-18,174000.0,3.63,3.6,3.69,3.58,3.62,-0.01
2024-03-19,302500.0,3.62,3.66,3.7,3.6,3.64,0.02
2024-03-20,776500.0,3.64,3.65,3.85,3.65,3.67,0.03
2024-03-21,583000.0,3.67,3.7,3.75,3.54,3.6,-0.07
2024-03-22,247000.0,3.6,3.54,3.6,3.5,3.51,-0.09
2024-03-25,152000.0,3.51,3.63,3.63,3.48,3.56,0.05
2024-03-26,1078500.0,3.56,3.5,3.55,3.4,3.47,-0.09
2024-03-27,1057000.0,3.47,3.5,3.5,3.3,3.35,-0.12
2024-03-28,830500.0,3.35,3.4,3.49,3.35,3.37,0.02
2024-03-29,342500.0,3.37,3.48,3.48,3.36,3.4,0.03
2024-04-01,261500.0,3.4,3.44,3.53,3.39,3.4,0.0
2024-04-02,446500.0,3.4,3.38,3.41,3.3,3.4,0.0
2024-04-03,342000.0,3.4,3.45,3.47,3.36,3.44,0.04
2024-04-04,274000.0,3.44,3.48,3.54,3.43,3.45,0.01
2024-04-08,103000.0,3.45,3.5,3.53,3.42,3.49,0.04
2024-04-09,130500.0,3.49,3.45,3.55,3.43,3.45,-0.04
2024-04-15,532000.0,3.45,3.41,3.46,3.38,3.4,-0.05
2024-04-16,1752500.0,3.4,3.45,3.71,3.45,3.66,0.26
2024-04-17,1466000.0,3.66,3.69,3.79,3.6,3.69,0.03
2024-04-18,782500.0,3.69,3.6,3.8,3.56,3.6,-0.09
2024-04-19,2735500.0,3.6,3.7,3.78,3.56,3.75,0.15
2024-04-22,1620000.0,3.75,3.78,3.91,3.73,3.8,0.05
2024-04-23,391000.0,3.8,3.76,3.81,3.6,3.63,-0.17
2024-04-24,804000.0,3.63,3.67,3.76,3.63,3.65,0.02
2024-04-25,960500.0,3.65,3.66,3.8,3.62,3.63,-0.02
2024-04-26,555500.0,3.63,3.63,3.69,3.5,3.53,-0.1
2024-04-29,637000.0,3.53,3.55,3.69,3.45,3.46,-0.07
2024-04-30,1189500.0,3.46,3.46,3.5,3.36,3.4,-0.06
2024-05-02,251500.0,3.4,3.49,3.49,3.28,3.29,-0.11
2024-05-03,482500.0,3.29,3.3,3.43,3.25,3.37,0.08
2024-05-06,1117000.0,3.37,3.48,3.55,3.36,3.49,0.12
2024-05-07,275500.0,3.49,3.54,3.57,3.4,3.43,-0.06
2024-05-08,529000.0,3.43,3.42,3.5,3.34,3.39,-0.04
2024-05-09,552500.0,3.39,3.32,3.45,3.3,3.38,-0.01
2024-05-10,2392000.0,3.38,3.44,3.66,3.38,3.52,0.14
2024-05-13,1778148.0,3.52,3.53,3.72,3.49,3.58,0.06
2024-05-14,1420849.0,3.58,3.63,3.7,3.6,3.64,0.06
2024-05-15,191048.0,3.64,3.64,3.69,3.53,3.55,-0.09
2024-05-16,162782.0,3.55,3.55,3.59,3.5,3.51,-0.04
2024-05-17,4201167.0,3.51,3.55,3.88,3.55,3.67,0.16
2024-05-20,813902.0,3.67,3.73,3.77,3.5,3.57,-0.1
2024-05-21,474568.0,3.57,3.58,3.69,3.49,3.53,-0.04
2024-05-22,1683173.0,3.53,3.59,3.65,3.46,3.49,-0.04
2024-05-23,7665716.0,3.49,3.53,4.02,3.49,3.87,0.38
2024-05-24,5398479.0,3.87,3.9,4.0,3.75,3.8,-0.07
2024-05-27,954654.0,3.8,3.82,3.82,3.68,3.71,-0.09
2024-05-29,898605.0,3.71,3.76,3.76,3.5,3.52,-0.19
2024-05-30,919879.0,3.52,3.52,3.59,3.48,3.52,0.0
