Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-02-28,4763869.0,16.5,16.5,16.99,15.25,15.95,-0.55
2025-03-03,978757.0,15.95,15.94,15.94,15.5,15.8,-0.15
2025-03-04,523008.0,15.8,15.99,16.2,15.5,15.98,0.18
2025-03-05,234278.0,15.98,16.0,16.4,15.85,15.95,-0.03
2025-03-06,187095.0,15.95,16.2,16.2,15.76,15.88,-0.07
2025-03-07,994573.0,15.88,16.0,16.13,15.13,15.23,-0.65
2025-03-10,798487.0,15.23,15.3,16.1,15.3,16.02,0.79
2025-03-11,1501268.0,16.02,16.2,16.92,15.75,16.58,0.56
2025-03-12,773835.0,16.58,16.75,16.94,16.3,16.45,-0.13
2025-03-13,418863.0,16.45,16.69,16.8,16.15,16.17,-0.28
2025-03-14,255699.0,16.17,16.3,16.38,16.02,16.16,-0.01
2025-03-17,549972.0,16.16,16.02,16.25,15.9,15.96,-0.2
2025-03-18,302526.0,15.96,16.0,16.0,15.75,15.82,-0.14
2025-03-19,338738.0,15.82,15.85,16.0,15.65,15.72,-0.1
2025-03-20,145089.0,15.72,15.72,16.0,15.7,15.81,0.09
2025-03-21,214094.0,15.81,15.74,15.87,15.5,15.59,-0.22
2025-03-24,394256.0,15.59,15.6,15.99,15.2,15.35,-0.24
2025-03-25,238285.0,15.35,15.26,15.5,15.15,15.33,-0.02
2025-03-26,226031.0,15.33,15.33,16.0,15.23,15.42,0.09
2025-03-27,406918.0,15.42,15.9,15.9,15.21,15.26,-0.16
2025-04-03,446005.0,15.26,15.3,15.4,14.9,14.99,-0.27
2025-04-04,280583.0,14.99,14.99,15.18,14.9,14.91,-0.08
2025-04-07,195521.0,14.91,14.71,14.99,13.44,14.54,-0.37
2025-04-08,761566.0,14.54,14.5,14.51,13.9,13.96,-0.58
2025-04-09,135547.0,13.96,14.19,14.19,13.9,14.14,0.18
2025-04-10,927360.0,14.14,14.25,14.9,14.25,14.52,0.38
2025-04-11,246684.0,14.52,14.67,14.99,14.3,14.37,-0.15
2025-04-14,664276.0,14.37,14.37,14.5,14.03,14.28,-0.09
2025-04-15,1171628.0,14.28,14.49,14.74,14.0,14.38,0.1
2025-04-16,49702.0,14.38,14.3,14.5,14.15,14.39,0.01
2025-04-17,153710.0,14.39,14.49,14.63,14.16,14.49,0.1
2025-04-18,322186.0,14.49,14.53,14.54,14.11,14.32,-0.17
2025-04-21,1754751.0,14.32,14.32,15.75,14.32,15.65,1.33
2025-04-22,1736787.0,15.65,16.24,16.4,15.55,16.04,0.39
2025-04-23,364843.0,16.04,16.3,16.3,15.6,15.74,-0.3
2025-04-24,121167.0,15.74,15.03,15.8,14.95,15.11,-0.63
2025-04-25,134604.0,15.11,15.39,15.4,14.9,15.0,-0.11
2025-04-28,2221591.0,15.0,15.24,15.95,15.01,15.48,0.48
2025-04-29,1705844.0,15.48,15.65,16.35,15.2,15.33,-0.15
2025-04-30,2397826.0,15.33,15.8,16.5,15.4,16.25,0.92
2025-05-02,5276268.0,16.25,16.5,17.4,16.42,16.59,0.34
2025-05-05,3754571.0,16.59,16.69,16.95,16.01,16.53,-0.06
2025-05-06,3115055.0,16.53,16.95,16.95,16.45,16.61,0.08
2025-05-07,1291204.0,16.61,15.3,16.19,15.3,15.48,-1.13
2025-05-08,932281.0,15.48,15.49,15.88,13.93,14.01,-1.47
2025-05-09,1706967.0,14.01,14.02,15.41,13.27,15.09,1.08
2025-05-12,1795860.0,15.09,16.25,16.4,15.77,16.26,1.17
2025-05-13,709130.0,16.26,16.26,16.26,14.9,15.62,-0.64
2025-05-14,3192401.0,15.62,15.65,16.37,15.5,16.07,0.45
2025-05-15,2238349.0,16.07,15.83,16.55,15.83,16.11,0.04
2025-05-16,940398.0,16.11,16.11,16.19,15.75,15.89,-0.22
2025-05-19,819308.0,15.89,16.12,16.5,15.89,15.99,0.1
2025-05-20,358083.0,15.99,15.92,16.4,15.92,16.16,0.17
2025-05-21,535588.0,16.16,15.95,16.28,15.86,16.13,-0.03
2025-05-22,3890395.0,16.13,16.25,16.63,16.13,16.21,0.08
2025-05-23,533006.0,16.21,16.2,16.4,16.0,16.08,-0.13
2025-05-26,1870148.0,16.08,16.07,16.3,15.76,15.9,-0.18
2025-05-27,995013.0,15.9,15.93,15.95,15.5,15.77,-0.13
2025-05-29,966251.0,15.77,15.67,16.3,15.6,16.0,0.23
2025-05-30,373954.0,16.0,16.19,16.2,16.0,16.15,0.15
2025-06-02,1348641.0,16.15,16.4,16.65,16.0,16.18,0.03
